,C10,SVEC,RAW
0,0.87931925,0.01985829,0.100822434
1,0.12318882,0.023568,0.85324323
2,0.6388986,0.27781853,0.08328288
3,0.8935402,0.09362306,0.012836716
4,0.89604914,0.013133903,0.090816885
5,0.017448638,0.07833045,0.9042209
6,0.110891774,0.011132322,0.8779759
7,0.107220486,0.83950084,0.05327864
8,0.86329454,0.11991292,0.016792562
9,0.017223712,0.96054024,0.022236042
10,0.4577394,0.5125205,0.02974009
11,0.3231386,0.5853209,0.091540515
12,0.13813965,0.28095973,0.5809006
13,0.017107215,0.69432807,0.28856477
14,0.03464857,0.18588051,0.779471
15,0.94590336,0.02189306,0.03220362
16,0.34677604,0.0139657175,0.6392582
17,0.42808494,0.067153275,0.50476176
18,0.75451314,0.010213646,0.2352732
19,0.6676917,0.06038102,0.2719273
20,0.3839111,0.014399925,0.60168904
21,0.030303508,0.17433009,0.7953665
22,0.9036415,0.021462312,0.074896224
23,0.8357741,0.1491676,0.01505833
24,0.949247,0.020409867,0.030343164
25,0.56774366,0.41785556,0.0144007895
26,0.40500128,0.021587571,0.57341117
27,0.17592964,0.014253904,0.8098165
28,0.043015365,0.2276909,0.7292937
29,0.06369739,0.31388074,0.62242186
30,0.084887266,0.49897346,0.41613922
31,0.046675816,0.9429988,0.010325414
32,0.32794935,0.013784939,0.6582657
33,0.019460468,0.05851868,0.9220208
34,0.92888725,0.054447263,0.016665462
35,0.016603295,0.16099839,0.8223983
36,0.1505055,0.79873157,0.05076291
37,0.028276665,0.88326734,0.08845603
38,0.8672124,0.014841676,0.11794588
39,0.020902872,0.6457734,0.33332372
40,0.5901636,0.045961153,0.36387518
41,0.017638888,0.26155877,0.72080237
42,0.9075292,0.06322655,0.029244246
43,0.9079321,0.017556738,0.07451117
44,0.06888619,0.91789365,0.013220144
45,0.1558518,0.8211065,0.023041736
46,0.7432603,0.13405922,0.122680426
47,0.5321884,0.439793,0.028018555
48,0.04600446,0.04161001,0.91238546
49,0.23234251,0.011100742,0.7565567
50,0.27325186,0.17799413,0.54875404
51,0.9081201,0.07615554,0.015724381
52,0.8544086,0.026788164,0.11880319
53,0.03652132,0.021439578,0.942039
54,0.015948277,0.13275632,0.8512954
55,0.42959392,0.54473644,0.025669586
56,0.4309389,0.5528542,0.016206928
57,0.28527787,0.017093325,0.6976288
58,0.030220572,0.024374954,0.94540447
59,0.9198391,0.023090247,0.057070635
60,0.05914247,0.039541956,0.90131557
61,0.89624494,0.058591645,0.04516337
62,0.012587053,0.76283604,0.22457694
63,0.50043833,0.056768995,0.44279268
64,0.14487928,0.8387076,0.016413117
65,0.19666639,0.7764721,0.026861465
66,0.016595269,0.62122005,0.36218473
67,0.4004695,0.58968335,0.009847158
68,0.9352597,0.0334336,0.031306755
69,0.88422287,0.07825864,0.037518483
70,0.8144639,0.17126976,0.0142662525
71,0.449683,0.53133166,0.018985301
72,0.01661364,0.8665912,0.116795205
73,0.3713415,0.014142029,0.6145165
74,0.054565918,0.93819374,0.0072402847
75,0.41098556,0.05626912,0.53274536
76,0.9341578,0.018162502,0.047679678
77,0.74290097,0.17402507,0.08307402
78,0.022130018,0.07825412,0.8996158
79,0.016849415,0.2979706,0.68518
80,0.30468753,0.08074528,0.6145672
81,0.029933361,0.029529233,0.9405374
82,0.8461558,0.028433269,0.12541093
83,0.022136379,0.06201338,0.9158503
84,0.9327589,0.011405192,0.055835817
85,0.59164494,0.36068854,0.047666594
86,0.92993665,0.045348145,0.02471512
87,0.02321617,0.40503973,0.571744
88,0.13971826,0.8367136,0.023568146
89,0.117732026,0.015053834,0.8672141
90,0.66613144,0.3179319,0.015936695
91,0.03236421,0.019599913,0.94803584
92,0.032539107,0.032658078,0.9348028
93,0.8547416,0.02114959,0.124108896
94,0.85135996,0.12257912,0.026060903
95,0.94095117,0.024457783,0.034591008
96,0.02965907,0.14564182,0.82469904
97,0.017192831,0.0744911,0.908316
98,0.76272976,0.0130045535,0.22426566
99,0.018406833,0.74283516,0.238758
100,0.33029005,0.6598237,0.009886309
101,0.5179686,0.46845633,0.013575042
102,0.11200823,0.29593843,0.5920533
103,0.4549576,0.01233231,0.53271013
104,0.71074337,0.017485643,0.27177098
105,0.41148174,0.09034737,0.49817094
106,0.2982373,0.5407098,0.16105291
107,0.03892422,0.38066137,0.58041435
108,0.2939262,0.012957984,0.6931159
109,0.05062489,0.8633698,0.086005256
110,0.941335,0.046606787,0.012058323
111,0.02669333,0.90449405,0.06881264
112,0.58756363,0.3861176,0.026318789
113,0.026587177,0.8037883,0.16962452
114,0.05430005,0.92879254,0.016907448
115,0.027365522,0.8835968,0.08903774
116,0.24289675,0.06397901,0.69312423
117,0.2772717,0.013364204,0.7093641
118,0.7218073,0.2560053,0.022187302
119,0.47328812,0.43709064,0.08962124
120,0.36134425,0.045895476,0.5927603
121,0.064215615,0.04464469,0.8911397
122,0.33607212,0.58320075,0.08072711
123,0.10775264,0.042275865,0.84997153
124,0.012782259,0.9415735,0.045644253
125,0.5253418,0.043275867,0.43138233
126,0.9400138,0.01316287,0.04682339
127,0.18948875,0.6055248,0.20498645
128,0.046637926,0.93872374,0.014638318
129,0.17433089,0.019069236,0.8066
130,0.19591859,0.10824802,0.69583344
131,0.018509809,0.4456642,0.53582597
132,0.3902758,0.5763419,0.03338227
133,0.22955875,0.015465138,0.7549761
134,0.025994716,0.049630214,0.9243751
135,0.48721018,0.5020559,0.010733913
136,0.38700858,0.0124261,0.6005653
137,0.9281524,0.048011024,0.023836574
138,0.4146118,0.041397166,0.543991
139,0.77954584,0.20544638,0.015007807
140,0.030221593,0.21375279,0.75602555
141,0.65172225,0.31405705,0.034220707
142,0.019048218,0.4670419,0.51390994
143,0.10923046,0.5425792,0.3481904
144,0.9470214,0.022181008,0.030797578
145,0.13703415,0.8514376,0.011528172
146,0.66362,0.019788032,0.31659204
147,0.8342499,0.1451126,0.020637508
148,0.5642703,0.4200259,0.015703801
149,0.943803,0.026123255,0.030073721
150,0.66073614,0.31709316,0.022170715
151,0.014957117,0.91677034,0.068272606
152,0.69034487,0.014249091,0.29540607
153,0.80898297,0.17339814,0.017618906
154,0.62261003,0.033321146,0.34406883
155,0.88094765,0.010413573,0.10863876
156,0.3752954,0.5500601,0.074644454
157,0.32639486,0.6627626,0.010842558
158,0.1601557,0.8216744,0.018169876
159,0.033591013,0.9448766,0.021532381
160,0.025730997,0.12284129,0.8514277
161,0.1485798,0.8226359,0.028784284
162,0.099957936,0.89005095,0.0099911485
163,0.4137382,0.118821084,0.46744078
164,0.069537714,0.053509574,0.8769527
165,0.6128041,0.36649582,0.020700099
166,0.37290746,0.016485464,0.6106071
167,0.031223668,0.82981956,0.13895673
168,0.37749225,0.6068805,0.015627315
169,0.2567668,0.0156070655,0.72762614
170,0.8689412,0.015089589,0.11596922
171,0.41425022,0.5702703,0.015479494
172,0.942128,0.015402046,0.042469937
173,0.9437325,0.03567638,0.020591054
174,0.7025895,0.28351226,0.013898269
175,0.5709421,0.3983967,0.030661197
176,0.22465116,0.75580424,0.019544559
177,0.34446922,0.022346003,0.6331848
178,0.02607385,0.78254014,0.19138604
179,0.5758769,0.3963558,0.027767325
180,0.027467472,0.95646155,0.016070971
181,0.036731556,0.051061284,0.9122072
182,0.8820959,0.10203109,0.015873145
183,0.45815134,0.20398456,0.33786413
184,0.091554426,0.8827112,0.025734408
185,0.23379049,0.15222201,0.6139875
186,0.6893114,0.29567215,0.01501651
187,0.69775945,0.28569144,0.016549114
188,0.042929973,0.03274035,0.9243297
189,0.03363279,0.020331748,0.94603544
190,0.13268232,0.36557102,0.50174665
191,0.4460288,0.52243745,0.031533778
192,0.02067298,0.5906508,0.3886763
193,0.60213095,0.3844102,0.013458879
194,0.8870192,0.046866983,0.066113785
195,0.24213327,0.51486707,0.24299964
196,0.014554244,0.787424,0.19802167
197,0.6087343,0.3740155,0.017250232
198,0.9381647,0.030783677,0.031051617
199,0.025592064,0.30335456,0.6710533
200,0.019177029,0.95662934,0.024193674
201,0.029678704,0.03929256,0.9310287
202,0.45838517,0.010015877,0.5315989
203,0.030709602,0.93876123,0.030529113
204,0.22940145,0.071965955,0.6986326
205,0.34817567,0.64217526,0.009649114
206,0.37419438,0.014694125,0.6111116
207,0.70047694,0.024511488,0.27501154
208,0.02370874,0.33123705,0.6450542
209,0.02387673,0.031397015,0.9447262
210,0.43765998,0.552081,0.01025899
211,0.028469179,0.062608264,0.90892255
212,0.4497335,0.5385572,0.011709339
