,C10,SVEC,RAW
0,0.2403534,0.12106166,0.6385849
1,0.23164733,0.5908548,0.17749783
2,0.2651322,0.29982087,0.43504697
3,0.5818806,0.24546465,0.17265464
4,0.20018741,0.35477978,0.44503286
5,0.19953656,0.43547478,0.36498863
6,0.22180237,0.1425215,0.63567615
7,0.48860118,0.3172306,0.1941682
8,0.3402342,0.4890809,0.17068487
9,0.33908707,0.5537503,0.107162684
10,0.29359818,0.5938306,0.11257125
11,0.4628312,0.40449595,0.13267279
12,0.19799495,0.1947963,0.6072088
13,0.2796579,0.15805677,0.56228524
14,0.16808753,0.22788414,0.6040283
15,0.19025545,0.21352008,0.5962245
16,0.25386414,0.5231692,0.22296667
17,0.23893297,0.55744696,0.20362009
18,0.2209183,0.5906598,0.18842189
19,0.35766512,0.5099852,0.13234966
20,0.4373455,0.40448865,0.15816581
21,0.25066096,0.40521544,0.3441236
22,0.30861974,0.47244954,0.21893068
23,0.21005832,0.23001301,0.5599287
24,0.37927037,0.073555246,0.5471744
25,0.38449487,0.14693134,0.4685738
26,0.42831892,0.43746206,0.13421904
27,0.54853517,0.21051966,0.24094519
28,0.21549116,0.31668416,0.46782473
29,0.43327603,0.16001424,0.40670973
30,0.43020678,0.22404315,0.3457501
31,0.4073447,0.41681966,0.17583562
32,0.3333208,0.40315825,0.26352096
33,0.33754218,0.10026792,0.56218994
34,0.38760665,0.38025767,0.23213574
35,0.27933347,0.5574714,0.16319516
36,0.2500861,0.59302217,0.15689178
37,0.28511417,0.090369746,0.6245161
38,0.46349055,0.28370085,0.25280863
39,0.28086936,0.44529575,0.27383485
40,0.16867252,0.452697,0.37863052
41,0.461887,0.31556296,0.22255002
42,0.20446691,0.54299265,0.25254044
43,0.30795157,0.119522914,0.5725255
44,0.26239905,0.101748504,0.6358525
45,0.42272037,0.102417,0.4748627
46,0.37017134,0.08414881,0.5456798
47,0.22503677,0.29545364,0.47950965
48,0.30922568,0.5386715,0.15210284
49,0.30254358,0.07246371,0.62499267
50,0.3480126,0.106099464,0.54588795
51,0.35098848,0.10229598,0.54671556
52,0.44115648,0.41358826,0.14525531
53,0.43364987,0.1372278,0.4291223
54,0.30544698,0.13306174,0.5614913
55,0.46266964,0.30630738,0.23102297
56,0.4709193,0.35545662,0.17362408
57,0.3434663,0.53709215,0.11944154
58,0.30943224,0.5195743,0.17099352
59,0.3751376,0.32766944,0.29719293
60,0.39035216,0.3474467,0.26220116
61,0.45948052,0.2920718,0.24844764
62,0.44472206,0.30971214,0.24556583
63,0.17223145,0.22542384,0.6023447
64,0.28714883,0.07857612,0.6342751
65,0.35563,0.132249,0.51212096
66,0.25330213,0.11017274,0.63652515
67,0.30227125,0.57833195,0.11939683
68,0.23848006,0.3064514,0.4550685
69,0.36904287,0.11784704,0.51311016
70,0.39881748,0.47690314,0.12427931
71,0.19886896,0.1510385,0.65009254
72,0.2738208,0.15807043,0.5681088
73,0.4357582,0.32744062,0.23680116
74,0.23681247,0.39228043,0.37090713
75,0.44206762,0.40771335,0.15021904
76,0.25088271,0.12581038,0.6233069
77,0.43272772,0.2546654,0.3126068
78,0.3600761,0.5115741,0.12834983
79,0.27853572,0.5559927,0.1654716
80,0.35836557,0.54507935,0.09655503
81,0.22334792,0.11337284,0.66327924
82,0.26158848,0.14763463,0.59077686
83,0.19278714,0.26258388,0.544629
84,0.4409634,0.4426196,0.11641695
85,0.27297336,0.09575914,0.6312675
86,0.382915,0.5074169,0.10966809
87,0.35912138,0.11915304,0.5217256
88,0.4231853,0.27703938,0.29977536
89,0.23855872,0.58507174,0.17636947
90,0.49082825,0.24568515,0.26348662
91,0.3186701,0.5656071,0.115722865
92,0.45999914,0.36816883,0.17183204
93,0.40053758,0.43059433,0.16886802
94,0.4080354,0.48508614,0.10687843
95,0.20370024,0.3648538,0.4314459
96,0.24957168,0.11988796,0.6305404
97,0.2068159,0.37783015,0.4153539
98,0.3103151,0.58512723,0.1045577
99,0.27750367,0.43930578,0.28319052
100,0.2911487,0.079558074,0.6292932
101,0.4047848,0.11221135,0.48300385
102,0.32284278,0.28312582,0.3940314
103,0.24488746,0.5563454,0.19876719
104,0.4541967,0.41963536,0.126168
105,0.54800564,0.22681452,0.22517985
106,0.24668346,0.18562835,0.56768817
107,0.24562687,0.38122687,0.37314627
108,0.2887402,0.53205955,0.17920026
109,0.5029026,0.33189958,0.16519774
110,0.44458926,0.44007614,0.11533458
111,0.22372998,0.41922122,0.3570488
112,0.42885455,0.35980633,0.21133907
113,0.38166252,0.5213471,0.09699041
114,0.2766736,0.5058182,0.21750818
115,0.3202821,0.1294047,0.5503132
116,0.42811027,0.11000527,0.46188453
117,0.43439946,0.39700153,0.16859898
118,0.4171653,0.22796217,0.35487258
119,0.49437287,0.35354745,0.15207964
120,0.5281018,0.27909684,0.19280139
121,0.37014294,0.12550898,0.50434804
122,0.22333474,0.1192853,0.6573799
123,0.36716506,0.5286025,0.1042325
124,0.5235933,0.24283108,0.23357566
125,0.2035786,0.60246354,0.19395791
126,0.4056945,0.47794852,0.11635701
127,0.18012485,0.31263626,0.50723886
128,0.4862163,0.1271776,0.38660616
129,0.43871683,0.19062532,0.3706578
130,0.32520357,0.27438155,0.40041488
131,0.21953496,0.21727532,0.56318974
132,0.3233942,0.08499034,0.59161544
133,0.34092385,0.5521141,0.10696202
134,0.16402963,0.45594156,0.38002887
135,0.21053767,0.12037355,0.6690888
136,0.2625119,0.58335733,0.15413077
137,0.5531321,0.12944959,0.3174183
138,0.2924319,0.48660663,0.22096151
139,0.22332676,0.48587778,0.29079545
140,0.30727687,0.48937798,0.20334512
141,0.41556355,0.10714136,0.47729513
142,0.20575765,0.3776998,0.41654256
143,0.4550045,0.19044927,0.35454622
144,0.37609485,0.5353515,0.08855359
145,0.25882998,0.19556789,0.5456021
146,0.49631688,0.27358335,0.23009977
147,0.15700597,0.28496802,0.55802596
148,0.17442764,0.3797484,0.44582397
149,0.48445982,0.30133194,0.21420817
150,0.24722925,0.52588606,0.22688468
151,0.38738894,0.513501,0.09911002
152,0.19119245,0.51904136,0.2897662
153,0.22832474,0.5687748,0.20290042
154,0.50319403,0.31480098,0.18200496
155,0.3483102,0.52471703,0.12697275
156,0.42034343,0.35464963,0.22500697
157,0.23806928,0.42156774,0.340363
158,0.52794796,0.28825444,0.1837976
159,0.21218933,0.21315998,0.57465065
160,0.38638943,0.45873365,0.15487693
161,0.33943206,0.1951707,0.4653972
162,0.49217263,0.31745246,0.19037494
163,0.3811675,0.44716558,0.17166685
164,0.23294343,0.40601364,0.36104295
165,0.36196354,0.5572155,0.08082096
166,0.31874335,0.53560936,0.1456473
167,0.38247022,0.11164351,0.5058863
168,0.34282234,0.51036286,0.14681482
169,0.29330903,0.090886906,0.6158041
170,0.48179346,0.22612502,0.29208153
171,0.30768174,0.56105214,0.13126609
172,0.22793557,0.5086646,0.2633998
173,0.23349401,0.51368564,0.2528203
174,0.21555471,0.18396498,0.6004804
175,0.410108,0.36820984,0.22168219
176,0.37197003,0.34529874,0.28273118
177,0.48362213,0.18272503,0.33365282
178,0.31876156,0.37438995,0.30684847
179,0.22574712,0.20487837,0.5693745
180,0.3734763,0.21492772,0.411596
181,0.23189865,0.3422333,0.42586803
182,0.18850838,0.52884024,0.28265136
183,0.45669472,0.15490164,0.38840368
184,0.46272442,0.2506963,0.28657928
185,0.28420007,0.48825684,0.22754312
186,0.27736273,0.12155361,0.6010836
187,0.48007318,0.2110644,0.30886236
188,0.46153733,0.16083845,0.37762415
189,0.22725308,0.098776035,0.67397094
190,0.40543276,0.46500298,0.12956429
191,0.25561693,0.57263374,0.17174932
192,0.4233406,0.48198968,0.09466981
193,0.21122317,0.38108218,0.40769467
194,0.17175691,0.21732914,0.61091393
195,0.29837307,0.35114312,0.3504838
196,0.32689086,0.2719946,0.40111455
197,0.31480435,0.5572295,0.12796608
198,0.34544376,0.28375798,0.37079823
199,0.2869525,0.3954596,0.31758794
200,0.18521638,0.18156762,0.63321596
201,0.6017972,0.19365291,0.20454985
202,0.30958667,0.49588066,0.19453265
203,0.49179187,0.3689517,0.13925634
204,0.2485201,0.5906343,0.16084561
205,0.33408087,0.5605409,0.10537816
206,0.36692777,0.45581377,0.17725845
207,0.21969335,0.27027804,0.5100286
208,0.44531736,0.3459485,0.20873414
209,0.3122845,0.55575216,0.13196334
210,0.3960401,0.4425008,0.16145915
211,0.29952344,0.55868703,0.14178948
212,0.3966536,0.31024224,0.29310414
213,0.40260547,0.14672327,0.45067126
214,0.2523013,0.12404714,0.6236515
215,0.4265351,0.1991046,0.3743603
216,0.21219487,0.36126396,0.42654115
217,0.19886482,0.44317693,0.35795826
218,0.37929094,0.1447782,0.4759308
219,0.3792771,0.49507767,0.12564519
220,0.5073851,0.3216446,0.17097029
221,0.29934666,0.40787244,0.29278085
222,0.22679652,0.10487366,0.66832983
223,0.36512378,0.54155254,0.09332368
224,0.25071588,0.4466454,0.30263865
225,0.33304906,0.078903526,0.5880474
226,0.29507115,0.5687755,0.13615341
227,0.413565,0.3657809,0.22065407
228,0.28267676,0.30008766,0.4172356
229,0.3745416,0.219819,0.40563938
230,0.22247726,0.35847768,0.4190451
231,0.29875198,0.41746324,0.28378484
232,0.49484444,0.17345908,0.33169648
233,0.48634788,0.17527139,0.3383807
234,0.27656698,0.38097417,0.34245887
235,0.2677356,0.265203,0.46706137
236,0.24324332,0.47900832,0.2777484
237,0.1789943,0.38468045,0.43632525
238,0.4594422,0.4147815,0.12577623
239,0.38107347,0.3391676,0.27975887
240,0.37847054,0.49573433,0.12579517
241,0.18446837,0.20579574,0.6097359
242,0.4177526,0.27723005,0.30501732
243,0.47750092,0.20274614,0.31975296
244,0.22009277,0.12845197,0.6514553
245,0.43829826,0.42953566,0.13216604
246,0.33394986,0.56564,0.100410126
247,0.4761473,0.22314009,0.30071253
248,0.42653137,0.4042478,0.16922078
249,0.22400114,0.5977088,0.17829001
250,0.41137826,0.13289031,0.45573142
