,C10,SVEC,RAW
0,0.62515104,0.1538285,0.22102049
1,0.20208538,0.39286196,0.40505272
2,0.22338794,0.6349086,0.1417035
3,0.20561938,0.6504943,0.14388637
4,0.60513806,0.10063754,0.29422444
5,0.1624699,0.18121229,0.65631783
6,0.26621833,0.5572974,0.17648427
7,0.5364164,0.32658455,0.13699907
8,0.29618052,0.5752302,0.12858932
9,0.14624228,0.26850885,0.5852489
10,0.48418176,0.125849,0.38996932
11,0.18439251,0.16404626,0.6515612
12,0.4575128,0.3359983,0.20648894
13,0.11485877,0.46440625,0.420735
14,0.24361327,0.3651789,0.3912078
15,0.41507623,0.1009114,0.4840123
16,0.6250683,0.13573807,0.23919356
17,0.338174,0.13845274,0.52337325
18,0.13397616,0.40614578,0.459878
19,0.29686597,0.10364615,0.5994879
20,0.48165265,0.29049605,0.22785129
21,0.40122586,0.18919872,0.4095754
22,0.5824169,0.24164265,0.1759405
23,0.20369868,0.15888105,0.63742024
24,0.49271286,0.3743619,0.13292518
25,0.14869331,0.32038543,0.53092134
26,0.4499881,0.4097152,0.14029665
27,0.3501095,0.12246436,0.5274261
28,0.44729218,0.15337823,0.39932963
29,0.5782488,0.27442864,0.14732258
30,0.30069023,0.54725415,0.15205559
31,0.53122413,0.30009806,0.16867784
32,0.13113126,0.39903352,0.46983522
33,0.63907504,0.19266427,0.16826072
34,0.34530914,0.27378005,0.38091075
35,0.3885549,0.1177754,0.49366975
36,0.51615196,0.13118778,0.35266024
37,0.18321896,0.31039464,0.5063864
38,0.31945089,0.1272523,0.55329686
39,0.10582686,0.50651586,0.38765725
40,0.27405795,0.30682087,0.4191212
41,0.5988668,0.14129376,0.2598394
42,0.43492356,0.24004586,0.32503062
43,0.47907418,0.3889777,0.13194819
44,0.14895864,0.5869978,0.26404354
45,0.11512533,0.71321046,0.17166424
46,0.5839946,0.24559328,0.17041206
47,0.14174761,0.42029834,0.4379541
48,0.5231782,0.08551654,0.39130527
49,0.38868633,0.16951132,0.44180238
50,0.5591029,0.15722649,0.28367057
51,0.56060946,0.094784394,0.3446061
52,0.15255004,0.2036744,0.6437756
53,0.13259496,0.3902272,0.47717783
54,0.30129334,0.39996052,0.2987461
55,0.19369815,0.6293294,0.17697245
56,0.1040389,0.675897,0.22006407
57,0.28154227,0.55854577,0.15991196
58,0.42252135,0.20629366,0.37118503
59,0.35526434,0.37665957,0.26807612
60,0.6391626,0.13170438,0.229133
61,0.3763009,0.33128664,0.29241252
62,0.36672115,0.33352655,0.29975227
63,0.37269306,0.48825252,0.13905445
64,0.3298966,0.36678222,0.30332118
65,0.66453415,0.1310106,0.20445526
66,0.3002812,0.30360684,0.396112
67,0.4159253,0.46130413,0.12277054
68,0.13960156,0.3688446,0.49155378
69,0.2014416,0.16259252,0.6359659
70,0.37584174,0.4177304,0.20642783
71,0.4124085,0.15544395,0.43214756
72,0.37612,0.47393918,0.14994073
73,0.3866691,0.1191875,0.49414346
74,0.10639266,0.46477985,0.42882746
75,0.22473778,0.13060513,0.6446572
76,0.6295189,0.15710717,0.21337388
77,0.13946223,0.5820331,0.27850467
78,0.52008665,0.09736826,0.38254508
79,0.4417368,0.4116919,0.14657126
80,0.37251583,0.3162115,0.3112727
81,0.5969901,0.19189173,0.21111815
82,0.25991353,0.14708374,0.59300274
83,0.27221268,0.520036,0.20775135
84,0.13463561,0.22886397,0.6365004
85,0.61559874,0.23209833,0.15230289
86,0.25209525,0.14260477,0.6053
87,0.50529665,0.16945069,0.32525268
88,0.13240643,0.31736845,0.55022514
89,0.20874429,0.6348293,0.15642643
90,0.3924341,0.4657419,0.14182393
91,0.2706315,0.3092249,0.4201436
92,0.24115515,0.59510684,0.16373804
93,0.2208686,0.16204602,0.6170854
94,0.12822509,0.5411546,0.33062032
95,0.38708526,0.32806626,0.28484845
96,0.58457386,0.29526815,0.120158
97,0.11626918,0.49828252,0.3854484
98,0.19841547,0.16529515,0.63628936
99,0.4283241,0.10231804,0.46935782
100,0.38243917,0.1117822,0.5057787
101,0.2924244,0.58112514,0.12645045
102,0.51793706,0.3133887,0.16867419
103,0.14576492,0.39388058,0.46035445
104,0.15207426,0.5113659,0.3365598
105,0.42032787,0.3927073,0.18696485
106,0.49833164,0.09707305,0.40459526
107,0.2997943,0.55325294,0.14695276
108,0.5482875,0.31113723,0.14057523
109,0.1357644,0.26120073,0.6030349
110,0.61398363,0.23866455,0.14735185
111,0.6549936,0.1836565,0.16134992
112,0.56251276,0.27153075,0.16595654
113,0.47133005,0.3837462,0.14492376
114,0.24841797,0.6185144,0.13306756
115,0.25311986,0.39153892,0.35534123
116,0.56864816,0.21334454,0.21800727
117,0.54491985,0.16356485,0.2915153
118,0.4518536,0.3337837,0.21436267
119,0.15260376,0.32981676,0.51757944
120,0.11417584,0.48275003,0.40307406
121,0.558776,0.16400856,0.27721545
122,0.42528868,0.40441996,0.17029136
123,0.5811601,0.13172014,0.28711975
124,0.444386,0.11976969,0.43584433
125,0.3478263,0.17432956,0.47784418
126,0.6083245,0.1836272,0.20804821
127,0.16253994,0.22674516,0.6107149
128,0.11568729,0.45739532,0.4269174
129,0.57844365,0.26787773,0.15367858
130,0.4501993,0.1506768,0.39912388
131,0.13159308,0.65136296,0.21704397
132,0.48811695,0.3627431,0.14914002
133,0.24117644,0.3972031,0.36162052
134,0.25704992,0.612999,0.12995103
135,0.20783147,0.31078842,0.48138008
136,0.20284986,0.518816,0.27833417
137,0.16232792,0.17285332,0.6648188
138,0.28145367,0.23555958,0.48298678
139,0.18013643,0.3635072,0.45635638
140,0.4966985,0.31393474,0.18936677
141,0.4697546,0.3975728,0.13267268
142,0.1311415,0.5268904,0.34196815
143,0.5367222,0.31579688,0.14748089
144,0.14615713,0.25604177,0.5978011
145,0.39854795,0.12948784,0.4719642
146,0.2070882,0.55192137,0.24099043
147,0.54875326,0.26940268,0.18184409
148,0.33939707,0.4885334,0.17206949
149,0.35251436,0.47594664,0.171539
150,0.47345763,0.3909462,0.13559616
151,0.1236327,0.5664635,0.30990383
152,0.1280227,0.42648518,0.4454921
153,0.31881678,0.109859474,0.57132375
154,0.26438305,0.123386845,0.61223006
155,0.45265803,0.15587436,0.39146766
156,0.17991392,0.5255477,0.2945384
157,0.14270224,0.66184235,0.19545542
158,0.53696716,0.1972658,0.265767
159,0.16156587,0.6614523,0.17698182
160,0.5229441,0.1988737,0.27818224
161,0.11609718,0.6042608,0.279642
162,0.15543787,0.44441846,0.40014365
163,0.61784834,0.1647667,0.21738493
164,0.60961807,0.21332635,0.17705554
165,0.15998442,0.19637023,0.6436454
166,0.6106032,0.17445718,0.21493962
167,0.41604626,0.117525354,0.46642837
168,0.54683363,0.10233037,0.35083595
169,0.45877907,0.23844598,0.302775
170,0.5539457,0.13076618,0.31528813
171,0.40964592,0.13153207,0.45882207
172,0.3271634,0.4742203,0.1986163
173,0.49046808,0.16156593,0.34796602
174,0.6507749,0.17038782,0.17883736
175,0.109259695,0.4885139,0.40222648
176,0.14416751,0.40306014,0.45277238
177,0.26748666,0.5776909,0.15482247
178,0.30748603,0.2128424,0.47967154
179,0.2993845,0.51877356,0.18184192
180,0.271231,0.53171176,0.19705725
181,0.17798637,0.63430643,0.1877072
182,0.13920306,0.4025553,0.45824167
183,0.15987055,0.672457,0.16767247
184,0.5291463,0.33439478,0.13645889
185,0.6438146,0.1917128,0.16447254
186,0.51184255,0.13110386,0.35705358
187,0.36954275,0.509814,0.120643295
188,0.23322754,0.43622252,0.3305499
189,0.5344522,0.3258801,0.13966769
190,0.23660798,0.5823934,0.1809986
191,0.29778898,0.22540267,0.47680837
192,0.4901502,0.32760912,0.1822407
193,0.1707361,0.28874865,0.5405153
194,0.40712032,0.2159787,0.37690097
195,0.6093551,0.19226001,0.19838487
196,0.28534365,0.12504654,0.58960974
197,0.32806027,0.095548786,0.5763909
198,0.16469128,0.6399729,0.19533579
199,0.2672305,0.59249264,0.14027683
200,0.1388386,0.49932647,0.3618349
201,0.49267206,0.1350255,0.3723024
202,0.5257051,0.11656752,0.35772738
203,0.33160645,0.16043465,0.5079589
204,0.5030891,0.20236526,0.2945457
205,0.15555076,0.46083045,0.38361877
206,0.385732,0.39150688,0.22276106
207,0.29767653,0.24344249,0.458881
208,0.41575637,0.29385164,0.29039195
209,0.44536757,0.4086431,0.14598934
210,0.18009359,0.47480854,0.3450979
211,0.24188447,0.6213824,0.13673308
212,0.3712138,0.38827896,0.24050725
213,0.14736779,0.43807817,0.4145541
214,0.5338449,0.14332756,0.32282755
215,0.34363782,0.504219,0.15214317
216,0.2901746,0.27990744,0.42991796
217,0.48798865,0.14443618,0.3675752
218,0.57399976,0.21373631,0.21226391
219,0.17877793,0.19279647,0.62842566
220,0.22826296,0.62686944,0.14486763
221,0.41289252,0.4600499,0.12705752
222,0.17435741,0.48917034,0.33647233
223,0.21551552,0.5973521,0.18713237
224,0.1267468,0.3463899,0.52686334
225,0.43655542,0.17146032,0.39198428
226,0.6740997,0.14056928,0.18533102
227,0.13868049,0.4283412,0.4329783
228,0.44109315,0.2717778,0.287129
229,0.4351267,0.11867981,0.44619343
230,0.119078234,0.4628229,0.41809887
231,0.14841516,0.4959592,0.35562563
232,0.54577255,0.087652914,0.3665745
233,0.119084165,0.51981914,0.3610967
234,0.6487783,0.117667474,0.23355426
235,0.6448906,0.16927753,0.18583192
236,0.4831765,0.3482773,0.16854617
237,0.38392365,0.09901856,0.5170578
238,0.14720601,0.40131485,0.45147914
239,0.28474355,0.12694122,0.58831525
240,0.6438015,0.12413051,0.23206803
241,0.16275916,0.5564,0.28084087
242,0.5473304,0.26273373,0.18993583
243,0.27978358,0.58214545,0.13807097
244,0.5489644,0.28717592,0.16385974
245,0.2714014,0.32789737,0.4007013
246,0.40941364,0.4295645,0.16102184
247,0.4307492,0.15047991,0.41877085
248,0.30510056,0.51632595,0.17857347
249,0.16776983,0.67929065,0.15293948
250,0.22525807,0.62762904,0.14711289
251,0.18695898,0.650147,0.16289401
252,0.4648923,0.24678315,0.28832448
253,0.4526467,0.13689071,0.41046265
254,0.6180297,0.2070514,0.17491886
255,0.525537,0.1016103,0.37285262
256,0.586943,0.16825713,0.24479991
257,0.5658365,0.16708378,0.26707974
258,0.24369486,0.6286639,0.12764125
259,0.13021308,0.40340912,0.4663778
260,0.24567664,0.6320916,0.1222318
261,0.19644211,0.15631182,0.64724606
262,0.1654307,0.19386218,0.64070714
263,0.58496064,0.19584925,0.21919009
264,0.21072085,0.25442007,0.53485906
265,0.2360992,0.23003297,0.5338678
266,0.11968952,0.40228721,0.47802323
267,0.18007423,0.16850355,0.65142226
268,0.30572677,0.2807599,0.4135133
269,0.49488023,0.12468015,0.3804396
270,0.35285324,0.32004893,0.32709786
271,0.13255607,0.34143537,0.52600855
272,0.13070753,0.3407006,0.5285919
273,0.46911582,0.39430565,0.13657853
274,0.20696738,0.6469331,0.14609954
275,0.17643648,0.27213863,0.5514249
276,0.66606414,0.17111667,0.16281915
277,0.51049286,0.23114845,0.25835866
278,0.17323013,0.56238264,0.26438722
279,0.22501108,0.58352906,0.19145991
280,0.2258655,0.58980674,0.18432778
281,0.19021091,0.6478154,0.16197369
282,0.63827306,0.1855238,0.17620315
283,0.4607004,0.4127381,0.12656154
284,0.47788718,0.15152311,0.37058973
285,0.5156365,0.26526135,0.21910214
286,0.49635547,0.14341891,0.36022562
287,0.3146194,0.55944604,0.12593456
288,0.12271536,0.68570095,0.1915836
289,0.11729708,0.53841895,0.34428394
290,0.44786704,0.32960114,0.2225318
291,0.58150566,0.2702631,0.14823124
292,0.20550446,0.15445052,0.640045
293,0.53456545,0.33217698,0.1332576
294,0.28453276,0.42186922,0.293598
295,0.2804808,0.13146101,0.58805823
296,0.602708,0.21012883,0.1871632
297,0.46559334,0.4048925,0.12951414
298,0.23664705,0.14887778,0.6144752
299,0.51080644,0.11623375,0.3729598
300,0.4162177,0.096281886,0.48750043
301,0.571056,0.23885281,0.19009124
302,0.6562755,0.14876257,0.19496189
303,0.15103407,0.28279075,0.56617516
304,0.114529595,0.5679646,0.31750578
305,0.23062702,0.26869583,0.5006771
306,0.12574959,0.450283,0.42396742
307,0.48349783,0.23512636,0.28137583
308,0.16431402,0.558103,0.27758297
309,0.16656719,0.6138634,0.21956944
310,0.62995857,0.15100178,0.21903971
311,0.50734246,0.35281432,0.13984321
312,0.3149173,0.17428899,0.51079375
313,0.31984213,0.1761413,0.5040166
314,0.36104557,0.11682409,0.5221303
315,0.54161364,0.3228663,0.13552016
316,0.44711766,0.39916033,0.15372199
317,0.60258883,0.21705201,0.18035917
318,0.23619516,0.52739227,0.23641257
319,0.14023663,0.5934725,0.2662908
320,0.34819657,0.13667002,0.5151334
321,0.49411616,0.14828503,0.35759887
322,0.25495145,0.13991125,0.6051374
