,C10,SVEC,RAW
0,0.19235605,0.15116823,0.6564758
1,0.20869201,0.6514997,0.13980828
2,0.2626543,0.3272304,0.4101153
3,0.4415549,0.30814868,0.25029644
4,0.19832227,0.34549248,0.45618528
5,0.19703946,0.5411856,0.26177493
6,0.16886179,0.14372806,0.6874102
7,0.5139315,0.27074212,0.21532634
8,0.28508857,0.5596479,0.15526353
9,0.29737765,0.57638603,0.12623635
10,0.24375275,0.64975274,0.106494494
11,0.33851156,0.50360763,0.15788083
12,0.17038426,0.1849055,0.6447103
13,0.2162598,0.13267851,0.65106165
14,0.1727852,0.21622953,0.6109853
15,0.17178354,0.20009288,0.6281236
16,0.1958485,0.6302313,0.17392023
17,0.20409021,0.589487,0.20642278
18,0.20189214,0.6133975,0.18471035
19,0.36642602,0.5055014,0.1280726
20,0.4451473,0.40393662,0.15091608
21,0.2509055,0.46289194,0.28620255
22,0.26540455,0.55400175,0.18059365
23,0.20198548,0.21813102,0.57988346
24,0.26517496,0.11077663,0.6240484
25,0.3137099,0.16820757,0.5180825
26,0.40248284,0.45193648,0.14558062
27,0.47508913,0.21589035,0.3090205
28,0.19227713,0.33124846,0.47647443
29,0.385439,0.21779466,0.3967663
30,0.45002577,0.18385272,0.36612156
31,0.44552886,0.40009907,0.15437211
32,0.3060211,0.3914015,0.30257744
33,0.2657921,0.10441287,0.629795
34,0.38891792,0.31335416,0.29772788
35,0.23498781,0.5838121,0.18120007
36,0.21795866,0.6581215,0.123919785
37,0.19829191,0.11190224,0.68980587
38,0.49318272,0.2640581,0.24275923
39,0.24215837,0.5435872,0.21425445
40,0.17184189,0.47983325,0.34832492
41,0.50862956,0.28845268,0.20291775
42,0.1913923,0.6270634,0.18154429
43,0.20855439,0.12514403,0.66630155
44,0.18902567,0.110632665,0.70034164
45,0.325141,0.13088158,0.54397744
46,0.26754704,0.10691652,0.62553644
47,0.26267558,0.30218792,0.43513653
48,0.21648666,0.64075017,0.14276321
49,0.21145841,0.113156386,0.6753852
50,0.27676752,0.121143855,0.60208863
51,0.24433815,0.11742305,0.6382387
52,0.4645996,0.39114308,0.14425732
53,0.398493,0.1434357,0.4580713
54,0.29256976,0.12361013,0.58382016
55,0.5052911,0.29882234,0.19588654
56,0.4877163,0.34815165,0.16413209
57,0.32645693,0.5690079,0.104535215
58,0.28956237,0.5555421,0.15489554
59,0.3708406,0.35907042,0.270089
60,0.35223478,0.36617744,0.28158784
61,0.504912,0.27563605,0.21945187
62,0.4918779,0.27495536,0.2331667
63,0.15851156,0.2178161,0.6236723
64,0.2049304,0.100068055,0.69500154
65,0.30441612,0.15823163,0.5373523
66,0.17687482,0.11103543,0.7120897
67,0.28558728,0.6006647,0.113747984
68,0.21205644,0.2376532,0.5502904
69,0.2981992,0.12309247,0.57870835
70,0.3400174,0.5505381,0.10944448
71,0.17845118,0.17915861,0.64239025
72,0.2439738,0.1485671,0.6074591
73,0.43029165,0.29967228,0.27003607
74,0.20874986,0.4193602,0.37188995
75,0.458254,0.39352247,0.1482235
76,0.18903494,0.11475663,0.6962084
77,0.4565837,0.21925405,0.32416227
78,0.3205516,0.55289954,0.12654887
79,0.19660035,0.6640804,0.1393193
80,0.35813272,0.5420286,0.09983872
81,0.1743097,0.12039106,0.7052992
82,0.24061108,0.13467485,0.624714
83,0.16559161,0.21070926,0.6236992
84,0.4185998,0.46322426,0.11817589
85,0.22515184,0.12980747,0.6450407
86,0.3505309,0.5525252,0.09694389
87,0.26531845,0.11498663,0.61969495
88,0.45448717,0.2555216,0.2899912
89,0.19439785,0.66612756,0.13947463
90,0.5074353,0.23144507,0.2611196
91,0.2982226,0.5982048,0.10357259
92,0.44937775,0.35598987,0.19463232
93,0.34780675,0.49918452,0.15300873
94,0.37983385,0.5084915,0.11167459
95,0.20585026,0.3929824,0.40116736
96,0.16940114,0.11537707,0.71522176
97,0.20165609,0.40666848,0.39167544
98,0.2702523,0.64449155,0.08525613
99,0.2671078,0.4492731,0.28361908
100,0.20254676,0.09490565,0.7025476
101,0.3066498,0.123958014,0.56939214
