,C10,SVEC,RAW
0,0.7084987,0.13164955,0.15985164
1,0.29787058,0.61654747,0.08558201
2,0.08464524,0.1731491,0.74220574
3,0.23540005,0.69621384,0.06838608
4,0.097959235,0.09855462,0.80348617
5,0.099553585,0.7438995,0.15654686
6,0.14779979,0.06853923,0.78366095
7,0.14807351,0.096191145,0.7557353
8,0.07175432,0.83791965,0.090326004
9,0.11302499,0.78396505,0.103009954
10,0.12538181,0.060823526,0.8137946
11,0.1771978,0.747827,0.07497522
12,0.13778318,0.067127876,0.7950888
13,0.7615,0.08013542,0.15836452
14,0.08889339,0.7951845,0.11592217
15,0.30711472,0.6111903,0.08169496
16,0.09508187,0.24696212,0.65795606
17,0.7598315,0.07405893,0.16610958
18,0.0774444,0.15760843,0.7649472
19,0.092942245,0.77338797,0.13366981
20,0.08194882,0.2612563,0.6567949
21,0.7684085,0.111088455,0.12050309
22,0.7383305,0.098076634,0.16359286
23,0.16568203,0.7339863,0.10033168
24,0.12075071,0.7923317,0.08691764
25,0.2079056,0.69107145,0.101022996
26,0.13168134,0.1424833,0.7258353
27,0.098038375,0.8128907,0.089070864
28,0.089364275,0.83264744,0.07798832
29,0.09522101,0.17054163,0.73423743
30,0.072739735,0.1418252,0.78543514
31,0.78648204,0.0637333,0.14978465
32,0.120905444,0.15731631,0.7217783
33,0.0914827,0.14367041,0.7648469
34,0.7429152,0.06039843,0.19668634
35,0.76519793,0.07829656,0.15650551
36,0.23601012,0.690454,0.07353587
37,0.09795743,0.15923725,0.74280524
38,0.7552944,0.101509236,0.14319637
39,0.106932014,0.8105771,0.08249091
40,0.117756166,0.113936976,0.7683068
41,0.76677084,0.07427544,0.15895371
42,0.7515972,0.074797735,0.17360505
43,0.08746679,0.19054566,0.7219876
44,0.7662838,0.14582512,0.08789107
45,0.12943311,0.088154405,0.78241247
46,0.78237116,0.0784679,0.13916092
47,0.7527131,0.1339615,0.11332547
48,0.16458642,0.08142217,0.75399137
49,0.08302001,0.10218471,0.81479526
50,0.757781,0.11009565,0.13212334
51,0.09072678,0.11905256,0.7902207
52,0.7242315,0.12106958,0.15469901
53,0.10702844,0.094032764,0.7989388
54,0.7610192,0.12706345,0.11191729
55,0.76987755,0.062112607,0.16800985
56,0.7466121,0.15052567,0.10286225
57,0.12054246,0.78242844,0.09702907
58,0.7780675,0.09208806,0.12984444
59,0.73228985,0.089283355,0.17842679
60,0.08542733,0.21657503,0.6979977
61,0.19559056,0.7083072,0.09610232
62,0.08603885,0.14967118,0.76429
63,0.086819686,0.22477125,0.68840915
64,0.7087328,0.11188181,0.17938548
65,0.15147331,0.74648696,0.1020397
66,0.085213415,0.28448632,0.6303002
67,0.07685493,0.24429211,0.6788529
68,0.20257874,0.7198954,0.07752584
69,0.08011228,0.16796604,0.75192165
70,0.76528895,0.08671754,0.14799349
71,0.7048607,0.085269235,0.20987007
72,0.6637041,0.18543443,0.15086147
73,0.6427056,0.08282192,0.27447242
74,0.16613293,0.74781775,0.08604936
75,0.7559645,0.15720135,0.08683408
76,0.0863897,0.19004467,0.72356564
77,0.70709425,0.12193769,0.17096804
78,0.777708,0.111026,0.11126604
79,0.088824116,0.82758486,0.08359098
80,0.08407224,0.096870214,0.81905764
81,0.06989872,0.21513088,0.7149704
82,0.07563322,0.117864005,0.80650276
83,0.14640695,0.7679588,0.08563418
84,0.086668134,0.14548774,0.76784414
85,0.091396034,0.20598103,0.7026229
86,0.08363148,0.2664157,0.6499529
87,0.07807994,0.15813491,0.76378506
88,0.08049093,0.18534856,0.73416054
89,0.70195746,0.09899429,0.19904828
90,0.24366051,0.6960766,0.06026293
91,0.7993969,0.113443784,0.08715928
92,0.082153216,0.1178357,0.80001104
93,0.7942837,0.10967854,0.09603773
94,0.8062667,0.10788622,0.08584704
95,0.15257251,0.0765968,0.7708307
96,0.12564878,0.7456278,0.12872338
97,0.1743714,0.7571353,0.06849338
98,0.103231736,0.80708885,0.089679405
99,0.22060712,0.6997115,0.0796814
100,0.7568683,0.10803528,0.13509648
101,0.083858624,0.16753916,0.7486022
102,0.7420027,0.10828399,0.14971334
103,0.7892346,0.06430688,0.14645857
104,0.7803781,0.1332021,0.08641973
105,0.1315905,0.80376256,0.06464692
106,0.1560384,0.7588307,0.085130855
107,0.82145435,0.08550567,0.09303997
108,0.19404171,0.71702695,0.08893136
109,0.10769607,0.10046869,0.7918353
110,0.07546467,0.18038988,0.7441454
111,0.07455711,0.7933052,0.13213763
112,0.12560005,0.78162843,0.09277159
113,0.09804359,0.11355318,0.78840333
114,0.76965475,0.08246648,0.1478788
115,0.2625973,0.6497238,0.087678924
116,0.08861413,0.20450027,0.7068857
117,0.08433475,0.20597407,0.70969117
118,0.18345883,0.72692734,0.08961382
119,0.19786344,0.7169241,0.0852125
120,0.67778146,0.20354189,0.11867664
121,0.7482062,0.08325398,0.16853982
122,0.29854223,0.6288116,0.07264615
123,0.6709916,0.08846089,0.24054751
124,0.11010177,0.14706619,0.74283206
125,0.09125039,0.7657003,0.14304928
126,0.06507432,0.8194057,0.11551999
127,0.09860736,0.17891003,0.7224826
128,0.07980334,0.82233304,0.09786362
129,0.07759328,0.7714067,0.15100004
130,0.21176714,0.7075521,0.08068076
131,0.11933734,0.7935994,0.08706327
132,0.08532617,0.78791964,0.12675418
133,0.06983618,0.82660717,0.10355664
134,0.7237178,0.1550755,0.12120668
135,0.10415496,0.7624667,0.13337831
136,0.6988311,0.06505378,0.23611511
137,0.13615331,0.8016635,0.062183123
138,0.14558193,0.06788229,0.7865358
139,0.119765215,0.11100575,0.76922894
140,0.6754108,0.07932241,0.24526681
141,0.76048344,0.0894492,0.15006728
142,0.23494488,0.6938846,0.071170494
143,0.13794243,0.1148778,0.7471798
144,0.10112102,0.3259299,0.5729492
145,0.7924885,0.041004125,0.16650733
146,0.13949217,0.76146114,0.099046715
147,0.07455693,0.1781417,0.7473013
148,0.29529357,0.6200908,0.08461562
149,0.08658173,0.7881489,0.1252694
150,0.07940149,0.24912775,0.67147076
151,0.12059811,0.81067085,0.06873106
152,0.2345235,0.6971837,0.068292804
153,0.18828197,0.71006083,0.10165721
154,0.06952095,0.18982705,0.74065197
155,0.7658467,0.08523069,0.14892258
156,0.09717334,0.100942396,0.8018843
157,0.088831685,0.102521405,0.80864686
158,0.19490531,0.72403497,0.081059806
159,0.7598302,0.118591584,0.12157827
160,0.16706681,0.751816,0.08111721
161,0.7602846,0.10026741,0.13944791
162,0.7216791,0.16845705,0.10986386
163,0.6953764,0.19986565,0.10475788
164,0.72806925,0.12926225,0.14266849
165,0.68927777,0.07845876,0.23226354
166,0.3225782,0.5781627,0.099259056
167,0.8225627,0.062586606,0.11485066
168,0.76642495,0.08288903,0.15068597
169,0.08008084,0.24319357,0.6767256
170,0.089809366,0.29021502,0.61997557
171,0.11800484,0.14788693,0.7341082
172,0.6896016,0.14596839,0.16443004
173,0.076385066,0.17506456,0.74855036
174,0.75891,0.067746654,0.17334335
175,0.091831006,0.22196233,0.68620664
176,0.7768916,0.07365808,0.14945027
177,0.71776426,0.092932336,0.18930337
178,0.713545,0.15072298,0.13573198
179,0.77662265,0.081667915,0.14170948
180,0.13922116,0.78768283,0.07309596
181,0.79919106,0.081252776,0.11955612
182,0.21846683,0.69750243,0.08403073
183,0.1251712,0.79012054,0.084708236
184,0.80353653,0.058906164,0.13755731
185,0.79098004,0.0980574,0.110962525
186,0.11514534,0.09194859,0.7929061
187,0.081208065,0.24024387,0.67854804
