,C10,SVEC,RAW
0,0.35774097,0.37829226,0.26396677
1,0.38094333,0.23607443,0.38298228
2,0.34827924,0.27870813,0.37301263
3,0.36231264,0.39133534,0.24635205
4,0.36240932,0.38370022,0.25389048
5,0.3206334,0.28393182,0.3954348
6,0.31965172,0.36668968,0.3136586
7,0.37935182,0.40519533,0.21545282
8,0.38779193,0.3901761,0.22203197
9,0.29243842,0.2941272,0.41343436
10,0.38536963,0.40486807,0.20976228
11,0.32336488,0.40427575,0.2723594
12,0.34817195,0.25268283,0.39914522
13,0.35864133,0.37868983,0.2626689
14,0.382607,0.25187042,0.36552253
15,0.33742547,0.403992,0.25858247
16,0.35637343,0.24605842,0.39756814
17,0.37149647,0.38314697,0.24535656
18,0.3404076,0.39429608,0.26529628
19,0.34223258,0.268045,0.38972247
20,0.37604532,0.41370073,0.2102539
21,0.3489705,0.40946743,0.24156205
22,0.33921826,0.39320487,0.2675769
23,0.3668421,0.3719054,0.2612525
24,0.3486036,0.41611966,0.23527668
25,0.34785822,0.41759974,0.23454209
26,0.3586543,0.34467918,0.29666653
27,0.35222927,0.35567755,0.29209322
28,0.33016238,0.26975885,0.4000788
29,0.3508328,0.4117586,0.23740858
30,0.34809056,0.36827075,0.28363872
31,0.31662244,0.4601925,0.22318499
32,0.2983695,0.45761853,0.24401198
33,0.35337245,0.4432596,0.20336795
34,0.39351463,0.3874844,0.21900098
35,0.33463234,0.30284664,0.362521
36,0.34177697,0.42627883,0.23194417
37,0.38904616,0.35852107,0.25243273
38,0.38841802,0.38398567,0.22759634
39,0.3463506,0.43295875,0.22069061
40,0.3301161,0.23089568,0.43898824
41,0.32175577,0.39398906,0.28425518
42,0.33693457,0.33063325,0.33243215
43,0.35690802,0.28337973,0.35971227
44,0.3476582,0.36609912,0.28624272
45,0.37262642,0.3970052,0.23036833
46,0.35715216,0.26965347,0.37319434
47,0.38757777,0.31008038,0.30234185
48,0.32776925,0.45002085,0.22220998
49,0.38381183,0.38718945,0.22899869
50,0.35891473,0.25030395,0.39078137
51,0.34972998,0.37984893,0.2704211
52,0.32684848,0.27425727,0.39889428
53,0.3338259,0.238009,0.4281651
54,0.3441194,0.4438612,0.21201941
55,0.35659957,0.2312105,0.4121899
56,0.3549434,0.35772178,0.2873348
57,0.34374988,0.39129978,0.2649503
58,0.36127147,0.24941078,0.38931772
59,0.40452147,0.38493183,0.21054663
60,0.3541229,0.26148713,0.38438994
61,0.3564324,0.42648557,0.217082
62,0.38729995,0.38621795,0.22648208
63,0.3538239,0.25815073,0.3880254
64,0.378995,0.41198283,0.2090222
65,0.3573721,0.38808525,0.25454262
66,0.3355642,0.42223445,0.24220133
67,0.34210268,0.42034462,0.23755267
68,0.3604646,0.4024148,0.23712058
69,0.3915758,0.3860716,0.22235264
70,0.35383645,0.34071237,0.30545115
71,0.4178041,0.25740296,0.32479298
72,0.30736563,0.24252507,0.4501093
73,0.34810877,0.3754985,0.27639273
74,0.36493772,0.3891011,0.24596116
75,0.32946303,0.40162107,0.2689159
76,0.36330965,0.36904553,0.26764476
77,0.35410067,0.2528292,0.3930701
78,0.3568478,0.3795272,0.26362497
79,0.32607424,0.35972527,0.31420052
80,0.35145834,0.40310717,0.24543445
81,0.3797507,0.37221202,0.24803731
82,0.28207022,0.34099117,0.3769386
83,0.34638909,0.37977016,0.27384073
84,0.33518738,0.39873126,0.2660814
85,0.3710168,0.32819754,0.30078572
86,0.3833746,0.38196427,0.23466112
87,0.34087345,0.38777745,0.27134913
88,0.35421064,0.42767203,0.2181173
89,0.37144703,0.22864832,0.39990458
