,C10,SVEC,RAW
0,0.19992405,0.62149984,0.1785761
1,0.2105441,0.27609217,0.5133638
2,0.55829996,0.19532257,0.24637745
3,0.20587099,0.6052407,0.1888883
4,0.5598231,0.19622797,0.24394892
5,0.24087478,0.186613,0.5725122
6,0.17643367,0.25190318,0.57166314
7,0.21378909,0.63823795,0.14797293
8,0.28035557,0.17955026,0.54009414
9,0.18906704,0.6528042,0.15812883
10,0.21185076,0.6187648,0.16938443
11,0.55141187,0.13695313,0.311635
12,0.60420847,0.12763852,0.26815298
13,0.5604462,0.19073664,0.24881718
14,0.2770107,0.5846105,0.13837878
15,0.19582777,0.21350013,0.5906721
16,0.2577409,0.1478533,0.59440583
17,0.615859,0.12949906,0.25464198
18,0.5681069,0.24968216,0.18221095
19,0.64875084,0.15179881,0.19945036
20,0.16475932,0.25911745,0.57612324
21,0.13674542,0.37298334,0.49027127
22,0.1905316,0.62554204,0.18392636
23,0.5130455,0.29225853,0.19469595
24,0.15587477,0.63545096,0.20867427
25,0.6155231,0.19803542,0.18644147
26,0.63161206,0.12809388,0.24029401
27,0.18024112,0.24714506,0.57261384
28,0.19148223,0.26181233,0.54670537
29,0.58003277,0.25599518,0.16397206
30,0.22175844,0.5922398,0.18600173
31,0.20917894,0.6074478,0.18337324
32,0.16116498,0.3369336,0.5019014
33,0.210421,0.24643004,0.54314893
34,0.33667734,0.51688015,0.14644255
35,0.56497353,0.17998014,0.25504628
36,0.16829032,0.26901996,0.5626897
37,0.55401653,0.13629507,0.30968836
38,0.6240558,0.10695782,0.2689863
39,0.2135793,0.6143134,0.17210726
40,0.14571343,0.22652401,0.62776256
41,0.29748023,0.59271395,0.109805785
42,0.21328922,0.27420312,0.5125077
43,0.23232044,0.5948844,0.1727951
44,0.59613675,0.1564705,0.24739271
45,0.15495966,0.2376665,0.60737383
46,0.14559633,0.30963632,0.5447674
47,0.16676487,0.23063333,0.60260177
48,0.24225947,0.22378789,0.5339526
49,0.649917,0.12610611,0.22397691
50,0.15268682,0.6527022,0.19461095
51,0.15435538,0.5931593,0.2524853
52,0.20120402,0.20084906,0.59794694
53,0.139189,0.67363065,0.18718037
54,0.17974752,0.21689226,0.6033602
55,0.18957058,0.3221323,0.48829708
56,0.31798172,0.5465037,0.13551459
57,0.28372437,0.5947775,0.12149814
58,0.17510459,0.62327844,0.20161697
59,0.24427867,0.61800736,0.13771403
60,0.21502268,0.16687948,0.61809784
61,0.17859502,0.66129863,0.16010638
62,0.15887797,0.65242636,0.18869565
63,0.6450608,0.15152328,0.203416
64,0.53384453,0.27903628,0.18711914
65,0.48058608,0.31887013,0.20054382
66,0.17126326,0.56623197,0.26250473
67,0.21832854,0.61066556,0.17100595
68,0.5057156,0.24062665,0.25365776
69,0.17977536,0.5814548,0.23876981
70,0.5883378,0.1657858,0.24587634
71,0.5542091,0.21689822,0.22889262
72,0.54776824,0.25451797,0.19771373
73,0.5760165,0.19903515,0.22494835
74,0.529575,0.29594278,0.17448217
75,0.15574805,0.6503402,0.19391179
76,0.52901053,0.21231648,0.25867292
77,0.18000875,0.6688398,0.15115145
78,0.2673476,0.5808296,0.15182276
79,0.2383085,0.599917,0.1617745
80,0.31286755,0.5477184,0.13941406
81,0.5650525,0.1804057,0.25454178
82,0.13870478,0.32175684,0.5395383
83,0.2085152,0.613543,0.17794183
84,0.6150055,0.15918507,0.2258094
85,0.22564794,0.6236201,0.15073201
86,0.64114326,0.19116743,0.16768934
87,0.21959725,0.60733193,0.1730708
88,0.57855403,0.20715362,0.21429236
89,0.19550757,0.6063647,0.19812772
90,0.61716926,0.19122258,0.19160812
91,0.56607217,0.25220904,0.18171877
92,0.17636783,0.2345762,0.58905596
93,0.5116727,0.2839505,0.2043768
94,0.19187348,0.21829464,0.58983195
95,0.18189311,0.2713494,0.5467575
96,0.60965616,0.22906175,0.16128202
97,0.15298435,0.27682284,0.5701928
98,0.5731825,0.20118012,0.22563739
99,0.55463487,0.1823554,0.26300973
100,0.25610295,0.61027855,0.13361853
101,0.24647322,0.55283576,0.20069103
102,0.24338436,0.5896617,0.16695397
103,0.59832996,0.21523926,0.18643084
104,0.23552255,0.16399212,0.6004853
105,0.19733486,0.18261316,0.62005204
106,0.16638012,0.28641033,0.5472095
107,0.20598699,0.62141764,0.17259538
108,0.20751481,0.55490166,0.23758353
109,0.19544737,0.2648829,0.53966975
110,0.57951236,0.16048478,0.2600029
111,0.5214001,0.13963561,0.3389643
112,0.2098462,0.64461327,0.14554052
113,0.15171452,0.6253433,0.22294211
114,0.6258428,0.18026103,0.1938961
115,0.27925754,0.5860209,0.1347215
116,0.5720116,0.16416812,0.2638203
117,0.15117855,0.6528783,0.19594316
118,0.12723772,0.33895838,0.53380394
119,0.27748153,0.5365451,0.18597339
120,0.2590471,0.60019994,0.14075294
121,0.55939794,0.22586136,0.21474075
122,0.1729913,0.27425483,0.55275387
123,0.15001303,0.6597919,0.19019508
124,0.2819484,0.55302393,0.16502763
125,0.16639061,0.57707685,0.25653255
126,0.15426567,0.30127332,0.544461
127,0.19440614,0.20339599,0.6021979
128,0.5435247,0.26419273,0.19228265
129,0.21211353,0.18955287,0.5983336
130,0.56365067,0.16821386,0.26813546
131,0.5444248,0.15224123,0.303334
132,0.14716792,0.27545148,0.57738054
133,0.19939227,0.21782333,0.5827844
134,0.1816687,0.2632584,0.55507296
135,0.25972235,0.1376003,0.60267735
136,0.60292083,0.24344511,0.15363403
137,0.5970163,0.16830876,0.23467495
138,0.17603707,0.24798484,0.57597804
139,0.2105336,0.15569854,0.6337679
140,0.18234298,0.6560828,0.16157418
141,0.5058354,0.31512436,0.1790402
142,0.16604687,0.5431263,0.29082686
143,0.54945844,0.2189305,0.23161103
144,0.6336656,0.14494808,0.22138628
145,0.55902004,0.16919743,0.27178258
146,0.6323947,0.1606487,0.2069566
147,0.56980395,0.21305087,0.21714522
148,0.5803535,0.27425978,0.14538667
149,0.17202058,0.26165593,0.5663235
150,0.2614937,0.613661,0.12484529
151,0.15779474,0.2037476,0.63845766
152,0.6244746,0.19158292,0.18394245
153,0.6440796,0.19240412,0.16351627
154,0.18664591,0.27313045,0.5402237
155,0.52127564,0.23476933,0.24395512
156,0.178077,0.6411677,0.18075532
157,0.59842104,0.21379918,0.18777978
158,0.22313711,0.62858254,0.14828035
159,0.6137818,0.1567294,0.22948882
160,0.20154709,0.6334697,0.16498318
161,0.56757486,0.24623153,0.18619353
162,0.17460054,0.1869555,0.63844395
163,0.17238171,0.18968704,0.63793135
164,0.6065891,0.15025319,0.24315771
165,0.14338563,0.6832043,0.17341006
166,0.18719794,0.623567,0.18923508
167,0.27210066,0.18744749,0.5404519
168,0.20517926,0.62222654,0.17259425
169,0.22317427,0.25658673,0.520239
170,0.2555894,0.6136968,0.13071375
171,0.14207534,0.27501723,0.58290744
172,0.14124529,0.68398577,0.1747689
173,0.20274752,0.6309641,0.16628835
174,0.15405993,0.29740983,0.5485303
175,0.20511037,0.2738871,0.52100253
176,0.5912028,0.19595644,0.21284081
177,0.24431638,0.18246403,0.5732196
178,0.16007477,0.61986184,0.22006343
179,0.6106652,0.1405031,0.24883172
180,0.32660025,0.5241025,0.14929718
181,0.62517977,0.21080352,0.16401668
182,0.18881895,0.15838075,0.6528003
183,0.21901494,0.30941164,0.4715734
184,0.20892589,0.60985875,0.18121536
185,0.14702289,0.2735899,0.5793872
186,0.16102311,0.31701732,0.52195954
187,0.6480925,0.1706924,0.18121508
188,0.6186072,0.12997577,0.251417
189,0.14620474,0.5975639,0.25623137
190,0.5558851,0.18933666,0.25477827
191,0.60355794,0.19716936,0.1992727
192,0.17794701,0.6197707,0.2022823
193,0.1396612,0.635173,0.22516581
194,0.21944982,0.57524264,0.20530754
195,0.27063477,0.577403,0.15196219
196,0.15835944,0.32790062,0.51373994
197,0.22977117,0.22087128,0.54935753
198,0.13267963,0.27829093,0.5890294
199,0.61615354,0.16176249,0.22208394
200,0.60224223,0.15575065,0.2420072
201,0.18956393,0.169447,0.6409891
202,0.50143385,0.31890795,0.17965816
203,0.5489912,0.20938168,0.24162708
204,0.30969825,0.5397296,0.1505722
205,0.5496514,0.18006393,0.27028474
206,0.17146361,0.20878159,0.6197548
207,0.17835157,0.24338835,0.57826006
208,0.14298275,0.6655174,0.19149986
209,0.5455571,0.17960326,0.27483967
210,0.13964292,0.37178698,0.4885701
211,0.20196877,0.1750604,0.6229709
212,0.61595315,0.20886233,0.17518446
213,0.5749916,0.13399246,0.29101598
214,0.33111805,0.5386611,0.1302209
215,0.22553304,0.11381007,0.6606569
216,0.14779513,0.32560834,0.5265965
217,0.1909206,0.2072321,0.6018473
218,0.1927868,0.6704579,0.13675527
219,0.19290632,0.22896118,0.5781325
220,0.18126412,0.63819104,0.18054487
221,0.5385426,0.29480648,0.16665095
222,0.61445504,0.19171926,0.19382562
223,0.22038203,0.20195118,0.57766676
224,0.21757407,0.6080328,0.17439312
225,0.17052454,0.57739854,0.25207686
226,0.5124927,0.23616755,0.25133976
227,0.59513324,0.16825922,0.23660758
228,0.1631837,0.26412323,0.57269305
229,0.24177867,0.61626136,0.14195994
230,0.28312105,0.5682916,0.14858736
231,0.18548462,0.64450383,0.17001154
232,0.6021578,0.16157599,0.23626624
233,0.22545478,0.17902651,0.5955187
234,0.22469658,0.23047791,0.54482555
235,0.16848175,0.601939,0.22957924
236,0.21256877,0.60766536,0.17976584
237,0.30878356,0.56011474,0.13110171
238,0.55878067,0.19478217,0.24643718
239,0.13497429,0.30446967,0.56055605
240,0.17615335,0.6428236,0.18102305
241,0.6051482,0.1688313,0.2260205
242,0.57451326,0.23011328,0.19537346
243,0.15397017,0.29308003,0.5529498
244,0.28555202,0.58152926,0.13291875
245,0.5572442,0.17072888,0.27202693
246,0.1915565,0.17206821,0.6363753
247,0.65043527,0.12344639,0.22611827
248,0.18689005,0.30062202,0.5124879
249,0.6265039,0.20476356,0.1687326
250,0.59539855,0.18079217,0.22380932
251,0.21466424,0.6190933,0.16624251
252,0.55959934,0.17182814,0.26857257
253,0.29497188,0.5746626,0.13036552
254,0.20478354,0.2073767,0.5878398
255,0.22227518,0.60350287,0.17422192
256,0.24636973,0.22888826,0.52474195
257,0.24554206,0.61317223,0.14128572
258,0.5731445,0.1957896,0.23106588
259,0.53900987,0.20638135,0.25460878
260,0.26823902,0.56995434,0.16180664
261,0.18281378,0.19035058,0.62683564
262,0.23288801,0.6111762,0.15593578
263,0.19191971,0.5929664,0.21511388
264,0.1925734,0.6327295,0.17469719
265,0.15947542,0.25507283,0.5854518
266,0.62500656,0.18437333,0.19062012
267,0.5352274,0.21947503,0.24529754
268,0.6027721,0.15644862,0.24077925
269,0.6173718,0.19468784,0.1879403
270,0.21004438,0.20624027,0.5837154
271,0.2634318,0.55096066,0.18560757
272,0.17711951,0.24373701,0.5791435
273,0.16532318,0.6169907,0.21768607
274,0.3329797,0.51936054,0.1476597
275,0.19481334,0.59284335,0.21234332
276,0.20736608,0.55842525,0.2342087
277,0.28544483,0.57666606,0.13788909
278,0.27642855,0.1812693,0.5423022
279,0.18402475,0.57795775,0.23801753
280,0.21815749,0.17171758,0.6101249
281,0.2273568,0.59804803,0.17459518
282,0.60175693,0.13242573,0.26581737
283,0.29619104,0.57015294,0.13365598
284,0.19124988,0.25191024,0.5568399
285,0.53333586,0.17977758,0.2868865
286,0.6153101,0.14792688,0.23676309
287,0.31985363,0.5460583,0.1340881
288,0.33915892,0.5364912,0.12434988
289,0.17135797,0.28393555,0.54470646
290,0.57010067,0.23327874,0.19662063
291,0.18356808,0.5669977,0.24943423
292,0.26594758,0.17072701,0.5633254
293,0.11754641,0.38934594,0.4931076
294,0.57766384,0.16978937,0.2525468
295,0.20221007,0.62584144,0.17194849
296,0.5686203,0.23919757,0.19218203
297,0.21405664,0.14420487,0.6417385
298,0.20520481,0.57630134,0.21849379
299,0.5980751,0.1799386,0.22198628
300,0.24369708,0.57053006,0.18577285
301,0.15029493,0.6864279,0.16327716
302,0.22611628,0.66482884,0.10905493
303,0.15272193,0.2648003,0.58247775
304,0.5950652,0.18809092,0.2168438
305,0.5929298,0.1901742,0.21689598
306,0.18217847,0.20416732,0.61365426
307,0.17334187,0.20066841,0.6259898
308,0.122148305,0.3594553,0.51839644
309,0.1966685,0.26749355,0.535838
310,0.17945734,0.6212241,0.19931851
311,0.6411387,0.15447769,0.20438361
312,0.3033785,0.53438,0.1622415
313,0.22756211,0.59487456,0.17756337
314,0.59811616,0.23326966,0.16861418
315,0.56809103,0.24311197,0.18879701
316,0.18060263,0.1610382,0.6583591
317,0.14407332,0.27818227,0.57774436
318,0.6025708,0.24572532,0.15170394
319,0.16214249,0.61846745,0.21939006
320,0.232245,0.59966457,0.1680904
321,0.5301336,0.16615467,0.30371174
322,0.17294614,0.21780819,0.6092457
323,0.25352156,0.57611,0.17036843
324,0.60098004,0.17601687,0.2230031
325,0.21074905,0.25354493,0.53570604
326,0.16976097,0.24775046,0.5824885
327,0.5344766,0.21988289,0.24564052
328,0.19793719,0.23178604,0.5702768
329,0.17909147,0.26367572,0.5572328
330,0.21368656,0.19589148,0.5904219
