,C10,SVEC,RAW
0,0.42841032,0.30993974,0.26164994
1,0.42232823,0.2649989,0.31267282
2,0.43643123,0.31547767,0.24809104
3,0.43918467,0.30804077,0.25277454
4,0.25663033,0.20273285,0.5406368
5,0.25768933,0.19512936,0.54718125
6,0.43877906,0.3021138,0.25910717
7,0.25585753,0.20668726,0.5374552
8,0.24855396,0.22987051,0.5215755
9,0.25723597,0.2134501,0.529314
10,0.24311864,0.22215964,0.53472173
11,0.24433465,0.24227661,0.51338875
12,0.2858554,0.5153656,0.198779
13,0.24788551,0.21938606,0.53272843
14,0.27763075,0.50231755,0.2200517
15,0.27063304,0.19806097,0.53130597
16,0.42212817,0.34499288,0.23287894
17,0.27596796,0.5167365,0.2072955
18,0.4280759,0.25737578,0.31454828
19,0.4237837,0.31629345,0.25992295
20,0.25385848,0.24314754,0.50299394
21,0.418367,0.33405674,0.24757628
22,0.293749,0.53815156,0.16809945
23,0.25304604,0.21893223,0.52802175
24,0.24745359,0.21920024,0.53334624
25,0.24748266,0.2402458,0.5122715
26,0.4303196,0.32161322,0.24806719
27,0.24050182,0.20380591,0.5556923
28,0.2606437,0.48899236,0.25036395
29,0.27251828,0.51635903,0.2111227
30,0.27091062,0.2155156,0.51357377
31,0.24404344,0.2306704,0.5252862
32,0.29521838,0.5160762,0.1887054
33,0.43014497,0.3316545,0.23820046
34,0.2622786,0.53031385,0.20740762
35,0.2616768,0.19546854,0.54285467
36,0.43015003,0.32627615,0.24357378
37,0.27912557,0.5077636,0.21311083
38,0.43076184,0.31151786,0.25772026
39,0.24758469,0.20706739,0.5453479
40,0.42410856,0.34347564,0.23241574
41,0.272919,0.52456987,0.20251113
42,0.2763214,0.515331,0.20834763
43,0.2799553,0.52323663,0.19680806
44,0.4290365,0.30802608,0.26293746
45,0.24858789,0.22501199,0.52640015
46,0.4278859,0.31690073,0.2552134
47,0.29150862,0.5238031,0.18468826
48,0.2539515,0.20564775,0.5404008
49,0.4308915,0.28807437,0.2810341
50,0.23894967,0.21932407,0.5417263
51,0.43903655,0.29917115,0.26179227
52,0.2883076,0.5153892,0.19630317
53,0.27775282,0.52516586,0.19708134
54,0.2560694,0.5108223,0.23310828
55,0.2841342,0.52427197,0.19159378
56,0.41712043,0.25733355,0.32554606
57,0.4186578,0.33963862,0.24170361
58,0.42897227,0.2767899,0.29423785
59,0.27918345,0.5307443,0.19007222
60,0.28995848,0.5171244,0.19291708
61,0.2576889,0.20450446,0.53780663
62,0.2505785,0.23143652,0.517985
63,0.2935113,0.5170161,0.18947256
64,0.28101283,0.5253806,0.19360659
65,0.42809072,0.30907443,0.2628349
66,0.28893095,0.50240153,0.2086675
67,0.27301094,0.53627974,0.19070935
68,0.42447692,0.31488416,0.260639
69,0.25496298,0.5160061,0.22903097
70,0.27387273,0.53089684,0.19523041
71,0.25125945,0.21159579,0.5371447
72,0.42322072,0.27957729,0.29720196
73,0.28833237,0.50745577,0.20421185
74,0.42837065,0.3417016,0.22992766
75,0.41952983,0.34580496,0.23466524
76,0.24932003,0.22278517,0.5278948
77,0.27855095,0.51920396,0.20224507
78,0.25654355,0.19615822,0.54729825
79,0.4246993,0.3375982,0.23770249
80,0.4330855,0.327122,0.23979256
81,0.42086488,0.32434398,0.2547911
82,0.2766169,0.51062894,0.21275416
83,0.28310704,0.5146614,0.20223159
84,0.2770616,0.5184927,0.20444569
85,0.27707055,0.51870674,0.20422274
86,0.28773278,0.5351722,0.177095
87,0.43433258,0.3189165,0.24675092
88,0.2545334,0.21358246,0.53188413
89,0.43594563,0.28660527,0.27744907
90,0.24897425,0.20697817,0.5440476
91,0.23728572,0.22326982,0.53944445
92,0.2720586,0.5068692,0.22107215
93,0.3013078,0.52078813,0.1779041
94,0.29258996,0.5359357,0.17147431
95,0.4248578,0.33259645,0.24254575
96,0.26905945,0.5021846,0.22875589
97,0.41411543,0.26732928,0.3185553
98,0.28519118,0.5294874,0.18532142
99,0.41705096,0.25440043,0.3285486
100,0.41985446,0.34575978,0.23438576
101,0.27441573,0.5156211,0.20996314
102,0.42750916,0.3211397,0.25135118
103,0.28153118,0.53398556,0.18448327
104,0.42973128,0.28933322,0.2809355
105,0.25024757,0.25179526,0.49795726
106,0.27667257,0.5203122,0.20301521
107,0.4236379,0.26481664,0.31154546
108,0.24455665,0.2219503,0.53349304
109,0.27113232,0.1841726,0.5446951
110,0.425984,0.31046772,0.26354823
111,0.25437993,0.20177916,0.54384094
112,0.2857452,0.51030266,0.20395218
113,0.27379495,0.5038959,0.22230917
114,0.41643536,0.36417815,0.2193865
115,0.27927524,0.517407,0.20331778
116,0.2693877,0.5157367,0.21487564
117,0.29425946,0.52168596,0.18405461
118,0.272502,0.52041084,0.20708717
119,0.2417203,0.2316491,0.5266306
120,0.2764175,0.4870393,0.23654324
121,0.26042092,0.2100293,0.5295497
122,0.27791566,0.51270103,0.20938331
123,0.42156693,0.3002881,0.27814496
124,0.43538636,0.2729919,0.2916218
125,0.2442065,0.22703561,0.5287579
126,0.24453136,0.24110022,0.5143684
127,0.25634703,0.20212236,0.54153067
128,0.26586452,0.5100921,0.22404337
129,0.42742822,0.28637874,0.28619304
130,0.2643646,0.50864935,0.22698607
131,0.4375927,0.27011466,0.29229274
132,0.27462447,0.5141752,0.21120033
133,0.25335258,0.22528136,0.52136606
134,0.2723541,0.52029896,0.20734698
135,0.43392408,0.29403406,0.2720419
136,0.29866275,0.5234837,0.17785354
137,0.43173453,0.30338776,0.26487777
138,0.2809498,0.513788,0.2052622
139,0.2519285,0.22821373,0.5198577
140,0.2800565,0.50522584,0.21471766
141,0.2646252,0.51972616,0.21564867
142,0.2697179,0.5033067,0.2269754
143,0.42607546,0.3437246,0.23019995
144,0.2569103,0.20652911,0.5365606
