,G1,S,G2
0,0.5858711,0.27559868,0.13853018
1,0.70606667,0.10905025,0.18488303
2,0.20227787,0.42595845,0.37176362
3,0.4594896,0.14260596,0.3979044
4,0.40092376,0.35334554,0.2457307
5,0.024342908,0.16016166,0.8154954
6,0.23137544,0.6422542,0.12637039
7,0.5066181,0.14774062,0.3456413
8,0.122790106,0.749304,0.12790596
9,0.07963858,0.7136263,0.20673512
10,0.55360043,0.30548555,0.14091405
11,0.62603,0.06490972,0.3090603
12,0.053889357,0.71983856,0.22627205
13,0.10563798,0.6607309,0.23363113
14,0.39071497,0.48850682,0.120778166
15,0.39718175,0.47812065,0.124697536
16,0.5011122,0.10847524,0.3904126
17,0.015781894,0.18693227,0.7972858
18,0.60129035,0.06816483,0.3305448
19,0.0893415,0.6195053,0.29115325
20,0.04887992,0.3820388,0.5690813
21,0.3179722,0.55525523,0.12677261
22,0.24397881,0.045002293,0.71101886
23,0.39697808,0.25837702,0.3446449
24,0.45501238,0.036961425,0.5080262
25,0.06346598,0.095279574,0.8412544
26,0.06731256,0.43805984,0.4946276
27,0.058113616,0.09841012,0.8434763
28,0.088143304,0.35311323,0.5587434
29,0.103168145,0.6090692,0.28776264
30,0.31651276,0.4834733,0.20001386
31,0.53524464,0.08894747,0.37580785
32,0.5629773,0.1662124,0.27081034
33,0.4375277,0.36816132,0.19431096
34,0.11294899,0.05373118,0.8333199
35,0.04721655,0.44121733,0.5115661
36,0.070703655,0.14182939,0.78746694
37,0.32859743,0.3479578,0.3234448
38,0.38042405,0.09083109,0.5287448
39,0.36777163,0.5126993,0.11952908
40,0.30150604,0.35382155,0.3446724
41,0.38147408,0.32202134,0.29650453
42,0.059067316,0.71604496,0.2248877
43,0.07339548,0.08757844,0.8390261
44,0.53675,0.23331918,0.2299308
45,0.44761607,0.4171553,0.1352287
46,0.3011321,0.4945383,0.20432962
47,0.56788796,0.12386431,0.30824772
48,0.44990808,0.42056975,0.12952222
49,0.03925496,0.17111492,0.78963006
50,0.48749545,0.22415195,0.28835267
51,0.07525013,0.5306071,0.39414272
52,0.2009189,0.5167571,0.28232405
53,0.4707459,0.23638584,0.29286826
54,0.45665172,0.27612832,0.26722
55,0.078005016,0.572701,0.349294
56,0.07960246,0.76068723,0.15971032
57,0.085725054,0.507645,0.40662992
58,0.6922877,0.13848722,0.16922513
59,0.055221584,0.41006407,0.53471434
60,0.44014582,0.41688684,0.14296731
61,0.08460589,0.6284783,0.28691578
62,0.35230303,0.45388997,0.193807
63,0.3541075,0.42409596,0.2217965
64,0.65988547,0.09915948,0.24095502
65,0.6721251,0.12378207,0.20409277
66,0.46589094,0.08805774,0.4460513
67,0.30511212,0.15173228,0.54315567
68,0.05707141,0.7528882,0.19004041
69,0.33436242,0.3557592,0.30987835
70,0.037453447,0.3513732,0.61117333
71,0.42346707,0.3717908,0.20474209
72,0.43466505,0.39810875,0.16722625
73,0.074690565,0.6493058,0.27600363
74,0.032532834,0.4015799,0.5658872
75,0.32374588,0.3386231,0.33763105
76,0.5594526,0.21058613,0.22996126
77,0.16863994,0.08045149,0.75090855
78,0.48306382,0.044904426,0.4720317
79,0.5595413,0.105156615,0.33530214
80,0.3642628,0.25547013,0.38026708
81,0.04819944,0.056008272,0.89579225
82,0.66063976,0.080271326,0.25908893
83,0.05352666,0.51612544,0.4303479
84,0.07987677,0.0727523,0.84737086
85,0.61843824,0.14689025,0.2346715
86,0.04902755,0.046366785,0.90460575
87,0.55800676,0.18829632,0.25369692
88,0.06728232,0.6214323,0.31128532
89,0.10086142,0.69212824,0.20701039
90,0.15832645,0.023776501,0.817897
91,0.09173163,0.6885225,0.21974583
92,0.055221584,0.41006407,0.53471434
93,0.64145935,0.08782031,0.27072033
94,0.6085272,0.17561194,0.21586087
95,0.5137381,0.08146535,0.40479657
96,0.36190954,0.46297956,0.17511097
97,0.5994996,0.17059816,0.22990231
98,0.3380977,0.54710644,0.114795886
99,0.060223978,0.04682599,0.89295
100,0.62169284,0.14896622,0.22934088
101,0.2437778,0.64475864,0.11146357
102,0.045277458,0.5370494,0.41767314
103,0.10126467,0.49280375,0.40593156
104,0.02049654,0.2074476,0.77205586
105,0.6605675,0.066344835,0.27308765
106,0.04192519,0.4705641,0.48751068
107,0.5289058,0.33073425,0.14035997
108,0.542961,0.09846958,0.35856938
109,0.020884043,0.116064444,0.86305153
110,0.05193099,0.3846664,0.5634026
111,0.37062833,0.46328443,0.16608727
112,0.048422236,0.18066446,0.7709133
113,0.061544936,0.7718445,0.16661061
114,0.04192519,0.4705641,0.48751068
115,0.07924624,0.07152908,0.84922475
116,0.57239324,0.1721763,0.25543046
117,0.59618574,0.05264843,0.35116577
118,0.5187145,0.07162533,0.40966016
119,0.025977328,0.24127601,0.73274666
120,0.08661334,0.5447094,0.36867726
121,0.4298936,0.40836713,0.16173927
122,0.5922087,0.11700376,0.29078758
123,0.40502843,0.4738184,0.1211531
124,0.33825377,0.36862162,0.29312465
125,0.30095488,0.20088546,0.49815965
126,0.32329583,0.32391897,0.3527852
127,0.08205117,0.60943496,0.30851388
128,0.44507092,0.40482047,0.15010856
129,0.09074916,0.5789121,0.33033875
130,0.04540933,0.5681677,0.38642302
131,0.3769492,0.27352348,0.3495273
132,0.3421708,0.5208768,0.13695239
133,0.18781552,0.01980476,0.79237974
134,0.077259146,0.47511244,0.44762844
135,0.5947201,0.24546206,0.15981779
136,0.6546355,0.09530674,0.25005776
137,0.49795797,0.043366008,0.45867604
138,0.44778576,0.090776116,0.46143812
139,0.04535055,0.07544105,0.8792084
140,0.09978024,0.77512723,0.12509254
141,0.3573684,0.50291234,0.13971925
142,0.15718731,0.36687177,0.47594085
143,0.039564908,0.09036753,0.8700676
144,0.12556507,0.73976547,0.13466947
145,0.32329583,0.32391897,0.3527852
146,0.36123356,0.364707,0.27405944
147,0.3953726,0.45344228,0.15118511
148,0.53714347,0.28833723,0.1745193
149,0.070677176,0.52864647,0.4006763
150,0.06486415,0.77972406,0.15541182
151,0.24695529,0.32748836,0.42555636
152,0.12513138,0.025032854,0.84983575
153,0.42362636,0.40628973,0.17008385
154,0.30378196,0.31845185,0.3777662
155,0.18777497,0.6683548,0.14387025
156,0.07864709,0.07038216,0.8509707
157,0.5392648,0.1949819,0.26575327
158,0.08091947,0.51588833,0.4031922
159,0.49884135,0.083514914,0.41764373
160,0.3888218,0.2906416,0.32053658
161,0.16232058,0.5851089,0.25257054
162,0.5565705,0.17651403,0.26691553
163,0.09993435,0.029912306,0.87015337
164,0.46284735,0.041355066,0.4957976
165,0.42245093,0.25588122,0.32166788
166,0.5913477,0.24107161,0.16758066
167,0.030304711,0.10143247,0.86826277
168,0.6605675,0.066344835,0.27308765
169,0.4414508,0.42175296,0.13679625
170,0.043993026,0.4680421,0.48796487
171,0.44158173,0.4341408,0.12427752
172,0.42130342,0.27536413,0.30333242
173,0.5171858,0.16755939,0.31525484
174,0.093035266,0.71655834,0.19040637
175,0.1314601,0.66766685,0.20087299
176,0.5171484,0.30931166,0.17353998
177,0.2980245,0.02486605,0.67710936
178,0.62520754,0.15072493,0.22406751
179,0.5685399,0.13277195,0.2986881
180,0.5221776,0.21926619,0.25855625
181,0.018763166,0.19895366,0.7822832
182,0.66871125,0.1752474,0.15604131
183,0.061460763,0.060833763,0.8777055
184,0.3745658,0.4336026,0.19183156
185,0.06898172,0.25180158,0.6792167
186,0.032705434,0.2036198,0.76367474
187,0.63590795,0.16847157,0.19562049
188,0.59467655,0.093270525,0.3120529
189,0.628496,0.1599793,0.2115247
190,0.023152197,0.13137591,0.84547186
