,G1,S,G2
0,0.08119838,0.8562619,0.06253966
1,0.5445749,0.21162362,0.24380146
2,0.5672415,0.27677417,0.15598431
3,0.096236914,0.12828672,0.77547634
4,0.18649375,0.1166516,0.69685465
5,0.22939774,0.58861226,0.18199003
6,0.353265,0.36416772,0.28256732
7,0.32026783,0.42758325,0.2521489
8,0.6175109,0.18214291,0.20034617
9,0.5225224,0.3688905,0.108587146
10,0.053741638,0.14412424,0.80213416
11,0.5935322,0.07162823,0.33483952
12,0.053051747,0.31515574,0.6317925
13,0.5518999,0.11491745,0.33318266
14,0.54159874,0.35997966,0.09842158
15,0.1729871,0.7328261,0.094186746
16,0.38764775,0.2627779,0.34957436
17,0.7346814,0.0918944,0.17342417
18,0.06222413,0.14723808,0.7905378
19,0.2742827,0.552418,0.17329931
20,0.22491372,0.40053532,0.37455097
21,0.56486386,0.33006757,0.10506851
22,0.2676725,0.07670957,0.65561795
23,0.7264562,0.09053333,0.1830104
24,0.15112334,0.15826355,0.6906131
25,0.16473024,0.6164846,0.21878518
26,0.16544501,0.48376852,0.3507864
27,0.028554069,0.88703775,0.08440819
28,0.06119374,0.36203116,0.57677513
29,0.71228904,0.16338041,0.124330625
30,0.6567692,0.09149811,0.25173265
31,0.5603879,0.2436199,0.19599219
32,0.60479784,0.07022215,0.32498008
33,0.08754665,0.65904224,0.25341108
34,0.053851984,0.18260123,0.76354676
35,0.60245454,0.19550595,0.20203951
36,0.4447636,0.42382276,0.1314137
37,0.7130799,0.15333775,0.13358237
38,0.16295429,0.32784447,0.5092012
39,0.41967744,0.3340873,0.2462352
40,0.31759703,0.36872697,0.313676
41,0.70906657,0.1588275,0.1321059
42,0.24027172,0.24869506,0.51103324
43,0.65881246,0.08350226,0.2576853
44,0.7200113,0.14355837,0.13643032
45,0.10780753,0.123421475,0.76877093
46,0.07439085,0.15965728,0.7659518
47,0.34226492,0.23961908,0.418116
48,0.048479337,0.6743838,0.2771368
49,0.07376322,0.66218483,0.26405194
50,0.64811724,0.08531862,0.26656416
51,0.35232806,0.53611994,0.111552
52,0.052505,0.59745824,0.35003677
53,0.59988034,0.21190873,0.1882109
54,0.25008884,0.21437828,0.53553283
55,0.61880535,0.24348278,0.13771187
56,0.2485884,0.45813313,0.29327843
57,0.68753004,0.10860046,0.2038695
58,0.39586294,0.31035027,0.29378682
59,0.3967929,0.46374044,0.13946666
60,0.12989236,0.77814674,0.09196085
61,0.10594814,0.5770818,0.31697008
62,0.56120265,0.23465346,0.2041439
63,0.30100808,0.4722323,0.22675961
64,0.41249996,0.42823884,0.15926121
65,0.5366335,0.31614026,0.14722623
66,0.29882544,0.08814059,0.613034
