,G1,S,G2
0,0.49519032,0.33860594,0.16620375
1,0.29424807,0.38596222,0.31978968
2,0.4942382,0.3680317,0.1377301
3,0.41636768,0.14386567,0.4397667
4,0.4022758,0.2047407,0.3929835
5,0.42466313,0.14084536,0.43449152
6,0.38906035,0.39981034,0.21112932
7,0.5630389,0.23084392,0.20611721
8,0.4826478,0.36138284,0.15596937
9,0.15980399,0.39999974,0.44019622
10,0.42874318,0.2611072,0.31014955
11,0.57545984,0.2032424,0.2212978
12,0.5116975,0.27475545,0.2135471
13,0.24757694,0.39461216,0.3578109
14,0.29791048,0.33030713,0.3717824
15,0.5495193,0.24145524,0.20902547
16,0.45495087,0.38715515,0.15789396
17,0.4512523,0.43942672,0.10932097
18,0.3275033,0.28605694,0.38643977
19,0.42389768,0.30561557,0.2704867
20,0.4229465,0.41654348,0.16051002
21,0.46897608,0.22939803,0.3016259
22,0.13515611,0.39882588,0.46601793
23,0.18744034,0.48813048,0.32442912
24,0.45431855,0.25154957,0.29413185
25,0.21682349,0.35757545,0.42560107
26,0.44788554,0.25219798,0.29991648
27,0.30127946,0.26448515,0.4342354
28,0.38832986,0.28672224,0.3249479
29,0.166337,0.5164567,0.31720626
30,0.36820486,0.26140493,0.37039018
31,0.35391095,0.29925516,0.3468339
32,0.4414262,0.23670474,0.32186905
33,0.19623555,0.36252725,0.44123718
34,0.38246483,0.3529696,0.2645656
35,0.43044245,0.15685546,0.4127021
36,0.5151596,0.2775802,0.20726022
37,0.54217124,0.20917967,0.24864905
38,0.12779787,0.5775932,0.29460892
39,0.44885346,0.44786465,0.103281915
40,0.166337,0.5164567,0.31720626
41,0.34971562,0.25144973,0.39883462
42,0.5789451,0.20427401,0.21678092
43,0.14641939,0.3801361,0.4734445
44,0.50480425,0.35465348,0.14054227
45,0.1629093,0.44727603,0.38981467
46,0.25423905,0.3038246,0.4419363
47,0.4421121,0.44955114,0.10833676
48,0.39753082,0.34781793,0.25465122
49,0.47888464,0.3977807,0.12333468
50,0.2122096,0.37246674,0.4153236
51,0.13690072,0.5184133,0.34468603
52,0.56343096,0.19328177,0.24328727
53,0.15254666,0.47048035,0.37697306
54,0.53592193,0.24566008,0.21841796
55,0.55198836,0.2891794,0.15883224
56,0.14952779,0.492106,0.3583662
57,0.33683044,0.3004342,0.3627354
58,0.32123354,0.22476085,0.4540056
59,0.50278497,0.34989095,0.14732407
60,0.54238695,0.25574952,0.20186354
61,0.4339036,0.27281958,0.2932768
62,0.14729246,0.3786643,0.47404322
63,0.48057127,0.38289613,0.13653266
64,0.44579214,0.22188133,0.33232656
65,0.29309678,0.6202289,0.08667432
66,0.5797167,0.21046208,0.20982127
67,0.27456725,0.6361909,0.08924185
68,0.18698047,0.44541436,0.3676052
69,0.48261583,0.31558985,0.20179427
70,0.5260394,0.17419802,0.29976258
71,0.54801106,0.16776027,0.28422865
72,0.5072175,0.36834827,0.12443421
73,0.13516837,0.7367406,0.12809105
74,0.43969405,0.34305018,0.21725583
75,0.58130604,0.21960112,0.1990928
76,0.33772168,0.29637513,0.36590323
77,0.15358786,0.39105564,0.45535648
78,0.17572364,0.39210546,0.43217093
79,0.24980058,0.32165512,0.42854425
80,0.5529392,0.29018694,0.15687388
81,0.48373187,0.13975449,0.3765136
82,0.51978153,0.15212701,0.3280915
83,0.5119058,0.2990654,0.18902886
84,0.49505904,0.28173843,0.22320251
85,0.42125747,0.16146426,0.41727823
86,0.121736735,0.5560095,0.32225385
87,0.40299267,0.39298835,0.20401901
88,0.4809462,0.15540983,0.36364394
89,0.5415398,0.29679415,0.16166611
90,0.31303576,0.60026765,0.086696655
91,0.12874988,0.63040406,0.24084604
92,0.48847082,0.2477708,0.26375842
93,0.2666388,0.32163072,0.41173047
94,0.33392128,0.34010747,0.32597128
95,0.15839863,0.50736976,0.3342316
96,0.5393033,0.30206892,0.15862784
97,0.47469157,0.16756438,0.35774404
98,0.18302439,0.35858756,0.45838797
99,0.3122175,0.34512508,0.34265745
100,0.47918615,0.14785117,0.37296262
101,0.41870126,0.33648485,0.24481393
102,0.44603905,0.38460097,0.16936004
103,0.5305311,0.32034877,0.14912012
104,0.5432323,0.1727297,0.284038
105,0.114330895,0.5081034,0.37756568
106,0.31226,0.32638875,0.36135128
107,0.43749395,0.4169465,0.14555958
108,0.4538135,0.2719095,0.27427706
109,0.1821445,0.5233503,0.29450527
110,0.13043281,0.43354777,0.43601945
111,0.120489545,0.42160884,0.4579016
112,0.121900044,0.56109947,0.31700045
113,0.34987214,0.28271616,0.3674117
114,0.51195437,0.35307252,0.13497308
115,0.29126617,0.31133437,0.39739946
116,0.57326746,0.16494948,0.261783
117,0.1569841,0.38865706,0.45435882
118,0.4381361,0.3174234,0.24444053
119,0.11470832,0.42387113,0.4614205
120,0.5600478,0.24090981,0.19904238
121,0.4883384,0.20858487,0.30307665
122,0.30586028,0.36743274,0.32670695
123,0.3086669,0.23117985,0.46015322
124,0.15615879,0.4887265,0.3551147
125,0.5359655,0.20009877,0.2639357
126,0.5661681,0.21314126,0.22069062
127,0.42223784,0.13820302,0.43955913
128,0.19588155,0.3743815,0.42973694
129,0.42410055,0.40334412,0.1725553
130,0.51536673,0.26684505,0.21778816
131,0.13610798,0.461165,0.40272707
132,0.45187372,0.4101597,0.13796659
133,0.33067366,0.32326165,0.34606463
134,0.50181603,0.29873356,0.19945042
135,0.4408857,0.4216166,0.13749771
136,0.35495853,0.3592923,0.28574914
137,0.37947774,0.24009745,0.38042477
138,0.52150446,0.26231304,0.2161825
139,0.48411164,0.16103779,0.35485062
140,0.13174088,0.4574815,0.41077763
141,0.19121794,0.34595552,0.46282655
142,0.5200529,0.33688557,0.1430615
143,0.15937239,0.52388704,0.31674054
144,0.51537806,0.31450087,0.17012104
145,0.45463616,0.26652154,0.27884236
146,0.3321598,0.49869236,0.16914786
147,0.13230625,0.46174097,0.40595278
148,0.5838084,0.22615369,0.19003788
149,0.4262564,0.34035888,0.23338465
150,0.29813653,0.31683826,0.38502517
151,0.14088435,0.6089522,0.25016344
152,0.13136075,0.685071,0.18356827
153,0.15082933,0.38595334,0.46321732
154,0.14376602,0.49467328,0.36156073
155,0.12505531,0.43888953,0.43605515
156,0.44285765,0.4087646,0.14837776
157,0.3591331,0.20393598,0.43693087
158,0.54036367,0.24249527,0.21714103
159,0.4905974,0.37626487,0.13313778
160,0.48760214,0.23558378,0.27681398
161,0.4405855,0.4522034,0.10721105
162,0.5756491,0.23861733,0.18573357
163,0.24989206,0.40449393,0.345614
164,0.28878275,0.32117563,0.39004162
165,0.35258526,0.32031202,0.32710275
166,0.23892468,0.6665854,0.09448989
167,0.41113818,0.41170695,0.17715493
168,0.19647141,0.42606327,0.37746528
169,0.339913,0.1970251,0.4630619
170,0.11553999,0.4771868,0.40727314
171,0.14417803,0.45485616,0.40096578
172,0.50827706,0.34325597,0.14846699
173,0.28819236,0.3132185,0.39858913
174,0.39500347,0.30568278,0.29931375
175,0.53231704,0.3144794,0.15320353
176,0.4344931,0.14111404,0.42439288
177,0.5494155,0.22146142,0.22912306
178,0.18510689,0.38576707,0.42912602
179,0.4032522,0.28291768,0.31383017
180,0.50795287,0.19127676,0.3007704
181,0.4168524,0.31921828,0.26392937
182,0.28183708,0.28275254,0.43541035
183,0.3691895,0.5508079,0.08000259
184,0.45142394,0.19110447,0.35747156
185,0.11753859,0.6261148,0.25634664
186,0.48420697,0.299764,0.21602897
187,0.5283143,0.32661808,0.14506765
188,0.37399173,0.3472874,0.27872092
189,0.37988073,0.53434694,0.085772365
190,0.57072604,0.2177479,0.21152607
191,0.42464653,0.14861833,0.42673516
192,0.34492874,0.37171775,0.28335354
193,0.48683622,0.18493952,0.3282242
194,0.15824471,0.733065,0.1086903
195,0.25417617,0.3566427,0.38918114
196,0.47478798,0.24767272,0.27753934
197,0.2248041,0.5811927,0.19400327
198,0.44164664,0.13887627,0.41947702
199,0.5749254,0.24052702,0.18454751
200,0.38732404,0.30969068,0.3029853
201,0.17037526,0.53959537,0.29002944
202,0.5372186,0.26280037,0.1999811
203,0.5661681,0.21314126,0.22069062
204,0.39414936,0.19280995,0.4130407
205,0.49767005,0.1921979,0.3101321
206,0.46268976,0.3046595,0.23265077
