,G1,S,G2
0,0.071691595,0.7119777,0.21633068
1,0.08979377,0.68341607,0.22679016
2,0.6524057,0.15855628,0.189038
3,0.42001867,0.4402731,0.13970815
4,0.50409204,0.28964895,0.20625901
5,0.18808715,0.057671856,0.754241
6,0.49398103,0.37649077,0.12952822
7,0.09463164,0.6157891,0.28957927
8,0.6757456,0.095285244,0.22896916
9,0.48791957,0.14246114,0.36961925
10,0.61356467,0.17989507,0.20654026
11,0.4373487,0.04494947,0.5177018
12,0.14103676,0.4854542,0.37350896
13,0.40354797,0.40047225,0.19597971
14,0.25598732,0.037362874,0.7066498
15,0.5316903,0.10272077,0.3655889
16,0.28222898,0.45688686,0.2608842
17,0.10369947,0.4641631,0.43213737
18,0.39349392,0.5130377,0.09346839
19,0.18951847,0.73805,0.072431594
20,0.0837672,0.25004116,0.66619164
21,0.23422554,0.07971762,0.68605685
22,0.06233079,0.58127326,0.35639596
23,0.39418563,0.49607375,0.10974062
24,0.45156524,0.3814689,0.16696589
25,0.50664437,0.06453259,0.42882305
26,0.38964355,0.46676183,0.14359461
27,0.07940323,0.07351519,0.84708166
28,0.063438706,0.062277783,0.87428355
29,0.06332151,0.07574581,0.8609327
30,0.15587595,0.4473388,0.3967852
31,0.41688085,0.28417102,0.2989482
32,0.6922383,0.14700806,0.1607537
33,0.44932964,0.10290767,0.44776267
34,0.44621897,0.36199853,0.19178247
35,0.26977605,0.3654663,0.36475772
36,0.29899824,0.6237515,0.07725023
37,0.086554095,0.6363952,0.27705067
38,0.21900536,0.589427,0.19156764
39,0.57759446,0.15419921,0.26820624
40,0.3098777,0.53931856,0.15080379
41,0.5477565,0.314071,0.13817245
42,0.37561047,0.5230208,0.10136873
43,0.5292596,0.2209982,0.24974214
44,0.08558509,0.5603241,0.35409087
45,0.22052133,0.61945415,0.16002452
46,0.6409579,0.07660797,0.28243417
47,0.555677,0.17490233,0.2694206
48,0.58735806,0.13770375,0.27493823
49,0.4705411,0.14830995,0.38114887
50,0.048963986,0.31149462,0.63954145
51,0.4959237,0.28214458,0.22193173
