,G1,S,G2
0,0.34633955,0.36530384,0.28835657
1,0.15805663,0.5083046,0.33363873
2,0.35196438,0.026296595,0.621739
3,0.11863686,0.57306147,0.3083017
4,0.25788227,0.038659498,0.70345825
5,0.3033666,0.30287787,0.3937555
6,0.34555715,0.3692192,0.28522363
7,0.49755552,0.030001929,0.47244257
8,0.3043332,0.24776101,0.44790575
9,0.39018235,0.29167658,0.3181411
10,0.18999182,0.5366336,0.2733746
11,0.33415017,0.34109777,0.3247521
12,0.348998,0.22349754,0.42750442
13,0.31334126,0.39474264,0.29191607
14,0.51515466,0.048168533,0.43667683
15,0.14515266,0.51105607,0.34379128
16,0.29135537,0.40363628,0.30500835
17,0.09584123,0.41981375,0.48434502
18,0.31978264,0.3974619,0.28275546
19,0.17937848,0.09480912,0.7258123
20,0.15940332,0.5022007,0.33839592
21,0.26853397,0.44064388,0.29082215
22,0.42578483,0.18922755,0.38498765
23,0.33480236,0.37666723,0.28853044
24,0.34555715,0.3692192,0.28522363
25,0.12075783,0.41136894,0.46787316
26,0.34524947,0.2809494,0.37380117
27,0.26116434,0.43371794,0.30511776
28,0.33252776,0.35038537,0.3170869
29,0.17624779,0.485238,0.33851415
30,0.13864468,0.5121944,0.34916088
31,0.48992205,0.102933794,0.40714422
32,0.33447957,0.40017113,0.26534927
33,0.23805271,0.090918586,0.6710287
34,0.11420474,0.47554326,0.41025203
35,0.35852084,0.34061748,0.30086166
36,0.40542173,0.2940635,0.30051476
37,0.4330753,0.2168152,0.35010946
38,0.3283329,0.3788809,0.29278618
39,0.17064314,0.05085338,0.7785035
40,0.33462396,0.38050383,0.28487217
41,0.179136,0.46618187,0.35468212
42,0.46413383,0.15752552,0.37834066
43,0.46255678,0.052451722,0.48499146
44,0.22324972,0.43794546,0.3388048
45,0.31880504,0.38870436,0.2924906
46,0.36914065,0.32568762,0.30517173
47,0.3284114,0.40935507,0.26223353
48,0.34463865,0.07831618,0.5770452
49,0.34176794,0.3405285,0.31770357
50,0.20429622,0.51171964,0.2839841
51,0.14174838,0.5554634,0.3027882
52,0.4810384,0.12000091,0.39896074
53,0.39690307,0.28786245,0.31523454
54,0.2661284,0.47663695,0.25723472
55,0.23461564,0.44150326,0.32388115
56,0.41349754,0.25089887,0.33560356
57,0.3748131,0.2946373,0.33054963
58,0.35572845,0.33172944,0.31254208
59,0.33480236,0.37666723,0.28853044
60,0.18061548,0.49652457,0.32285988
61,0.48333836,0.09625196,0.42040965
62,0.24398483,0.3834338,0.3725814
63,0.42124662,0.20790774,0.37084568
64,0.38801366,0.2905442,0.32144213
65,0.29745275,0.37712687,0.32542044
66,0.26116434,0.43371794,0.30511776
67,0.33802292,0.2827356,0.3792415
68,0.2200812,0.41784427,0.36207455
69,0.10284119,0.1728345,0.72432435
70,0.16319124,0.11478376,0.72202504
71,0.35162657,0.32173687,0.32663655
72,0.32746512,0.11357845,0.5589564
73,0.36250013,0.34372166,0.29377827
74,0.13403295,0.57912016,0.28684685
75,0.37062153,0.13538992,0.4939886
76,0.18526003,0.54068166,0.27405834
77,0.281933,0.44373298,0.274334
78,0.46249607,0.024504753,0.5129992
79,0.3591881,0.29065496,0.3501569
80,0.09415394,0.47349393,0.4323522
81,0.29445192,0.46791577,0.2376323
82,0.32632932,0.37381902,0.29985166
83,0.2410164,0.5092933,0.24969028
84,0.3452113,0.30193818,0.3528505
85,0.19453788,0.15806983,0.6473922
86,0.30965984,0.38381177,0.30652833
87,0.12604813,0.4758183,0.39813352
88,0.28114712,0.4242949,0.294558
89,0.35547432,0.31453785,0.32998785
90,0.41676697,0.2658799,0.31735313
91,0.24027893,0.4847524,0.27496865
92,0.15725677,0.51595646,0.3267868
93,0.4434546,0.19419506,0.36235034
94,0.50502753,0.06532786,0.4296446
95,0.40551382,0.2842635,0.31022266
96,0.11362645,0.49391076,0.39246273
97,0.35702777,0.33903632,0.30393595
98,0.20538588,0.49677724,0.29783687
99,0.4566686,0.08303702,0.46029437
100,0.2849884,0.10757792,0.6074337
101,0.12230896,0.49486318,0.3828279
102,0.43199974,0.13660172,0.43139854
103,0.32461736,0.36673698,0.30864573
104,0.4003891,0.29849645,0.30111444
105,0.2994204,0.35294992,0.34762973
106,0.237829,0.4797576,0.28241342
107,0.35825413,0.30683416,0.3349117
108,0.34600616,0.34341046,0.31058338
109,0.37101272,0.3358114,0.29317588
110,0.13202421,0.16643073,0.7015451
111,0.31960097,0.32402945,0.3563696
112,0.32753512,0.036754463,0.6357104
113,0.33309826,0.33505183,0.33184993
114,0.38344663,0.3099711,0.30658224
115,0.1499852,0.45291758,0.39709723
116,0.43766657,0.21002369,0.35230973
117,0.37965724,0.3205934,0.2997494
118,0.44388956,0.201101,0.3550094
119,0.13779399,0.11500523,0.7472008
120,0.26086494,0.50218785,0.23694718
121,0.3089647,0.36095393,0.33008137
122,0.4130119,0.22273612,0.364252
123,0.37008554,0.3143944,0.31552008
124,0.4966464,0.08554718,0.4178064
125,0.33094987,0.3621388,0.30691132
126,0.17089196,0.43462688,0.39448115
127,0.5143186,0.0237589,0.4619225
128,0.1216976,0.41823786,0.4600646
129,0.29917556,0.4529573,0.24786718
130,0.45378134,0.1822864,0.36393228
131,0.31763503,0.37721473,0.30515024
132,0.49642202,0.016528247,0.4870498
133,0.37488005,0.32869324,0.29642677
134,0.4234521,0.051633842,0.524914
135,0.23000309,0.4985175,0.2714795
136,0.1343186,0.5657084,0.299973
137,0.31282437,0.3876609,0.2995147
138,0.39608437,0.075553924,0.52836174
139,0.4292024,0.16915269,0.40164486
140,0.3209046,0.42255962,0.25653574
141,0.4227126,0.21066731,0.36662006
142,0.3092452,0.37880436,0.31195047
143,0.31467208,0.374752,0.31057596
144,0.4063803,0.21462534,0.37899432
145,0.40397984,0.25642774,0.33959243
146,0.3134798,0.4169827,0.26953748
147,0.4210528,0.2580833,0.3208638
148,0.50187546,0.07570279,0.4224218
149,0.3161733,0.39158148,0.29224524
150,0.29943144,0.17741247,0.5231561
151,0.47411862,0.09190714,0.43397424
152,0.4629599,0.16512367,0.3719165
153,0.22499305,0.46448457,0.31052244
154,0.45949316,0.09069953,0.4498073
155,0.33310416,0.38418666,0.2827092
156,0.35246277,0.3390584,0.3084789
157,0.34599766,0.34979245,0.3042099
158,0.39817834,0.2828348,0.31898686
159,0.30468512,0.3531009,0.342214
160,0.16969417,0.12812416,0.7021817
161,0.40588912,0.28559265,0.30851823
162,0.48865822,0.09259088,0.41875085
163,0.16287585,0.5205927,0.31653148
164,0.505029,0.06167014,0.43330088
165,0.37717137,0.325747,0.29708156
166,0.2678335,0.5064794,0.22568713
167,0.36560917,0.32685477,0.30753607
168,0.36109942,0.29880837,0.34009224
169,0.23243342,0.419603,0.3479636
170,0.28504652,0.43579793,0.27915555
171,0.40966064,0.27646428,0.31387508
172,0.24671978,0.14108437,0.6121958
173,0.3385461,0.39511156,0.26634234
174,0.42524743,0.23593016,0.33882245
175,0.45338517,0.1679308,0.378684
176,0.44393265,0.19121009,0.36485726
177,0.13404769,0.47491306,0.39103922
178,0.40229002,0.23606896,0.36164096
179,0.12836576,0.10023364,0.7714006
180,0.37717137,0.325747,0.29708156
181,0.40232491,0.23796684,0.35970822
182,0.37182543,0.32045525,0.30771932
183,0.28934613,0.39320895,0.31744498
184,0.074531116,0.37794343,0.54752547
185,0.42571333,0.22625528,0.3480314
186,0.20859638,0.082693264,0.7087103
187,0.39468387,0.29445896,0.31085715
188,0.29485318,0.45570156,0.24944527
189,0.20105444,0.47776058,0.32118496
190,0.4264536,0.2290843,0.34446216
191,0.3591881,0.29065496,0.3501569
192,0.45627105,0.07493236,0.4687966
193,0.3360729,0.37891626,0.28501084
194,0.3222228,0.34685317,0.33092397
195,0.25669274,0.39343333,0.34987393
196,0.15085436,0.52081823,0.32832742
197,0.35405216,0.30917066,0.3367772
198,0.39239943,0.23102638,0.37657428
199,0.36765748,0.31806707,0.31427547
200,0.37658685,0.32635325,0.29705992
201,0.09765267,0.44671673,0.45563057
202,0.22499305,0.46448457,0.31052244
203,0.15754752,0.5594948,0.2829577
204,0.46649462,0.15067631,0.38282904
205,0.36510593,0.3254789,0.30941516
206,0.41398042,0.23325731,0.3527623
207,0.40576285,0.18657589,0.4076613
208,0.30851007,0.37025943,0.32123047
209,0.12462914,0.56263864,0.31273222
210,0.43007308,0.23298989,0.33693704
211,0.100892104,0.1803506,0.71875733
212,0.4216864,0.20529814,0.3730155
213,0.40530276,0.28289834,0.3117989
214,0.12809019,0.52432877,0.34758106
215,0.24702021,0.45879462,0.29418516
216,0.32865018,0.39744875,0.27390105
217,0.4080141,0.27739233,0.31459355
218,0.27724597,0.2899458,0.4328082
219,0.3004691,0.3612861,0.33824477
220,0.22475559,0.50787354,0.26737085
221,0.3639929,0.32254228,0.31346485
222,0.30209103,0.4495294,0.24837954
223,0.34504333,0.37611392,0.27884275
224,0.4077633,0.22920504,0.3630317
225,0.22730468,0.46176136,0.31093392
226,0.27430075,0.22994548,0.49575377
227,0.34641066,0.34783873,0.30575058
228,0.3957844,0.25752538,0.34669027
229,0.4474621,0.1779033,0.37463456
230,0.10959603,0.5081084,0.38229558
231,0.30629244,0.4403853,0.25332227
232,0.27886128,0.47163114,0.24950758
233,0.3416161,0.3891666,0.2692173
234,0.3029208,0.44942334,0.24765585
235,0.35900658,0.3615624,0.279431
236,0.17548622,0.48970607,0.3348077
237,0.1836287,0.23042189,0.5859494
238,0.0881761,0.42213592,0.48968798
239,0.2156538,0.35260037,0.43174583
240,0.22765288,0.3963222,0.37602496
241,0.35764083,0.32035556,0.32200354
242,0.499864,0.041591644,0.45854428
243,0.20023912,0.52452785,0.27523303
244,0.3367184,0.35795367,0.3053279
245,0.36288318,0.31919262,0.3179242
246,0.18631628,0.52064484,0.2930389
247,0.2696072,0.35902458,0.37136823
248,0.07169901,0.29133922,0.63696176
249,0.4107608,0.2206613,0.36857796
250,0.51788276,0.043193337,0.43892384
251,0.21241808,0.5021591,0.28542283
252,0.23199244,0.41686875,0.35113886
253,0.32033652,0.38134807,0.2983154
254,0.20901099,0.034085594,0.75690335
255,0.2635377,0.032199055,0.7042632
256,0.39222395,0.3148028,0.29297325
257,0.38749814,0.31348348,0.29901838
258,0.4155011,0.2586827,0.3258162
259,0.36368835,0.3327171,0.3035946
260,0.26522473,0.49476624,0.24000904
261,0.34726384,0.35035682,0.30237934
262,0.08478725,0.38604406,0.52916867
263,0.35738015,0.35599193,0.2866279
264,0.32418254,0.41307718,0.26274022
265,0.49930698,0.0865525,0.41414046
266,0.3428827,0.3646297,0.29248762
267,0.44125208,0.18844782,0.37030014
268,0.35266006,0.34756315,0.29977673
269,0.12475013,0.4690701,0.40617976
270,0.26718894,0.4023381,0.33047304
271,0.22964737,0.45448077,0.3158719
272,0.5166776,0.047908753,0.43541357
273,0.3802817,0.27823934,0.34147894
274,0.44788545,0.18953364,0.36258093
275,0.33895072,0.36392316,0.2971261
276,0.18811986,0.5450676,0.26681253
277,0.17020296,0.5249349,0.30486214
278,0.46820292,0.11124373,0.42055342
279,0.42878094,0.19420896,0.37701008
280,0.19288592,0.48153123,0.3255829
281,0.4325118,0.21828675,0.34920144
282,0.27710754,0.4154141,0.30747834
283,0.47518528,0.13629825,0.38851643
284,0.37127587,0.0512006,0.5775235
285,0.42910245,0.21032424,0.36057332
286,0.11352537,0.4203386,0.46613607
287,0.19551986,0.11456708,0.68991303
288,0.35658538,0.023662705,0.61975193
289,0.28391412,0.3526006,0.36348537
290,0.3287072,0.32324898,0.34804383
291,0.29513988,0.3958868,0.3089733
292,0.4733691,0.033519704,0.49311122
293,0.113266684,0.38334072,0.5033926
294,0.36036932,0.34874523,0.29088542
295,0.2749133,0.38701224,0.33807442
296,0.34760717,0.3370859,0.31530693
297,0.39615458,0.29020333,0.3136421
298,0.318761,0.33278316,0.34845585
299,0.5036773,0.07586508,0.42045763
300,0.19587968,0.42854705,0.3755733
301,0.3532175,0.35352135,0.2932611
302,0.30431864,0.4436238,0.25205755
303,0.4838,0.11695135,0.3992487
304,0.4649496,0.15703584,0.37801453
305,0.38667154,0.31004038,0.30328813
306,0.39241028,0.24094509,0.36664465
307,0.33504385,0.3954806,0.26947552
308,0.40759408,0.26732832,0.32507762
309,0.4308312,0.21426885,0.35489994
310,0.3755957,0.30877727,0.315627
311,0.49620643,0.092258655,0.41153494
312,0.3596097,0.35717192,0.28321838
313,0.16629298,0.49774694,0.3359601
314,0.45643565,0.16794729,0.375617
315,0.3432676,0.34156606,0.31516638
316,0.4158641,0.23413578,0.35000008
317,0.44169268,0.13176145,0.4265459
318,0.4382809,0.20340462,0.35831445
319,0.35958582,0.3029763,0.33743796
320,0.22262768,0.4569275,0.32044485
321,0.3004691,0.3612861,0.33824477
322,0.42989683,0.19759056,0.37251258
323,0.35379404,0.3686919,0.27751407
324,0.38467276,0.27085373,0.34447354
325,0.33310416,0.38418666,0.2827092
326,0.36249414,0.33068067,0.3068252
327,0.41469964,0.27122137,0.31407902
328,0.21132931,0.5183882,0.27028248
329,0.47074294,0.1374061,0.391851
330,0.20720801,0.43197212,0.36081997
331,0.51710635,0.026441934,0.45645174
332,0.49606267,0.07940951,0.42452773
333,0.14010365,0.5479971,0.31189921
334,0.28389555,0.39180633,0.3242981
335,0.35614133,0.3630107,0.280848
336,0.34882453,0.33814472,0.3130307
337,0.14475465,0.5345368,0.3207086
338,0.3599983,0.30604836,0.33395335
339,0.36380136,0.3035446,0.33265403
340,0.40427047,0.29583102,0.2998985
341,0.24000208,0.38966274,0.37033513
342,0.40512645,0.29353833,0.30133528
343,0.4051765,0.26410964,0.33071384
344,0.39763176,0.27149612,0.33087206
345,0.27710754,0.4154141,0.30747834
