,G1,S,G2
0,0.59037024,0.18107985,0.22854987
1,0.4419552,0.4156738,0.14237095
2,0.30394724,0.5972438,0.09880896
3,0.60861444,0.23937224,0.15201333
4,0.5039199,0.36835283,0.12772736
5,0.3059242,0.6090503,0.08502552
6,0.603624,0.16685016,0.22952585
7,0.0309892,0.1537987,0.8152121
8,0.21529764,0.03110683,0.75359553
9,0.56112796,0.1557858,0.28308624
10,0.48336437,0.25173345,0.26490214
11,0.07140247,0.68624175,0.24235578
12,0.088965654,0.19032279,0.7207115
13,0.64678985,0.12116737,0.2320428
14,0.08493996,0.26914078,0.64591926
15,0.5507473,0.10899959,0.34025308
16,0.14143135,0.03836591,0.82020277
17,0.36287996,0.53115636,0.10596367
18,0.28336975,0.17847335,0.5381569
19,0.045064826,0.4289158,0.5260194
20,0.3551116,0.47581547,0.16907287
21,0.45009732,0.18519132,0.36471134
22,0.6020038,0.14322841,0.25476772
23,0.53940487,0.13208453,0.3285106
24,0.5157986,0.23244897,0.2517524
25,0.5244209,0.25197414,0.22360493
26,0.14660124,0.367483,0.48591578
27,0.30673048,0.118490994,0.5747785
28,0.6061845,0.106527194,0.28728834
29,0.5104427,0.23436539,0.25519192
30,0.45359087,0.15600137,0.39040777
31,0.40047947,0.39469895,0.20482162
32,0.4351698,0.24448656,0.32034364
33,0.43096647,0.45912385,0.10990969
34,0.05959216,0.65483725,0.28557053
35,0.12425675,0.05028556,0.8254576
36,0.3788845,0.42640576,0.1947097
37,0.12986334,0.7761852,0.09395143
38,0.38064197,0.050205953,0.5691521
39,0.481542,0.34454492,0.17391302
40,0.56912696,0.13028136,0.30059162
41,0.12649658,0.36988142,0.503622
42,0.109730184,0.055989552,0.83428025
43,0.062343422,0.8024232,0.13523345
44,0.4562766,0.40208912,0.14163427
45,0.45332688,0.42068097,0.12599218
46,0.12749042,0.39688691,0.47562265
47,0.54091907,0.080419235,0.3786617
48,0.5252151,0.31954396,0.15524095
49,0.11574908,0.66381514,0.22043575
50,0.6209543,0.110092595,0.26895314
51,0.39351916,0.47412655,0.13235432
52,0.53311986,0.30161858,0.1652616
53,0.027134355,0.23400511,0.7388606
54,0.57046664,0.21945524,0.21007806
55,0.14762786,0.7203663,0.1320058
56,0.3587563,0.49933895,0.1419047
57,0.11288855,0.40198016,0.48513123
58,0.18030147,0.11986734,0.6998311
59,0.5171213,0.13209015,0.35078856
60,0.5729677,0.26869172,0.15834056
61,0.4255758,0.36014724,0.21427695
62,0.6583643,0.087123275,0.25451243
63,0.6234143,0.2174621,0.15912367
64,0.4599372,0.37631494,0.16374785
65,0.605588,0.179488,0.21492401
66,0.39517668,0.2800982,0.32472518
67,0.3571306,0.5288115,0.11405787
68,0.36820486,0.35224688,0.27954826
69,0.40256172,0.4389946,0.1584437
70,0.16619834,0.46989968,0.363902
71,0.040087875,0.11955001,0.84036213
72,0.099574566,0.05071335,0.8497121
73,0.04375185,0.17185476,0.7843934
74,0.40505993,0.04046622,0.5544738
75,0.46992886,0.044626698,0.48544443
76,0.3846476,0.50600064,0.10935174
77,0.049204156,0.41027248,0.54052335
78,0.46972933,0.2695448,0.26072586
79,0.6903014,0.13783735,0.17186129
80,0.07520509,0.044898987,0.87989587
81,0.5618519,0.29056543,0.14758258
82,0.062483996,0.41518667,0.52232933
83,0.39260665,0.37358364,0.23380966
84,0.33953416,0.5228929,0.13757291
85,0.08515213,0.050643496,0.86420435
86,0.07021985,0.05409046,0.8756897
87,0.672905,0.1538246,0.17327045
88,0.45483854,0.34608755,0.19907396
89,0.23940125,0.57543784,0.18516092
90,0.49395835,0.2924199,0.21362181
91,0.058818202,0.8021831,0.1389987
92,0.071012855,0.60139114,0.32759598
93,0.36633298,0.272876,0.360791
94,0.6866243,0.16108122,0.1522945
95,0.059972074,0.6323415,0.30768642
96,0.23345327,0.67764777,0.088898934
97,0.4413958,0.111235075,0.44736913
98,0.057323083,0.82442075,0.118256174
99,0.07331181,0.0571021,0.86958605
100,0.119441636,0.44803995,0.43251845
101,0.39562058,0.094994076,0.5093853
102,0.13411528,0.036822982,0.8290618
103,0.6516008,0.17331173,0.17508748
104,0.16846663,0.5914314,0.24010202
105,0.08551938,0.1243194,0.79016125
106,0.11092763,0.7583415,0.13073096
107,0.3475543,0.19687144,0.45557424
108,0.043087564,0.13024512,0.8266673
109,0.25318,0.055828866,0.69099116
110,0.12097494,0.3991056,0.4799194
111,0.19328743,0.039929654,0.7667828
112,0.026368067,0.19468719,0.77894473
113,0.04782284,0.8117822,0.140395
114,0.13458118,0.3287584,0.53666043
115,0.054773472,0.2879204,0.65730613
116,0.058591034,0.51213515,0.42927384
117,0.05572123,0.8017501,0.14252862
118,0.48827076,0.1720276,0.33970162
119,0.1880215,0.69016814,0.12181033
120,0.36499047,0.28805423,0.34695527
121,0.3161566,0.03710158,0.6467418
122,0.40701526,0.39427832,0.19870642
123,0.64241236,0.15845363,0.19913398
124,0.4760649,0.2835017,0.24043334
125,0.36626565,0.45533937,0.17839503
126,0.48255092,0.24042264,0.27702644
127,0.550181,0.06778266,0.38203642
128,0.10564701,0.11824311,0.77610993
129,0.31422633,0.59119654,0.09457715
130,0.051814657,0.44578746,0.50239795
131,0.6009879,0.09811906,0.300893
132,0.105575666,0.25321743,0.6412069
133,0.09577076,0.044706605,0.8595227
134,0.6022414,0.24433412,0.15342444
135,0.2605973,0.061834965,0.6775678
136,0.40532362,0.1917497,0.40292665
137,0.1297821,0.6403027,0.22991519
138,0.5576935,0.13158466,0.31072184
139,0.10563,0.77268106,0.12168892
140,0.5218417,0.31328058,0.16487773
141,0.6254729,0.09183677,0.28269035
142,0.51994646,0.25441065,0.22564287
143,0.49788266,0.36930612,0.13281119
144,0.05975888,0.6514952,0.28874588
145,0.56359935,0.23007286,0.20632789
146,0.59529966,0.253919,0.15078135
147,0.20057702,0.03485863,0.7645644
148,0.49119657,0.37691787,0.13188554
149,0.14782779,0.61115885,0.24101336
150,0.44451642,0.39185712,0.16362643
151,0.031681035,0.31295577,0.6553632
152,0.10379371,0.6138646,0.28234166
153,0.036036395,0.19683254,0.76713115
154,0.5247057,0.3450032,0.13029113
155,0.12850282,0.38216528,0.4893319
156,0.28073955,0.051979486,0.667281
157,0.04066422,0.22354908,0.73578674
158,0.6743741,0.1294158,0.19621016
159,0.09303872,0.74288017,0.16408113
160,0.66845566,0.12026662,0.21127772
161,0.40833518,0.45512655,0.13653827
162,0.17954083,0.03168797,0.78877115
163,0.05523956,0.7372244,0.20753601
164,0.49960655,0.3203901,0.1800033
165,0.105575666,0.25321743,0.6412069
166,0.12277494,0.6300511,0.24717395
167,0.37997124,0.35530433,0.2647245
168,0.042688973,0.10063163,0.8566794
169,0.58784646,0.15536435,0.25678912
170,0.6235832,0.13730597,0.23911074
171,0.541287,0.21666723,0.24204576
172,0.09702,0.5082531,0.39472687
173,0.61806244,0.092184655,0.2897529
174,0.35890582,0.21776631,0.42332786
175,0.51669174,0.31504345,0.16826479
176,0.5501181,0.22575572,0.22412618
177,0.49483007,0.10185855,0.40331134
178,0.089718625,0.75311154,0.15716986
179,0.5505133,0.16190325,0.28758344
180,0.4129101,0.37021735,0.21687257
181,0.48317462,0.15468313,0.36214224
182,0.16522123,0.5539465,0.28083223
183,0.5857304,0.20128866,0.21298099
184,0.07789855,0.49460456,0.42749682
185,0.5137494,0.1422359,0.34401464
186,0.09159377,0.21751142,0.69089484
187,0.05627523,0.6973968,0.24632798
188,0.07373807,0.25734645,0.66891545
189,0.050544906,0.47472712,0.474728
190,0.6191638,0.23192303,0.14891325
191,0.58584535,0.21427096,0.19988364
192,0.55221176,0.11977508,0.3280132
193,0.4760649,0.2835017,0.24043334
194,0.2509671,0.6651807,0.0838522
195,0.51574486,0.049491894,0.43476325
196,0.43762395,0.3450038,0.21737222
197,0.29384613,0.59664553,0.109508336
198,0.3647276,0.25119755,0.38407484
199,0.45985016,0.35067868,0.1894712
200,0.60965294,0.14952818,0.24081886
201,0.3788845,0.42640576,0.1947097
202,0.41600063,0.3420161,0.24198322
203,0.47348133,0.23793769,0.28858098
204,0.42372528,0.34331346,0.23296133
205,0.049415894,0.77335626,0.17722787
206,0.5634627,0.30374175,0.13279557
207,0.13528672,0.44289201,0.42182124
208,0.52155566,0.23495866,0.2434857
209,0.089718625,0.75311154,0.15716986
210,0.49795407,0.3386485,0.16339749
211,0.3617732,0.5273685,0.11085835
212,0.60132,0.1237629,0.27491713
213,0.48111486,0.30069482,0.21819033
214,0.5229422,0.2092639,0.26779395
215,0.6585341,0.16602114,0.17544475
216,0.6398059,0.19348468,0.1667094
217,0.44663435,0.29941475,0.25395098
218,0.15490542,0.47359627,0.37149835
219,0.121380724,0.052300487,0.82631874
220,0.6010169,0.2518917,0.14709143
221,0.16335016,0.76760286,0.06904704
222,0.49332282,0.09411315,0.41256407
223,0.3958255,0.3550501,0.24912448
224,0.6612803,0.106559545,0.23216021
225,0.056833174,0.5791695,0.36399734
226,0.27954948,0.25552258,0.46492788
227,0.522858,0.085718416,0.39142346
228,0.094030656,0.64628184,0.25968745
229,0.10758081,0.5028366,0.38958257
230,0.5955035,0.18002526,0.22447124
231,0.12217936,0.67253053,0.20529014
232,0.21066242,0.6971913,0.092146255
233,0.23805948,0.44961205,0.3123285
234,0.30708554,0.5856966,0.10721787
235,0.09691909,0.6872152,0.21586575
236,0.038696915,0.39800414,0.56329894
237,0.1979051,0.06946089,0.732634
238,0.40324262,0.05166042,0.545097
239,0.23115166,0.04196233,0.72688603
240,0.05421679,0.7636132,0.18216999
241,0.11293604,0.6375854,0.24947852
242,0.051876783,0.69350725,0.254616
243,0.09074585,0.103859395,0.8053947
244,0.5173536,0.2686982,0.2139482
245,0.38118058,0.45755574,0.16126369
246,0.07458334,0.055398263,0.8700184
247,0.49395835,0.2924199,0.21362181
248,0.46153957,0.30296695,0.23549342
249,0.36139795,0.48629946,0.15230261
250,0.45483854,0.34608755,0.19907396
251,0.05684267,0.35586557,0.5872917
252,0.07732404,0.82901466,0.093661286
253,0.42019355,0.06437003,0.5154365
254,0.084995806,0.056244295,0.8587599
255,0.15164354,0.7165656,0.13179082
256,0.05350411,0.631523,0.31497285
257,0.689313,0.11516588,0.19552109
258,0.3917669,0.33236548,0.27586764
259,0.5940309,0.13436511,0.27160394
260,0.44694653,0.247644,0.30540946
261,0.4849052,0.38633862,0.12875609
262,0.11249309,0.46022588,0.42728102
263,0.547715,0.19125976,0.2610253
264,0.66179866,0.12077957,0.21742177
265,0.601616,0.11550579,0.28287822
266,0.37183848,0.38856894,0.23959257
267,0.41901308,0.47004884,0.110938035
268,0.584553,0.18378769,0.23165931
269,0.3983241,0.17138712,0.4302888
270,0.5700823,0.13859501,0.29132268
271,0.4716139,0.35299772,0.17538829
272,0.15121926,0.6912194,0.15756132
273,0.05661101,0.71599495,0.22739409
274,0.39910403,0.33733612,0.2635599
275,0.56112796,0.1557858,0.28308624
276,0.042356856,0.33556825,0.6220749
277,0.54293776,0.086096846,0.37096542
278,0.41784805,0.43607304,0.14607888
279,0.61250085,0.219674,0.16782522
280,0.6914295,0.12843575,0.18013473
281,0.06588741,0.08684316,0.8472694
282,0.0660285,0.5259245,0.408047
283,0.543167,0.1448882,0.31194478
284,0.2959047,0.5829365,0.12115879
285,0.42426908,0.42664695,0.14908391
286,0.061706226,0.7807143,0.15757951
287,0.36391756,0.5432037,0.09287877
288,0.657727,0.099793665,0.24247935
289,0.6800676,0.14522965,0.17470275
290,0.46132928,0.26742777,0.27124292
291,0.57103395,0.20407082,0.22489516
292,0.3252979,0.55979884,0.11490322
293,0.31374756,0.58267665,0.10357582
294,0.06558019,0.8132517,0.12116814
295,0.06492881,0.77186865,0.16320252
296,0.6329644,0.20535015,0.16168548
297,0.613435,0.069748566,0.31681642
298,0.1792407,0.5910463,0.22971304
299,0.43526334,0.2792973,0.28543937
300,0.503155,0.25869814,0.23814686
301,0.37040755,0.47422373,0.15536867
302,0.13088663,0.77151865,0.0975947
303,0.52499986,0.11658046,0.3584197
304,0.4122876,0.480307,0.107405424
305,0.10034261,0.060033623,0.83962375
306,0.65787923,0.19536567,0.14675507
307,0.25318,0.055828866,0.69099116
308,0.61732787,0.12080589,0.26186624
309,0.30628768,0.6106999,0.08301243
310,0.6541941,0.09775592,0.24804991
311,0.06279661,0.7876027,0.14960065
312,0.3936312,0.41321597,0.19315279
313,0.105689265,0.08370415,0.8106066
314,0.05523707,0.44166273,0.5031002
315,0.11548129,0.048098866,0.8364199
316,0.048862897,0.7940419,0.15709525
317,0.4414908,0.2633271,0.2951822
318,0.35970724,0.41406462,0.22622815
319,0.07711773,0.05237713,0.87050515
320,0.1864619,0.28723374,0.5263044
321,0.095131874,0.056300383,0.8485677
322,0.23805948,0.44961205,0.3123285
323,0.13528672,0.44289201,0.42182124
324,0.059549496,0.12740524,0.8130452
325,0.58763874,0.14097846,0.2713828
326,0.3568763,0.048492476,0.5946312
327,0.61673295,0.077657074,0.30561
328,0.2347575,0.5119469,0.25329554
329,0.645159,0.106536165,0.24830483
330,0.3394724,0.23242301,0.42810467
331,0.39408195,0.249009,0.35690907
332,0.16619834,0.46989968,0.363902
333,0.15285143,0.60207987,0.24506871
334,0.15597437,0.7602382,0.08378741
335,0.07748265,0.08156866,0.8409487
336,0.07073541,0.13068292,0.7985817
337,0.0403854,0.34307915,0.6165354
338,0.06780277,0.7858707,0.14632653
339,0.42102534,0.32606745,0.25290728
340,0.50344217,0.29413667,0.20242114
341,0.11245514,0.7104756,0.1770692
342,0.06461878,0.066065066,0.8693161
343,0.0759731,0.16210273,0.76192415
344,0.06977133,0.05796605,0.8722626
345,0.4215008,0.4374031,0.14109609
346,0.15870915,0.086495735,0.7547952
347,0.08193058,0.69321024,0.22485916
348,0.54565054,0.07009544,0.384254
349,0.029802507,0.20740579,0.76279175
350,0.37084654,0.51344174,0.11571169
351,0.64943373,0.09179791,0.25876838
352,0.64448404,0.19721095,0.15830499
353,0.41249475,0.13257049,0.45493475
354,0.41296688,0.05992835,0.52710474
355,0.053480253,0.08352713,0.8629926
356,0.46153957,0.30296695,0.23549342
357,0.05959015,0.8215206,0.11888918
358,0.11888654,0.21949646,0.66161704
359,0.6499509,0.2027771,0.14727192
360,0.07284324,0.14889058,0.7782662
361,0.5522803,0.13677166,0.310948
362,0.14003566,0.08515618,0.7748082
363,0.05368342,0.07215183,0.8741647
364,0.53230345,0.1803743,0.2873223
365,0.19038022,0.70400816,0.105611645
366,0.09510023,0.69142336,0.21347645
367,0.541287,0.21666723,0.24204576
368,0.06687146,0.80715376,0.12597473
369,0.4257484,0.45941478,0.11483682
370,0.398002,0.23300411,0.36899394
371,0.2687676,0.44093034,0.2903021
372,0.051551662,0.4982368,0.45021152
373,0.25283605,0.5955638,0.15160015
374,0.23403305,0.6480369,0.1179301
375,0.70052665,0.12449917,0.1749742
376,0.524121,0.25636646,0.21951254
377,0.64007634,0.13234024,0.22758347
378,0.09279632,0.7932053,0.11399831
379,0.04854889,0.7645012,0.1869499
380,0.11114803,0.6080581,0.28079382
381,0.35385686,0.2690874,0.37705573
382,0.5667254,0.24084145,0.1924332
383,0.27918673,0.3509071,0.36990622
384,0.18244874,0.033543155,0.7840081
385,0.6293217,0.123212166,0.2474661
386,0.054787986,0.38128388,0.5639282
387,0.15597437,0.7602382,0.08378741
388,0.049825817,0.55737823,0.39279595
389,0.53855145,0.23154734,0.22990112
390,0.059415996,0.3468085,0.5937755
391,0.58915716,0.23387739,0.17696537
392,0.095436014,0.51735663,0.38720736
393,0.58291256,0.19550201,0.22158545
394,0.07510668,0.23354031,0.691353
395,0.21796781,0.32241467,0.45961753
396,0.349347,0.5593342,0.09131875
397,0.07530666,0.82683563,0.097857684
398,0.23417488,0.1954189,0.5704062
399,0.49757552,0.26154423,0.24088028
400,0.65264785,0.11261004,0.23474212
401,0.064428605,0.8185915,0.11697989
402,0.346065,0.43971327,0.21422173
403,0.51133233,0.2955572,0.19311054
404,0.40890464,0.46589008,0.12520522
405,0.13714853,0.3900377,0.4728138
406,0.21933207,0.6731516,0.10751637
407,0.5700823,0.13859501,0.29132268
408,0.6153905,0.1666758,0.21793364
409,0.64462113,0.2141702,0.14120871
410,0.055150382,0.8173595,0.12749013
411,0.2719009,0.52498144,0.20311764
412,0.57606006,0.23199289,0.19194701
413,0.102850884,0.29960936,0.5975397
414,0.025729699,0.23439348,0.7398768
415,0.07656342,0.43527645,0.48816013
