"","neu","NK","CD4","CD8","B","mono"
"0",0.1422,0.1063,0.1794,0.2184,0.1649,0.1889
"1",0.0857,0.1397,0.2382,0.3059,0.0697,0.1608
"2",0.2336,0.15,0.1252,0.2004,0.0817,0.2092
"3",0.2273,0.1749,0.1099,0.2125,0.1116,0.1637
"4",0.2045,0.097,0.1606,0.1685,0.1608,0.2085
"5",0.2126,0.1382,0.1294,0.1835,0.1464,0.1899
"6",0.1225,0.0966,0.2445,0.2257,0.212,0.0987
"7",0.2485,0.1465,0.1413,0.2032,0.0328,0.2277
"8",0.2116,0.068,0.189,0.1798,0.1234,0.2282
"9",0.2001,0.1534,0.1612,0.2308,0.0425,0.2119
"10",0.1472,0.1667,0.1688,0.245,0.1506,0.1217
"11",0.2925,0.1716,0.1099,0.2245,0.0569,0.1447
"12",0.2844,0.1629,0.1333,0.1958,0.0695,0.1541
"13",0.1703,0.1433,0.1837,0.2333,0.1227,0.1466
"14",0.3176,0.1049,0.153,0.1957,0.0867,0.1422
"15",0.1454,0.1068,0.2138,0.28,0.1488,0.1053
"16",0.1916,0.1701,0.19,0.2856,0.0638,0.0987
"17",0.137,0.1283,0.1676,0.2317,0.1516,0.1838
"18",0.3872,0.0873,0.0988,0.1775,0.0694,0.1798
"19",0.1522,0.1142,0.1669,0.2247,0.133,0.2089
"20",0.2311,0.084,0.1259,0.1851,0.1808,0.1931
"21",0.1839,0.1255,0.1589,0.2245,0.1266,0.1807
"22",0.2026,0.1156,0.1346,0.2266,0.0923,0.2283
"23",0.1084,0.1836,0.1589,0.306,0.0674,0.1758
"24",0.0895,0.1481,0.1753,0.2631,0.1836,0.1404
"25",0.1361,0.1147,0.1727,0.236,0.0995,0.241
"26",0.2526,0.099,0.0978,0.1853,0.1322,0.233
"27",0.1856,0.161,0.1995,0.2393,0.0823,0.1323
"28",0.1634,0.1513,0.1872,0.2481,0.1491,0.101
"29",0.0776,0.1243,0.1865,0.2517,0.1656,0.1944
"30",0.0873,0.1303,0.2121,0.2666,0.1348,0.1689
"31",0.1613,0.0868,0.1403,0.1867,0.2088,0.2161
"32",0.213,0.119,0.1822,0.1843,0.1172,0.1842
"33",0.1812,0.1414,0.1688,0.2241,0.0705,0.214
"34",0.1688,0.1413,0.2008,0.2394,0.049,0.2007
"35",0.1614,0.1345,0.1281,0.2202,0.1114,0.2445
"36",0.133,0.1557,0.0839,0.1749,0.2689,0.1838
"37",0.2122,0.1503,0.1657,0.229,0.0527,0.1901
"38",0.1772,0.0957,0.1691,0.2141,0.1388,0.2051
"39",0.2703,0.1352,0.1063,0.1768,0.108,0.2034
"40",0.2056,0.1104,0.1875,0.2048,0.1149,0.1767
"41",0.1626,0.1205,0.1878,0.232,0.1045,0.1927
