,neu,NK,CD4,CD8,B,mono
0,0.0839567,0.15518232,0.23546232,0.15244249,0.19306184,0.1798943
1,0.035027057,0.1571183,0.27759406,0.35369253,0.039139047,0.13742898
2,0.22564164,0.25541738,0.112287715,0.16108713,0.07036421,0.17520195
3,0.26679623,0.30176237,0.06492027,0.19938618,0.09055299,0.07658198
4,0.20457311,0.14705111,0.19115828,0.07149086,0.18020701,0.20551962
5,0.21374272,0.2277444,0.11179679,0.12604646,0.16590029,0.15476938
6,0.073057026,0.11566947,0.46157223,0.0989104,0.22839504,0.022395879
7,0.2586313,0.24055374,0.13397188,0.1462824,0.030645296,0.18991543
8,0.18465354,0.10892567,0.27192774,0.0673373,0.13332425,0.23383145
9,0.18989176,0.22887991,0.16164693,0.19342433,0.031664416,0.19449273
10,0.107241526,0.26195058,0.15945596,0.29109466,0.14252514,0.03773203
11,0.4149313,0.26756775,0.05069719,0.1991631,0.0317734,0.035867263
12,0.3909462,0.28111893,0.094251215,0.13039224,0.051734902,0.05155645
13,0.16272852,0.22086571,0.21228766,0.21063201,0.118856125,0.074629955
14,0.49578026,0.14082962,0.1394759,0.1293001,0.060912956,0.03370112
15,0.10671059,0.1139789,0.30792946,0.2741121,0.16561602,0.03165294
16,0.21207577,0.22959404,0.13995177,0.36545187,0.031433977,0.021492587
17,0.07264003,0.18164633,0.18609276,0.21432297,0.1706178,0.17468005
18,0.5810821,0.124009416,0.073722154,0.116371185,0.050115794,0.054699276
19,0.09074093,0.16325745,0.1841202,0.18879631,0.14248507,0.23060004
20,0.22755459,0.120208696,0.1362873,0.11953464,0.22920235,0.16721237
21,0.16422826,0.17213282,0.16607529,0.20130701,0.13824432,0.15801233
22,0.14967969,0.18203388,0.12906232,0.2166312,0.084229454,0.23836346
23,0.037011176,0.21177916,0.07471138,0.5128392,0.029017339,0.13464175
24,0.03363128,0.19339505,0.18807666,0.3317196,0.18422522,0.06895216
25,0.06460497,0.1661436,0.18810388,0.20580652,0.07682448,0.29851654
26,0.2141244,0.16325828,0.07712867,0.1494029,0.15677449,0.23931128
27,0.2249286,0.23355536,0.23091242,0.19520839,0.05945879,0.05593635
