,neu,NK,CD4,CD8,B,mono
0,0.037144,0.2728399,0.24193817,0.13497266,0.21946909,0.093636185
1,0.43739063,0.09603098,0.06158091,0.14215894,0.05453606,0.20830248
2,0.2939162,0.31836355,0.061510485,0.23512591,0.047249977,0.043833893
3,0.040529154,0.20781371,0.14299151,0.20301539,0.18373178,0.22191854
4,0.24211645,0.02091732,0.26359016,0.1186294,0.30405438,0.050692264
5,0.2433963,0.012632127,0.23238705,0.27209103,0.05629358,0.18319993
6,0.061665222,0.2319227,0.26432735,0.1898079,0.028497431,0.22377945
7,0.060375463,0.31691086,0.24155764,0.28449103,0.035884205,0.060780793
8,0.03168453,0.16572423,0.2638151,0.1517009,0.35482875,0.032246478
9,0.14305441,0.01976161,0.08205915,0.10674441,0.1949189,0.4534615
10,0.034549568,0.19356251,0.16714625,0.11716312,0.19996786,0.28761062
11,0.05724011,0.2970753,0.057975423,0.24349307,0.28384507,0.060371038
12,0.20758443,0.23273972,0.19618464,0.16506568,0.049578805,0.1488467
13,0.10243021,0.13741904,0.27670026,0.21841365,0.23958448,0.025452336
14,0.09935528,0.1488763,0.13277212,0.35142282,0.22371608,0.043857414
15,0.10985602,0.09318098,0.2962,0.2670213,0.20583706,0.027904667
16,0.0509505,0.38835877,0.13192815,0.24592716,0.026379455,0.15645593
17,0.24767956,0.19850281,0.19413038,0.07422822,0.023476204,0.26198283
18,0.23315445,0.17468128,0.0863247,0.15923509,0.174966,0.17163841
19,0.31168053,0.030519823,0.2930582,0.083810255,0.06778917,0.21314202
20,0.10036591,0.15037158,0.2420956,0.31271935,0.029716028,0.16473155
21,0.09009772,0.1701397,0.12796105,0.28221488,0.14996566,0.17962101
22,0.048651528,0.018241724,0.21161397,0.1314516,0.35932848,0.23071267
23,0.028196959,0.14748375,0.39076367,0.15941608,0.14957033,0.12456928
24,0.19035889,0.22029729,0.22571856,0.2781153,0.051675547,0.033834442
25,0.10308688,0.015793672,0.16854629,0.27463698,0.19219658,0.2457396
26,0.2768105,0.16773729,0.08090794,0.12086467,0.071321175,0.28235844
27,0.3060311,0.10759423,0.0771297,0.19156812,0.23843957,0.079237245
28,0.06756067,0.19089885,0.1924067,0.33775297,0.15301381,0.058367044
29,0.14556451,0.20343159,0.074277766,0.099504165,0.22069876,0.25652325
30,0.18354622,0.17989959,0.2362977,0.19922534,0.03071376,0.17031741
31,0.26406667,0.07488003,0.24126457,0.07888424,0.20611124,0.13479324
32,0.04532466,0.16819702,0.26016337,0.21846816,0.25346237,0.054384444
33,0.08963992,0.060050864,0.3752413,0.1252559,0.2881999,0.061612133
34,0.033505425,0.28333935,0.17899376,0.082140945,0.080206774,0.34181377
35,0.12900642,0.29759464,0.215989,0.08953486,0.16117646,0.10669861
36,0.23966199,0.22978272,0.075797595,0.1536524,0.08414432,0.21696095
