"","neu","NK","CD4","CD8","B","mono"
"0",0.1706,0.1278,0.0848,0.3208,0.1009,0.195
"1",0.1183,0.1301,0.113,0.3613,0.1106,0.1668
"2",0.0112,0.2756,0.1482,0.3921,0.0961,0.0767
"3",0.0884,0.2168,0.1692,0.3275,0.0674,0.1307
"4",0.1352,0.0589,0.1272,0.3585,0.1209,0.1993
"5",0.0025,0.19,0.1419,0.2942,0.0446,0.3268
"6",0.104,0.1368,0.2001,0.2976,0.0583,0.2032
"7",0.166,0.0843,0.1833,0.3063,0.0282,0.2319
"8",0.0467,0.1403,0.2471,0.3782,0.0966,0.0911
"9",0.1645,0.07,0.1419,0.3284,0.0648,0.2304
"10",0.0718,0.1293,0.1931,0.2829,0.1318,0.1912
"11",0.0535,0.0686,0.2189,0.3521,0.0851,0.2218
"12",0.046,0.1435,0.2381,0.3747,0.0327,0.165
"13",0.0684,0.1778,0.0708,0.2966,0.183,0.2033
"14",0.1103,0.2428,0.1798,0.3363,0.0054,0.1254
"15",0.018,0.2236,0.1711,0.366,0.0182,0.203
"16",0.0821,0.1039,0.1464,0.3673,0.0677,0.2326
"17",0.1064,0.1283,0.1371,0.3294,0.0963,0.2024
"18",0.1847,0.1215,0.1127,0.3473,0.139,0.0947
"19",0.0657,0.1749,0.1854,0.3457,0.0617,0.1667
"20",0.1247,0.1404,0.0908,0.3886,0.0344,0.2211
"21",0.0734,0.2174,0.117,0.34,0.0623,0.1899
"22",0.1385,0.2057,0.0484,0.3058,0.1029,0.1988
"23",0.1557,0.1845,0.2046,0.3493,0.0619,0.0441
"24",0.0808,0.1913,0.2943,0.3634,0.0146,0.0556
"25",0.0828,0.0991,0.1467,0.3601,0.0997,0.2115
"26",0.1122,0.0832,0.1118,0.3321,0.1228,0.2378
"27",0.1331,0.1096,0.1718,0.352,0.0745,0.1589
"28",0.1704,0.1775,0.107,0.303,0.0908,0.1513
"29",0.1336,0.2199,0.1102,0.3498,0.0792,0.1074
"30",0.0289,0.0728,0.3038,0.3812,0.0937,0.1195
"31",0.1541,0.103,0.1993,0.2939,0.0387,0.211
