"","neu","NK","CD4","CD8","B","mono"
"0",0.1803,0.1272,0.2524,0.2857,0.0274,0.127
"1",0.1088,0.1039,0.2667,0.296,0.0514,0.1733
"2",0.0083,0.2361,0.2466,0.3402,0.0202,0.1487
"3",0.1387,0.2469,0.1045,0.364,0.0104,0.1354
"4",0.1014,0.1638,0.1156,0.2734,0.128,0.2179
"5",0.1091,0.2002,0.1927,0.3587,0.0865,0.0528
"6",0.2346,0.1905,0.0904,0.3319,0.0819,0.0708
"7",0.0334,0.1613,0.1845,0.3164,0.1174,0.1871
"8",0.0645,0.184,0.1807,0.3292,0.1015,0.1401
"9",0.1567,0.0919,0.1407,0.3369,0.1661,0.1078
"10",0.187,0.0744,0.0583,0.2962,0.0122,0.3719
"11",0.0564,0.1926,0.1968,0.3396,0.1013,0.1133
"12",0.044,0.266,0.2143,0.3966,0.0328,0.0464
"13",0.062,0.1407,0.2005,0.3543,0.1132,0.1293
"14",0.0607,0.155,0.1225,0.3457,0.1135,0.2027
"15",0.0256,0.1647,0.1512,0.3456,0.1158,0.1972
"16",0.1642,0.2415,0.0829,0.2999,0.0035,0.2079
"17",0.2525,0.1102,0.0802,0.3369,0.025,0.1952
"18",0.1488,0.105,0.1466,0.341,0.1384,0.1202
"19",0.1805,0.217,0.0802,0.2916,0.0027,0.2281
"20",0.0165,0.2012,0.1764,0.3266,0.0748,0.2045
"21",0.1353,0.1703,0.121,0.29,0.0914,0.1921
"22",0.1189,0.1018,0.196,0.336,0.0966,0.1506
"23",0.0588,0.1816,0.2433,0.3252,0.0893,0.1018
"24",0.1854,0.1722,0.0765,0.2657,0.0985,0.2017
"25",0.0957,0.2207,0.1366,0.3072,0.0843,0.1555
"26",0.1219,0.1556,0.1394,0.317,0.0969,0.1692
"27",0.0468,0.3,0.1042,0.3684,0.0238,0.1568
"28",0.1908,0.2676,0.0953,0.3198,0.0585,0.068
"29",0.1114,0.168,0.2679,0.3681,0.026,0.0586
"30",0.1353,0.0957,0.1433,0.3268,0.1062,0.1927
"31",0.1164,0.1199,0.1914,0.3331,0.0801,0.1591
"32",0.0567,0.1838,0.1434,0.3014,0.0398,0.2749
"33",0.1198,0.1356,0.1483,0.3541,0.0931,0.1491
"34",0.1434,0.2262,0.135,0.303,0.097,0.0953
"35",0.0796,0.1665,0.1608,0.3107,0.0832,0.1991
"36",0.1274,0.2008,0.1744,0.3415,0.0442,0.1116
"37",0.0165,0.1301,0.1337,0.3577,0.1279,0.2342
"38",0.088,0.1632,0.1479,0.3286,0.0258,0.2465
"39",0.0652,0.2157,0.0954,0.2989,0.1144,0.2102
"40",0.1661,0.1261,0.2188,0.3503,0.0412,0.0975
"41",0.062,0.2267,0.1159,0.289,0.0936,0.2128
"42",0.0452,0.247,0.1235,0.3496,0.0397,0.195
"43",0.1368,0.0906,0.2037,0.3313,0.0764,0.1613
"44",0.1147,0.245,0.1283,0.3226,0.052,0.1374
"45",0.1597,0.1808,0.0803,0.2922,0.1068,0.1802
"46",0,0.2891,0.2508,0.3079,0.0533,0.0988
"47",0.1281,0.1012,0.2278,0.2919,0.1292,0.1217
"48",0.0913,0.1235,0.204,0.2947,0.0361,0.2504
"49",0.0767,0.2695,0.1072,0.3768,0.0306,0.1391
"50",0.0354,0.1856,0.1052,0.3848,0.0348,0.2541
"51",0.0624,0.3031,0.0632,0.2916,0.1277,0.1519
"52",0.2217,0.0679,0.1722,0.2967,0.1565,0.0849
"53",0.1612,0.1895,0.1078,0.283,0.056,0.2025
"54",0.1404,0.2299,0.1607,0.3178,0,0.1512
"55",0.2878,0.0572,0.0952,0.3677,0.0145,0.1776
"56",0.0392,0.3101,0.0917,0.3562,0.0401,0.1628
"57",0.0565,0.2574,0.1149,0.3367,0.0741,0.1605
"58",0.1973,0.1592,0.1598,0.2931,0.0439,0.1467
"59",0.1065,0.1904,0.1918,0.2946,0.0689,0.1477
"60",0.0562,0.1309,0.1877,0.3359,0.1142,0.1751
"61",0.0689,0.1254,0.2406,0.3007,0.0721,0.1923
"62",0.1364,0.2038,0.1544,0.3377,0.0399,0.1278
"63",0.1493,0.1768,0.1847,0.2808,0.1192,0.0893
"64",0.1173,0.1824,0.106,0.3181,0.0944,0.1818
"65",0.2134,0.0999,0.0825,0.2784,0.1075,0.2183
"66",0.0836,0.1625,0.1851,0.3257,0.0231,0.2199
"67",0.0492,0.1878,0.1783,0.2992,0.1087,0.1768
"68",0.1906,0.2538,0.0916,0.2714,0.0641,0.1285
"69",0.0613,0.233,0.1577,0.3339,0.0185,0.1956
"70",0.0333,0.1484,0.1056,0.3173,0.198,0.1973
"71",0.0548,0.2194,0.2157,0.3743,0.0564,0.0793
"72",0.0383,0.2146,0.2268,0.3326,0.103,0.0848
"73",0.005,0.0687,0.2903,0.3068,0.1642,0.165
"74",0.0744,0.1877,0.2022,0.3587,0.0193,0.1577
"75",0.0823,0.2334,0.1126,0.3846,0.047,0.1402
"76",0.0584,0.1303,0.1799,0.3509,0.0662,0.2141
"77",0.1402,0.2212,0.1632,0.3229,0.0963,0.0562
"78",0.1245,0.077,0.2085,0.3277,0.0908,0.1716
"79",0.0134,0.1609,0.1097,0.2946,0.264,0.1574
"80",0.1678,0.255,0.0607,0.3141,0.0288,0.1736
"81",0.0597,0.2125,0.167,0.2805,0.088,0.1923
"82",0.1161,0.3422,0.118,0.3251,0.0493,0.0493
"83",0.0643,0.158,0.1475,0.3599,0.1199,0.1505
"84",0.1287,0.1286,0.262,0.316,0.0975,0.0672
"85",0.0262,0.0864,0.2331,0.3558,0.1542,0.1443
"86",0.0993,0.2557,0.1618,0.336,0.0931,0.054
"87",0.1426,0.1487,0.1362,0.3555,0.0268,0.1901
"88",0.0567,0.1594,0.1757,0.3839,0.0538,0.1705
"89",0.0862,0.263,0.1751,0.2916,0.0173,0.1668
"90",0.041,0.184,0.0547,0.2783,0.162,0.28
"91",0.176,0.0656,0.1752,0.3434,0.0833,0.1565
"92",0.1544,0.0728,0.1883,0.3722,0.0981,0.1142
"93",0.0594,0.1781,0.1547,0.3294,0.0705,0.2078
"94",0.2254,0.146,0.2118,0.2952,0.0376,0.084
"95",0.1826,0.1343,0.1588,0.3376,0.0424,0.1443
"96",0.1518,0.2438,0.0688,0.337,0.1271,0.0715
"97",0.143,0.0953,0.1128,0.2968,0.1242,0.2279
"98",0.012,0.256,0.1945,0.3429,0.0995,0.095
"99",0.0835,0.1964,0.0903,0.3155,0.188,0.1264
"100",0.0939,0.168,0.1552,0.3301,0.0617,0.1911
"101",0.1481,0.0863,0.2064,0.3212,0.0422,0.1959
"102",0.1771,0.0786,0.2044,0.3576,0.0225,0.1598
"103",0.1941,0.1574,0.1096,0.2917,0.0772,0.1701
"104",0.1471,0.0925,0.1942,0.3127,0.0501,0.2033
"105",0.0365,0.2299,0.1489,0.3456,0.0745,0.1646
"106",0.0583,0.1544,0.1352,0.3502,0.1325,0.1695
"107",0.0115,0.1587,0.2247,0.3295,0.0854,0.1902
"108",0.0616,0.1162,0.2199,0.4298,0.072,0.1006
"109",0.1204,0.1909,0.0981,0.298,0.0814,0.2113
"110",0.1136,0.1747,0.1548,0.3369,0.0838,0.1362
"111",0.0427,0.1864,0.1401,0.3453,0.0868,0.1987
"112",0.2004,0.1998,0.1296,0.3124,0.0268,0.1309
"113",0.0606,0.1778,0.1974,0.3723,0.11,0.0817
"114",0.0347,0.1553,0.1695,0.3326,0.0684,0.2395
"115",0.0959,0.0738,0.3088,0.3055,0.1606,0.0554
"116",0.033,0.1319,0.2485,0.3528,0.1133,0.1205
"117",0.1529,0.2093,0.1639,0.2796,0.0608,0.1335
"118",0,0.1545,0.2364,0.3252,0.13,0.1539
"119",0.2174,0.0752,0.1204,0.2926,0.0396,0.2548
"120",0.0115,0.1008,0.202,0.326,0.1201,0.2397
"121",0.1635,0.0856,0.1767,0.355,0.1124,0.1068
"122",0.0207,0.2191,0.1905,0.3285,0.0543,0.187
"123",0.0088,0.2572,0.1182,0.3791,0.079,0.1578
"124",0.0191,0.1127,0.232,0.3819,0.1675,0.0868
"125",0.0972,0.1385,0.0749,0.3285,0.1533,0.2076
"126",0.1085,0.1248,0.0894,0.301,0.0667,0.3096
"127",0.4249,0.0222,0.0616,0.2809,0.0097,0.2007
"128",0.0016,0.2326,0.2329,0.3157,0.1337,0.0834
"129",0.0998,0.0811,0.1737,0.3223,0.0509,0.2723
"130",0.0612,0.2128,0.1956,0.3414,0.0729,0.1161
"131",0.1495,0.0681,0.1104,0.2808,0.097,0.2942
"132",0.1685,0.297,0.1065,0.3644,0.0094,0.0542
"133",0.1502,0.2144,0.1532,0.364,0.0229,0.0954
"134",0.114,0.0776,0.1953,0.3153,0.1244,0.1734
"135",0.2327,0.0868,0.1111,0.3417,0.0681,0.1596
"136",0.0759,0.224,0.0619,0.3071,0.0281,0.3031
"137",0.0129,0.1149,0.1228,0.3459,0.0851,0.3185
"138",0.1216,0.1698,0.3296,0.3251,0,0.0539
"139",0.2238,0.1737,0.1205,0.2711,0.0577,0.1532
"140",0.0785,0.2097,0.1235,0.3006,0.1522,0.1353
"141",0.1113,0.0608,0.2621,0.3952,0.0799,0.0907
"142",0,0.2848,0.1904,0.361,0.1074,0.0565
"143",0,0.3311,0.2388,0.3152,0.0622,0.0527
"144",0.1835,0.2379,0.104,0.3241,0.0142,0.1363
"145",0.0854,0.2558,0.1282,0.2891,0.1139,0.1276
"146",0.1652,0.2377,0.0983,0.2911,0.083,0.1247
"147",0.1687,0.137,0.1102,0.3709,0.1119,0.1013
"148",0.0899,0.3825,0.0426,0.3023,0.0387,0.144
"149",0.0583,0.199,0.1804,0.3502,0.1207,0.0913
"150",0.0916,0.1644,0.1946,0.3464,0.0162,0.1868
"151",0.0268,0.1584,0.3242,0.4055,0.0083,0.0767
"152",0.0214,0.1261,0.1794,0.3684,0.161,0.1436
"153",0.0272,0.0911,0.2389,0.3089,0.1405,0.1933
"154",0.0518,0.2068,0.1714,0.3407,0.135,0.0943
"155",0.1276,0.1999,0.1279,0.3294,0.106,0.1091
"156",0.1827,0.0931,0.1948,0.3553,0.0706,0.1035
"157",0.1624,0.1326,0.1124,0.3445,0.0876,0.1604
"158",0.0613,0.1095,0.1453,0.3413,0.1253,0.2174
"159",0.2073,0.13,0.0908,0.3586,0.032,0.1813
"160",0.047,0.2298,0.1565,0.3066,0.0344,0.2257
"161",0.1542,0.2221,0.1205,0.3628,0.0433,0.097
"162",0.004,0.2876,0.0778,0.2976,0.1034,0.2295
"163",0.2153,0.0433,0.2134,0.3119,0.0686,0.1474
"164",0.2529,0.0599,0.1019,0.2654,0.1163,0.2036
"165",0.198,0.1038,0.1311,0.3126,0.1042,0.1502
"166",0.1849,0.1997,0.1055,0.3512,0.0133,0.1454
"167",0.0089,0.1497,0.2005,0.346,0.0997,0.1952
"168",0,0.1501,0.2516,0.3577,0.1622,0.0784
"169",0.1306,0.2055,0.2197,0.3303,0.0135,0.1004
"170",0.1222,0.1119,0.2287,0.3616,0.0947,0.081
"171",0.0426,0.2503,0.2136,0.3439,0.0344,0.1151
"172",0.0958,0.1273,0.1199,0.3211,0.1639,0.172
"173",0.1372,0.0769,0.2063,0.3385,0.1742,0.0669
"174",0.1706,0.246,0.0812,0.2793,0.0337,0.1892
"175",0.0289,0.2469,0.1848,0.3011,0.0727,0.1656
"176",0.2221,0.1647,0.0737,0.2985,0.0591,0.1819
"177",0.1878,0.1093,0.0857,0.3535,0.1231,0.1405
"178",0.063,0.2285,0.1101,0.3536,0.1279,0.1169
"179",0.1793,0.1595,0.1604,0.3156,0.0712,0.1141
"180",0.0849,0.1791,0.1062,0.3543,0.1056,0.1699
"181",0.2002,0.1448,0.1469,0.3058,0.0628,0.1395
"182",0.0627,0.1689,0.2028,0.3191,0.0545,0.192
"183",0.0519,0.2172,0.2595,0.4006,0.0292,0.0416
"184",0.146,0.2158,0.1052,0.2901,0.0844,0.1585
"185",0.0517,0.0758,0.1037,0.3719,0.2167,0.1802
"186",0.0551,0.2189,0.1117,0.3586,0.0909,0.1647
"187",0.1638,0.0986,0.1774,0.289,0.0771,0.1942
"188",0.2332,0.2463,0.073,0.3052,0,0.1423
"189",0.1221,0.2144,0.1071,0.3631,0.0859,0.1074
"190",0.0272,0.1019,0.2149,0.3885,0.0691,0.1983
"191",0.0532,0.1718,0.1989,0.3561,0.0815,0.1384
"192",0.162,0.2098,0.1078,0.3425,0.1012,0.0767
"193",0.0353,0.0985,0.2699,0.3819,0.0747,0.1396
"194",0.0478,0.1049,0.1071,0.3647,0.1595,0.2161
"195",0.1409,0.1346,0.184,0.3146,0.1187,0.1071
"196",0.0096,0.1433,0.2503,0.3502,0.0349,0.2116
"197",0.0385,0.1431,0.1635,0.3382,0.1706,0.1461
"198",0.0602,0.1906,0.2147,0.3591,0.0156,0.1597
"199",0.0765,0.2103,0.1624,0.345,0.0876,0.1182
"200",0.053,0.2071,0.2241,0.3436,0.0542,0.1179
"201",0.1495,0.1447,0.1951,0.2908,0.0361,0.1839
"202",0.0904,0.2224,0.2129,0.3281,0.1008,0.0454
"203",0.1264,0.1908,0.1517,0.3417,0.0929,0.0965
"204",0.129,0.1335,0.158,0.3177,0.0878,0.1741
"205",0.1008,0.2431,0.1324,0.3289,0.0022,0.1926
"206",0.0768,0.2333,0.1469,0.3518,0.0702,0.1209
"207",0.0873,0.1663,0.1645,0.3357,0.0487,0.1976
"208",0,0.3096,0.2589,0.3322,0.075,0.0243
"209",0.2184,0.0989,0.1,0.3261,0.0999,0.1567
"210",0.1583,0.1491,0.1146,0.3387,0.0853,0.154
"211",0.0823,0.1142,0.1401,0.3389,0.149,0.1755
"212",0.1131,0.0946,0.1723,0.4235,0.0733,0.1232
"213",0.1416,0.1434,0.088,0.3272,0.1057,0.1942
"214",0.1339,0.1253,0.1466,0.347,0.1021,0.1452
