,neu,NK,CD4,CD8,B,mono
0,0.086964086,0.48751885,0.03146998,0.17804047,0.081490934,0.13451567
1,0.1005247,0.2617435,0.08915441,0.29428282,0.16388965,0.090404935
2,0.102619134,0.08369725,0.27058583,0.20454656,0.10169415,0.23685706
3,0.23765025,0.04245676,0.22165811,0.12527803,0.2884031,0.08455379
4,0.08443977,0.35678264,0.3358533,0.063137665,0.098745555,0.06104102
5,0.19517104,0.27419552,0.16857931,0.1958495,0.12949389,0.036710735
6,0.036092427,0.23892274,0.3254788,0.04749664,0.17337438,0.17863496
7,0.116100036,0.26512742,0.031115914,0.22856683,0.074695624,0.28439415
8,0.4226836,0.034742724,0.053962436,0.09819525,0.32642177,0.063994266
9,0.10580288,0.019770628,0.4686925,0.23463105,0.1305777,0.040525284
10,0.07297657,0.15889929,0.14057365,0.3592759,0.22127278,0.04700183
11,0.024715964,0.5211688,0.09825333,0.09373349,0.16531849,0.09680987
12,0.02727126,0.17233256,0.031095559,0.346891,0.081870824,0.34053883
13,0.14800209,0.22259517,0.43807587,0.10093814,0.064383924,0.026004732
14,0.14308114,0.33802602,0.29198897,0.06749927,0.10114435,0.058260236
15,0.029926913,0.14113852,0.07084048,0.31744292,0.13703825,0.3036129
16,0.13114646,0.21931219,0.030091276,0.17994365,0.27297688,0.16652955
17,0.10025096,0.06730204,0.30463994,0.18210888,0.2370318,0.10866634
18,0.07821112,0.32163993,0.11933037,0.13788499,0.12726636,0.21566725
19,0.16494457,0.29913542,0.06705671,0.21145186,0.20232654,0.055084944
20,0.1713236,0.12252801,0.03959284,0.1594298,0.25365815,0.2534676
21,0.12196845,0.045214985,0.20993628,0.09298803,0.25357375,0.2763185
22,0.03852804,0.19919075,0.15135866,0.4750315,0.03501459,0.1008764
23,0.0911007,0.2075338,0.13757603,0.17398226,0.14787763,0.24192958
24,0.24912019,0.24128805,0.030887406,0.17827894,0.08089636,0.21952903
25,0.075843304,0.4143331,0.054016974,0.12840796,0.1482058,0.1791929
26,0.15950945,0.046257686,0.2896865,0.16875853,0.24411412,0.09167373
27,0.032031868,0.25196263,0.18874834,0.080986865,0.12819166,0.31807864
28,0.16513017,0.3642031,0.14541246,0.10698237,0.1318729,0.086399056
29,0.27890384,0.19965608,0.26437825,0.07511033,0.061274864,0.12067659
30,0.10098606,0.4150905,0.030545928,0.3058108,0.06684292,0.08072376
31,0.27613932,0.042250756,0.09252723,0.11254439,0.1002749,0.37626338
32,0.029165138,0.17408927,0.116418265,0.1202033,0.0869778,0.47314623
33,0.11920975,0.02237633,0.10457922,0.27474684,0.119169556,0.35991827
34,0.2677698,0.03911049,0.0451595,0.044977747,0.25900048,0.34398198
35,0.059489906,0.13880137,0.28875715,0.2807671,0.07801762,0.15416674
36,0.094605766,0.15565208,0.14236218,0.23799393,0.18328886,0.18609717
37,0.12181181,0.29472393,0.18373883,0.15971439,0.18284781,0.057163253
38,0.048129205,0.22223262,0.036461536,0.42511645,0.04406822,0.22399193
39,0.06796023,0.05782899,0.032313257,0.48928976,0.042363703,0.31024408
40,0.14576319,0.07482979,0.27064708,0.25905368,0.18390533,0.065800965
41,0.32211217,0.03889546,0.041283645,0.44348666,0.10111313,0.05310891
42,0.02736345,0.060263783,0.31235412,0.15762164,0.16525376,0.27714324
43,0.17162344,0.14208092,0.20416713,0.119979955,0.28219533,0.07995321
44,0.1637936,0.2861564,0.06818535,0.18780561,0.24261922,0.051439807
45,0.17045267,0.096221864,0.28002766,0.24431431,0.12677228,0.08221127
46,0.020129217,0.036126923,0.44075194,0.31519306,0.07244744,0.115351476
47,0.030167388,0.21027477,0.30191812,0.24152055,0.077095374,0.13902377
48,0.03873132,0.3441268,0.15019456,0.07252845,0.31220302,0.082215816
49,0.13019456,0.24037434,0.06055112,0.10373513,0.35765937,0.107485466
50,0.34366092,0.2488965,0.22552176,0.07465011,0.07070895,0.036561728
51,0.22734499,0.28927982,0.24617963,0.058900315,0.12188398,0.05641126
52,0.062728316,0.31356233,0.06050751,0.15350369,0.1620895,0.24760865
53,0.04427163,0.18842152,0.21993841,0.25853837,0.08796946,0.20086062
54,0.15627764,0.2401551,0.09695903,0.26193413,0.17049211,0.07418206
55,0.17447723,0.5416919,0.04916575,0.05152697,0.1366953,0.046442866
56,0.14058658,0.47284213,0.13225357,0.15535998,0.054953396,0.04400433
57,0.07639552,0.058229286,0.047325656,0.42205974,0.12352899,0.27246085
58,0.23606674,0.12003453,0.28181654,0.1450052,0.18410523,0.03297177
59,0.25907063,0.039410453,0.059085358,0.15459312,0.098387115,0.38945335
60,0.08065344,0.07511981,0.27674627,0.12965907,0.21425046,0.22357099
61,0.050779007,0.31495592,0.03314345,0.10158591,0.2019257,0.29761007
62,0.113724716,0.2173847,0.03913134,0.37148225,0.16092114,0.09735585
63,0.2481761,0.023750415,0.15278241,0.043265026,0.48384836,0.04817774
64,0.18086721,0.04674153,0.27360493,0.32774538,0.08853278,0.08250817
65,0.2470301,0.0384518,0.10939768,0.061779432,0.27967936,0.26366162
66,0.1842356,0.08550715,0.30713013,0.08352387,0.11851284,0.22109039
67,0.057588622,0.052490335,0.02702051,0.5606792,0.26512927,0.037092056
68,0.09203282,0.057167593,0.10526203,0.25272858,0.080648944,0.41215998
69,0.21046025,0.033243176,0.30207855,0.05704645,0.17071082,0.22646078
70,0.19341822,0.13142063,0.11162622,0.102351226,0.41372824,0.04745543
71,0.11274339,0.19309244,0.32986483,0.08684526,0.15143782,0.12601626
72,0.21733974,0.09844762,0.14853498,0.3446222,0.13869423,0.052361254
73,0.24366707,0.065291464,0.05012589,0.41543147,0.09311369,0.1323705
74,0.29609638,0.351223,0.09736907,0.049002204,0.15627001,0.05003936
75,0.04939095,0.04391412,0.39262423,0.119591616,0.35398206,0.04049706
76,0.16340292,0.24553101,0.0316234,0.14393006,0.21172173,0.20379092
77,0.0493489,0.20906658,0.179069,0.1336615,0.24360889,0.18524513
78,0.16968669,0.090459615,0.07322126,0.2671594,0.34172618,0.057746835
79,0.2066274,0.051857557,0.049914904,0.19992825,0.24548768,0.2461843
80,0.12686232,0.18947583,0.2987467,0.087907836,0.16101828,0.135989
81,0.18224005,0.04112336,0.3178063,0.13268511,0.24956965,0.07657555
82,0.052331693,0.07681469,0.44144523,0.19516851,0.15032075,0.08391913
83,0.056635514,0.35339016,0.21597527,0.2320578,0.047102444,0.09483881
84,0.0913116,0.26722908,0.20326553,0.09912099,0.1273599,0.21171293
85,0.056502447,0.38566065,0.095813334,0.25564393,0.05493793,0.15144166
86,0.078008845,0.24035592,0.08211691,0.17335948,0.22301783,0.20314108
87,0.08192041,0.2997343,0.13378769,0.046072613,0.3022633,0.13622178
88,0.18873987,0.06340153,0.24710579,0.047510393,0.22422892,0.2290135
89,0.21386269,0.202081,0.24663904,0.06014667,0.20209488,0.07517569
90,0.106258325,0.22606634,0.22843301,0.25061053,0.09078413,0.097847626
91,0.0270507,0.2872964,0.17529953,0.21346341,0.064762995,0.23212698
92,0.047913115,0.04862433,0.14731991,0.20746277,0.19695033,0.35172963
93,0.08694494,0.0231138,0.11687823,0.078016646,0.4911998,0.2038465
94,0.09463418,0.09170033,0.23491168,0.21215871,0.17096831,0.19562675
95,0.029499503,0.37539265,0.08563405,0.21199891,0.19894211,0.098532856
96,0.047333717,0.22881204,0.28970957,0.12963352,0.0938057,0.21070547
97,0.102259435,0.275845,0.05716097,0.24732497,0.19570576,0.12170393
98,0.18984841,0.30799535,0.04287373,0.25341102,0.138049,0.06782249
99,0.03328869,0.21896367,0.26667354,0.26170108,0.06064703,0.15872604
100,0.025277626,0.08824643,0.27804506,0.058231078,0.35841852,0.19178127
101,0.03839839,0.24955545,0.08025737,0.20535561,0.11835079,0.3080824
102,0.04090103,0.34967703,0.29553947,0.24844812,0.036393017,0.029041402
103,0.045426372,0.23356514,0.1253238,0.17782936,0.13991375,0.27794152
104,0.18856686,0.04616178,0.2151678,0.1790049,0.1648154,0.20628327
105,0.013676414,0.023633549,0.20648822,0.6887763,0.02048814,0.04693737
106,0.024550196,0.20873821,0.41503182,0.07443099,0.098335125,0.1789137
107,0.0841955,0.24582434,0.2559247,0.21233745,0.14035837,0.061359707
108,0.39181754,0.0642705,0.054365978,0.104821645,0.2928719,0.09185242
109,0.1542673,0.092698574,0.18195234,0.10207363,0.4075032,0.06150501
110,0.11531695,0.04257428,0.2473576,0.15322566,0.24072655,0.20079888
111,0.030527232,0.020146878,0.51479566,0.13054852,0.21487512,0.089106604
112,0.16854277,0.13558123,0.251727,0.20018424,0.16693723,0.07702754
113,0.17774737,0.3565803,0.24690704,0.087279394,0.09273494,0.038751002
114,0.06581185,0.22870363,0.0714241,0.12386037,0.34879228,0.16140778
115,0.038705584,0.120340206,0.10735685,0.45093405,0.18836983,0.094293475
116,0.10226655,0.022605704,0.09441122,0.033020098,0.68464893,0.06304752
117,0.028489059,0.013539174,0.6944053,0.088808164,0.13752192,0.037236433
118,0.20123312,0.022963509,0.30934614,0.26416644,0.13996124,0.062329505
119,0.1355591,0.03982557,0.050579697,0.070399195,0.58586293,0.11777351
120,0.14893873,0.25345093,0.050765943,0.05378493,0.28947535,0.20358418
121,0.32470897,0.11429649,0.030370362,0.25797337,0.21503918,0.05761165
122,0.046383027,0.034680244,0.17063229,0.35123456,0.08215478,0.31491512
123,0.09395084,0.12117439,0.18798818,0.11129105,0.22115174,0.26444384
124,0.19907223,0.034673586,0.07866491,0.29598168,0.117184825,0.27442276
125,0.17402023,0.096361846,0.028140254,0.38332102,0.15529326,0.16286336
126,0.16298692,0.16531076,0.28998306,0.25247344,0.097936586,0.031309243
127,0.022467002,0.1499854,0.07097098,0.5831006,0.082572825,0.09090316
128,0.1726641,0.1674221,0.042452734,0.2760367,0.082025,0.25939935
129,0.0711403,0.039972674,0.28611344,0.1272309,0.18882473,0.28671792
130,0.15532497,0.16375923,0.38139522,0.049570084,0.198462,0.05148853
131,0.1112714,0.46553096,0.19763565,0.08004545,0.11052831,0.034988284
132,0.25890788,0.13575105,0.1552195,0.17593583,0.12535878,0.14882697
133,0.029728064,0.2542203,0.2796387,0.14938907,0.15860803,0.12841585
134,0.10377094,0.29589197,0.21302386,0.08460758,0.1274131,0.1752926
135,0.23380654,0.18899508,0.039882444,0.20548818,0.22348616,0.10834169
136,0.027460996,0.11939909,0.52287346,0.035511695,0.21102439,0.08373034
137,0.15301004,0.3969129,0.20725454,0.10474889,0.10691801,0.031155668
138,0.13636968,0.16747198,0.1558973,0.27267635,0.07908789,0.18849678
139,0.22353576,0.02400107,0.16822328,0.20168583,0.3073517,0.075202264
140,0.16666889,0.08907586,0.20106864,0.18020499,0.14697309,0.2160085
141,0.18061048,0.07274771,0.03452851,0.07578865,0.39330268,0.24302197
142,0.2524789,0.2919911,0.16581465,0.0660964,0.14225481,0.0813641
143,0.21080706,0.06251487,0.08704084,0.09743593,0.43468273,0.10751862
144,0.023898706,0.034275338,0.3302078,0.28651425,0.0397235,0.28538045
145,0.072592355,0.017600913,0.44830397,0.35857892,0.060231853,0.04269194
146,0.1290028,0.24450763,0.029828696,0.3046505,0.0608235,0.2311869
147,0.020890469,0.1672357,0.06853461,0.541576,0.04224544,0.15951775
148,0.25652248,0.05145033,0.08691823,0.37875468,0.06364997,0.16270432
149,0.05851122,0.25506273,0.18059348,0.27012658,0.05639161,0.17931439
150,0.15875101,0.1430272,0.034197595,0.047042303,0.5815953,0.03538661
151,0.050567567,0.14199807,0.18778776,0.268852,0.07093789,0.27985677
152,0.07466049,0.24642569,0.10875065,0.11689984,0.19076909,0.26249427
153,0.089651205,0.14605749,0.33612844,0.17935067,0.07815729,0.17065488
154,0.12601344,0.20719846,0.20184593,0.06820894,0.1723172,0.22441594
155,0.16311422,0.06461121,0.22649302,0.17516072,0.2101769,0.16044393
156,0.16889358,0.15322682,0.14917864,0.35703668,0.059576124,0.11208815
157,0.026901543,0.16301325,0.2190711,0.09183965,0.19807136,0.30110312
158,0.1193979,0.3490867,0.0753849,0.10059551,0.15948293,0.196052
159,0.19444306,0.029571215,0.3049721,0.08400339,0.33766347,0.04934674
160,0.070066534,0.16870679,0.1599095,0.14872584,0.15618008,0.29641128
161,0.031015951,0.111895114,0.32484925,0.29001173,0.12776369,0.11446422
162,0.30298114,0.07710636,0.2842642,0.2245642,0.06839955,0.04268458
163,0.19802102,0.036804635,0.2522503,0.32321802,0.118539065,0.07116691
164,0.051428422,0.04840072,0.21839051,0.14818941,0.25561613,0.27797478
165,0.15505187,0.024889993,0.2852779,0.32942247,0.13878804,0.06656973
166,0.042263594,0.06338217,0.18736476,0.23925385,0.20196806,0.26576754
167,0.087757014,0.14355728,0.1634112,0.40620604,0.16032854,0.03873994
168,0.03315573,0.29069912,0.13889387,0.22280894,0.21037222,0.10407013
169,0.22719854,0.18669385,0.05679902,0.17185345,0.09911939,0.25833574
170,0.26563236,0.33548132,0.03466835,0.10551758,0.10583362,0.15286678
171,0.20804507,0.08813403,0.056410074,0.24131618,0.14805864,0.25803605
172,0.24659652,0.102394044,0.19480789,0.3434539,0.06625188,0.046495743
173,0.19377373,0.2852689,0.11152129,0.10957864,0.15754661,0.14231087
174,0.08474862,0.056428157,0.06555694,0.4147395,0.10458764,0.2739392
175,0.21573871,0.034509867,0.31055963,0.081973545,0.15252545,0.20469284
176,0.06817424,0.1544326,0.41118774,0.23100066,0.07781906,0.05738575
177,0.13404264,0.09926512,0.14289664,0.30756474,0.07580248,0.24042834
178,0.11700655,0.2947533,0.0391903,0.18974234,0.18022084,0.17908664
179,0.12742154,0.040099293,0.29248023,0.15363242,0.08486457,0.3015019
180,0.026910389,0.5424131,0.08680805,0.08491202,0.09424109,0.1647153
181,0.25786495,0.47696215,0.058038287,0.041498333,0.13870786,0.026928471
182,0.06418346,0.020113222,0.30316958,0.030923085,0.39634016,0.18527046
183,0.037734736,0.1465598,0.13596755,0.27021345,0.08022211,0.32930234
184,0.025155816,0.013804743,0.67745966,0.026216239,0.18166827,0.07569533
185,0.27482086,0.20612374,0.041521322,0.23247372,0.13245265,0.11260775
186,0.09829747,0.090191625,0.6282994,0.08020391,0.07773211,0.025275506
187,0.036030874,0.26063934,0.058373123,0.15274799,0.24772811,0.24448049
188,0.11717835,0.21060373,0.22099236,0.20228851,0.13960733,0.10932973
189,0.12608437,0.50031525,0.035963453,0.25837842,0.04841542,0.030843066
190,0.023900352,0.29373285,0.25987193,0.2660501,0.09510422,0.061340567
191,0.10382773,0.40157506,0.039873037,0.060324218,0.14242382,0.25197607
192,0.16849174,0.19852862,0.11373501,0.09354844,0.23077855,0.19491763
193,0.134433,0.25176156,0.25295314,0.0672738,0.223353,0.070225485
194,0.11898654,0.22793087,0.35385105,0.057118736,0.07480073,0.16731207
195,0.067822665,0.22631975,0.03229163,0.23552571,0.11329727,0.32474303
196,0.11408842,0.020925086,0.46036187,0.03322469,0.34281394,0.028585961
197,0.076946184,0.18462466,0.07181892,0.23816562,0.16879909,0.25964558
198,0.064270556,0.046304718,0.12910853,0.36995795,0.13584332,0.25451493
199,0.045580428,0.3032062,0.33916217,0.064081386,0.08534333,0.16262652
200,0.18144538,0.12963666,0.14632604,0.0476952,0.2728293,0.2220674
201,0.056941308,0.27730072,0.27447096,0.12771687,0.11054884,0.15302129
202,0.15713726,0.021912625,0.1947961,0.50016046,0.04344386,0.082549684
203,0.02513158,0.29945034,0.30700374,0.07547658,0.15014169,0.14279614
204,0.07467504,0.1342229,0.3363678,0.07361245,0.08526412,0.29585776
205,0.19174914,0.26593807,0.21779533,0.059371836,0.07876418,0.18638149
206,0.2601177,0.08644357,0.24351034,0.1219051,0.08548444,0.20253883
207,0.25790885,0.06006028,0.03633507,0.056479983,0.2379005,0.35131535
208,0.09667969,0.13745944,0.29990694,0.16768737,0.117195256,0.18107127
209,0.048238244,0.055830058,0.8212134,0.03170943,0.030345,0.012663822
210,0.21463709,0.24656045,0.23732542,0.13990025,0.06322999,0.09834677
211,0.033161677,0.16978735,0.25938353,0.14709261,0.21145761,0.17911719
212,0.08396981,0.13212956,0.12322258,0.14273381,0.08184091,0.43610328
213,0.04575841,0.024082907,0.06543106,0.12743013,0.70418197,0.03311549
214,0.28962854,0.019642152,0.03823534,0.5251528,0.058675177,0.06866597
215,0.2458176,0.1495374,0.115558416,0.23060967,0.086577244,0.1718997
216,0.1395102,0.08568833,0.052251376,0.34364617,0.26987782,0.10902604
217,0.15410595,0.20820846,0.08736369,0.13163556,0.24989457,0.16879174
218,0.119342215,0.09919879,0.13007936,0.22720571,0.18373854,0.24043536
219,0.032508835,0.02802376,0.3616121,0.14820391,0.228623,0.20102835
220,0.023206456,0.037199672,0.18973435,0.43674663,0.04181507,0.2712979
221,0.19727468,0.13245718,0.053991783,0.14223209,0.26309603,0.21094824
222,0.20479025,0.11151562,0.13943475,0.10308637,0.30759424,0.13357878
223,0.15934354,0.02625409,0.33850804,0.067103565,0.3276961,0.08109468
224,0.07630813,0.07611454,0.27786013,0.32776582,0.13811015,0.10384123
225,0.067243755,0.11297471,0.08687756,0.20909809,0.2471593,0.2766466
226,0.1611117,0.19613847,0.02757143,0.26330593,0.21846819,0.13340428
227,0.15679264,0.061317675,0.2863123,0.081973486,0.25417924,0.15942465
228,0.051438972,0.2365873,0.14074807,0.075394794,0.2351355,0.26069537
229,0.19313446,0.06514243,0.37681815,0.04758157,0.19977298,0.11755035
230,0.17209809,0.067373864,0.06346682,0.49640176,0.14982022,0.050839268
231,0.091324486,0.047441993,0.08344914,0.1490988,0.23754323,0.39114237
232,0.22871712,0.12195853,0.039515812,0.080253005,0.4231534,0.10640216
233,0.13470268,0.16226093,0.18549213,0.06326513,0.11746715,0.33681196
234,0.16483068,0.023263823,0.30516422,0.04680632,0.24540892,0.21452601
235,0.19250154,0.021492617,0.28117394,0.23668249,0.1273063,0.14084315
236,0.1637804,0.11814752,0.22218141,0.12211921,0.2323949,0.14137657
237,0.022245597,0.083310984,0.51114887,0.0667626,0.1145429,0.20198907
238,0.11836835,0.33222574,0.04563454,0.20276883,0.098372854,0.2026296
239,0.26169434,0.07939547,0.23243384,0.05947778,0.18388206,0.18311647
240,0.16133526,0.20998138,0.19311377,0.056799646,0.083809055,0.29496092
241,0.069256894,0.023874091,0.08646715,0.4911814,0.19371027,0.13551025
242,0.15657903,0.18739021,0.1402073,0.16978602,0.10418485,0.24185254
243,0.134309,0.14577912,0.034183595,0.1065262,0.3803043,0.19889778
244,0.27380666,0.2232966,0.07188064,0.13570474,0.2222658,0.07304552
245,0.06460515,0.2728755,0.077790976,0.15407017,0.2580835,0.17257474
246,0.08408656,0.23252411,0.16250831,0.12222049,0.1696334,0.22902717
247,0.1603554,0.28830576,0.05969923,0.054289617,0.25050914,0.18684083
248,0.1151245,0.21859257,0.18109496,0.06577598,0.22741126,0.1920007
249,0.24087346,0.06719081,0.025680624,0.04105628,0.5989831,0.026215741
250,0.09731861,0.29693064,0.070866264,0.37746742,0.11635957,0.041057505
251,0.024861675,0.07175475,0.36939645,0.17316331,0.15048783,0.21033596
252,0.037642665,0.2509483,0.20997144,0.25510722,0.14726314,0.099067226
253,0.1709183,0.095298395,0.117947094,0.2537264,0.26160127,0.10050858
254,0.30446285,0.040265396,0.035912037,0.076434724,0.2026612,0.3402638
255,0.14921793,0.21290988,0.17530848,0.058632165,0.22650844,0.17742312
256,0.16459107,0.059001308,0.2071071,0.19391027,0.16933772,0.20605257
257,0.20266557,0.02733104,0.029772986,0.18910082,0.31018957,0.24094002
258,0.22104257,0.22386265,0.1492825,0.07336682,0.11412821,0.21831723
259,0.23069198,0.067827255,0.13435112,0.14041698,0.15319274,0.27351993
260,0.19120911,0.3533468,0.14046867,0.10785276,0.16301426,0.04410839
261,0.07616923,0.4666081,0.03512534,0.19814491,0.16145976,0.062492575
262,0.029467752,0.16614814,0.12012809,0.22376803,0.14683382,0.31365418
263,0.068756506,0.24613884,0.044773325,0.4030712,0.14692001,0.09034012
264,0.31407613,0.030650165,0.10646398,0.25607923,0.21432018,0.07841032
265,0.1925595,0.12317081,0.08879933,0.09112802,0.42903328,0.075309165
266,0.152746,0.24698882,0.06351276,0.28032982,0.108498186,0.14792442
267,0.109956205,0.36018786,0.16626543,0.057794094,0.1680446,0.1377518
268,0.11951327,0.18436857,0.21705599,0.22535358,0.19485377,0.05885481
269,0.03857698,0.3867178,0.054912798,0.13700505,0.19095638,0.19183105
270,0.19523394,0.028129188,0.054796465,0.4151477,0.124381855,0.1823109
271,0.1076408,0.25503787,0.034806304,0.07923995,0.27644092,0.24683417
272,0.17045246,0.0629024,0.33399278,0.2721741,0.1292815,0.031196747
273,0.058152866,0.21041694,0.38202614,0.053409588,0.25658742,0.03940704
274,0.07106102,0.27457705,0.24496806,0.09112932,0.112743475,0.20552108
275,0.048704986,0.23492114,0.25322366,0.15081333,0.1093153,0.20302157
276,0.11880486,0.33326033,0.057957113,0.05746621,0.2918873,0.14062414
277,0.13725671,0.062908486,0.117376596,0.07344507,0.3319316,0.2770816
278,0.073923215,0.22920573,0.19708274,0.16238071,0.12586355,0.21154404
279,0.26126564,0.1269558,0.02420656,0.06936862,0.40105125,0.11715207
280,0.2757919,0.027867476,0.047119845,0.06261873,0.10340076,0.48320127
281,0.11767446,0.024668759,0.29500952,0.15684497,0.1288317,0.27697062
282,0.12612973,0.25099567,0.121905,0.094407104,0.26389036,0.14267214
283,0.092264526,0.048713613,0.048667315,0.3553285,0.1805161,0.2745099
284,0.22725171,0.1700942,0.104881875,0.1625479,0.072831735,0.26239255
285,0.15536739,0.14463374,0.3083629,0.06288996,0.08856509,0.2401809
286,0.18217346,0.46921268,0.1060138,0.08041173,0.117121786,0.04506651
287,0.16161153,0.12011641,0.31503955,0.15973786,0.12625167,0.11724298
288,0.06967927,0.17929551,0.17122485,0.3022366,0.15832898,0.119234815
289,0.18953982,0.08392654,0.31100512,0.077352345,0.24474268,0.09343343
290,0.159128,0.17429526,0.23245633,0.24341628,0.1175752,0.073128924
291,0.028333308,0.027461393,0.21754648,0.043533094,0.371428,0.3116977
292,0.017745737,0.49720418,0.015965708,0.40371522,0.025610542,0.039758574
