,VA,AV,BA,FI,HS,IM
0,0.120114885,0.06460492,0.2071803,0.36731005,0.05685777,0.183932
1,0.23430529,0.14283241,0.38260582,0.073561646,0.046808667,0.11988612
2,0.07606538,0.15114364,0.041797653,0.5846998,0.0630846,0.0832089
3,0.25076702,0.08044397,0.12530875,0.40166757,0.0862776,0.05553504
4,0.1464709,0.17252985,0.32278627,0.18344748,0.09786453,0.07690092
5,0.04923014,0.29414368,0.31906167,0.07751264,0.16720307,0.09284882
6,0.22535737,0.1296013,0.2938379,0.24542668,0.062175408,0.043601383
7,0.1252991,0.13527013,0.040974755,0.31238526,0.23306471,0.15300603
8,0.116485074,0.072946556,0.108462036,0.36258203,0.050994564,0.2885297
9,0.1127802,0.20613699,0.26282024,0.18475887,0.08717619,0.14632745
10,0.12346135,0.19051336,0.41425675,0.07848034,0.09351079,0.09977744
11,0.2415069,0.17649195,0.06006526,0.13000235,0.15576738,0.2361662
12,0.05084628,0.26065603,0.059912063,0.047560822,0.17741278,0.403612
13,0.05288313,0.1202441,0.3959467,0.15090093,0.060175143,0.21985
14,0.20206404,0.046428733,0.13393925,0.28118694,0.1627661,0.17361492
15,0.1927202,0.2560474,0.12346604,0.29422122,0.08022753,0.053317696
16,0.19337626,0.25943184,0.2501552,0.08158842,0.1505623,0.06488599
17,0.28942165,0.094771825,0.18229938,0.2933941,0.058885597,0.08122744
18,0.30798197,0.035869293,0.26926515,0.09419371,0.03902393,0.25366598
19,0.15249671,0.19279324,0.30393982,0.040168714,0.18414238,0.12645915
20,0.21742699,0.20830694,0.17823999,0.10018324,0.09397124,0.20187166
21,0.19722849,0.2820579,0.11217519,0.057525694,0.22097634,0.13003635
22,0.35448673,0.13485561,0.1367079,0.18500216,0.037484348,0.15146326
23,0.099921025,0.16941555,0.08179999,0.30214384,0.08386378,0.26285583
24,0.09769174,0.09040938,0.44870836,0.13774745,0.17460097,0.050842114
