,VA,AV,BA,FI,HS,IM
0,0.16001877,0.17969218,0.23256724,0.15751182,0.16647987,0.103730135
1,0.18139353,0.054642316,0.10904739,0.17000918,0.21171191,0.27319565
2,0.12575169,0.11659579,0.091569975,0.16276403,0.26119375,0.24212481
3,0.07580602,0.36769164,0.08573039,0.2730533,0.12510227,0.07261643
4,0.11401679,0.06136924,0.32914606,0.07965937,0.12775856,0.28804997
5,0.21245538,0.29886523,0.048345786,0.11396374,0.109101154,0.2172687
6,0.10665157,0.13958535,0.13728537,0.371499,0.083522305,0.16145636
7,0.08716154,0.2703772,0.068817556,0.25649723,0.094716564,0.22242989
8,0.1464737,0.071865186,0.07775288,0.15005432,0.30285195,0.251002
9,0.04555293,0.20198907,0.273332,0.20212473,0.10525819,0.17174308
10,0.051402103,0.15648496,0.1888009,0.34110057,0.04703256,0.21517885
11,0.11394011,0.08463789,0.1698168,0.32737374,0.0628017,0.24142972
12,0.16299725,0.23251295,0.08401336,0.26049033,0.18888457,0.07110158
13,0.10192781,0.3542846,0.18826506,0.12731272,0.1397273,0.08848248
14,0.18071882,0.15081409,0.18582244,0.17040676,0.2035545,0.108683355
15,0.42666796,0.13878378,0.117560685,0.17147833,0.05758855,0.087920725
16,0.1688081,0.11320061,0.21813641,0.23619321,0.13665152,0.1270102
17,0.2577826,0.115005516,0.06902447,0.2040603,0.2894674,0.06465965
18,0.054488227,0.19382842,0.39811048,0.1097059,0.09595665,0.14791034
19,0.33968166,0.10034009,0.08126315,0.05248512,0.36817312,0.058056876
20,0.12450157,0.16423988,0.2423218,0.19306692,0.08213125,0.1937386
21,0.06673346,0.24297926,0.12501547,0.13270754,0.06870843,0.36385572
22,0.16774543,0.1465082,0.11289691,0.11603779,0.22402103,0.23279066
23,0.090933636,0.12854123,0.15979129,0.06357599,0.30900604,0.2481518
24,0.074313164,0.09474719,0.19143777,0.23845969,0.26896894,0.13207322
25,0.071370944,0.27246898,0.11110919,0.29365814,0.132303,0.11908974
26,0.095807016,0.23485644,0.12023984,0.17922911,0.16577266,0.20409502
27,0.21176505,0.22352192,0.063463464,0.066446945,0.17091034,0.2638923
28,0.0650887,0.21862635,0.15483254,0.17571522,0.20178688,0.18395029
29,0.24177605,0.1353687,0.057355743,0.06988886,0.22992924,0.26568142
30,0.15217675,0.217802,0.31332272,0.06545362,0.08930456,0.16194034
31,0.14982016,0.27594736,0.08440207,0.23567171,0.15270905,0.10144963
32,0.22469707,0.236997,0.06049929,0.09011355,0.28421715,0.10347595
33,0.18433078,0.14924741,0.27309543,0.08632056,0.11846784,0.18853803
34,0.097052194,0.22171496,0.09845548,0.1906679,0.13080041,0.26130903
35,0.100978725,0.16923042,0.20084806,0.07524378,0.32984278,0.12385621
36,0.09572053,0.29614133,0.087409355,0.37444454,0.06763047,0.0786538
37,0.22960629,0.2553029,0.09805449,0.22824429,0.109478205,0.07931385
38,0.09526718,0.14831991,0.15292904,0.18272473,0.23887381,0.18188542
39,0.09100751,0.09749968,0.20634839,0.19321997,0.25027865,0.16164578
40,0.13705535,0.08227767,0.27509153,0.22706382,0.044361692,0.23414993
41,0.13753726,0.22118822,0.17436288,0.15110572,0.26410964,0.05169624
42,0.060476165,0.16029587,0.05779682,0.28020552,0.17104813,0.2701775
43,0.17093503,0.10593797,0.086328104,0.30537072,0.08554413,0.24588402
44,0.109602965,0.20280123,0.24853644,0.14818811,0.22145449,0.06941671
45,0.17191471,0.1531108,0.12488714,0.0690306,0.1756268,0.30542994
46,0.057702105,0.17047869,0.22901547,0.20987569,0.23725353,0.09567454
