,AV1,AV2,AV3,BA,FI1,FI2,HS,IM1,IM2,IM3,IM4,PE1,PE2,VA1,VA2,VA3
0,0.033363722,0.03519564,0.102076516,0.06304723,0.1357783,0.11246682,0.046286695,0.027103523,0.11531011,0.053812426,0.108991586,0.046810478,0.062831864,0.012831685,0.02845721,0.015636235
1,0.13506374,0.103936724,0.06331897,0.058759354,0.053481985,0.042797964,0.078845724,0.049569003,0.07130462,0.06429569,0.04597904,0.032049987,0.034446076,0.058532894,0.056951996,0.05066623
2,0.03342977,0.030356882,0.06428418,0.032878976,0.113034114,0.097954676,0.07379961,0.051970657,0.07916381,0.055225607,0.060908042,0.06846154,0.05730593,0.08317067,0.06469773,0.033357788
3,0.071669795,0.07645982,0.072632544,0.04746111,0.035871603,0.050385457,0.07112205,0.12476778,0.10731215,0.12990214,0.11495549,0.035966236,0.01465981,0.017415404,0.008211733,0.021206846
4,0.088175334,0.16676387,0.053934563,0.09052692,0.032431953,0.03833228,0.052114293,0.009986381,0.025772741,0.03825931,0.020184105,0.033444528,0.09902923,0.047535006,0.15571848,0.047791068
5,0.06423153,0.11729953,0.13445844,0.04866771,0.07925092,0.10130464,0.06322175,0.043223813,0.088141225,0.067323826,0.049757164,0.03453358,0.027848454,0.022331888,0.026516518,0.03188901
6,0.01442986,0.017634097,0.034169573,0.051381692,0.09769252,0.07231591,0.026482401,0.09289081,0.10842713,0.06537702,0.04883856,0.05069116,0.08876679,0.09046827,0.08757597,0.052858215
7,0.06817124,0.081063785,0.07703541,0.09543745,0.046197265,0.10234877,0.033943005,0.048274066,0.0704622,0.044691063,0.02358493,0.04765009,0.08402317,0.045527887,0.09423293,0.03735673
8,0.011681693,0.067444876,0.07864501,0.07185354,0.09457125,0.086334944,0.033511296,0.052378472,0.09641549,0.087328084,0.0946874,0.07942226,0.09682471,0.015701937,0.016965244,0.016233826
9,0.09763046,0.06572291,0.08947378,0.09359323,0.027267823,0.027762365,0.065607004,0.04831392,0.07159862,0.09075225,0.03690813,0.050481137,0.05695813,0.075387605,0.049291838,0.05325083
10,0.0360226,0.032607935,0.06815473,0.08473794,0.10719115,0.11794966,0.031009417,0.017831825,0.06794304,0.029718375,0.02784545,0.04489632,0.07761362,0.04051206,0.19036913,0.02559678
11,0.038698256,0.028052833,0.11140393,0.08208125,0.07168257,0.05619986,0.071598984,0.061215613,0.065506265,0.061844163,0.09334736,0.13432264,0.04405009,0.02990746,0.018407142,0.031681594
12,0.0416659,0.055535957,0.02859909,0.030395918,0.11798791,0.096447065,0.05003518,0.042814534,0.07151633,0.11092579,0.056831997,0.037248854,0.051144145,0.045639463,0.03742772,0.12578414
13,0.020701772,0.042258624,0.049410205,0.06946934,0.035877984,0.030859157,0.030058496,0.104324035,0.09281481,0.110254794,0.04753669,0.05662731,0.02643168,0.1733816,0.033915386,0.07607805
14,0.05658197,0.045421273,0.05120938,0.039001133,0.087954685,0.16282302,0.037666574,0.057973173,0.0747008,0.055931795,0.030885592,0.044164382,0.09388202,0.02700589,0.09230345,0.042494867
15,0.06399543,0.10781727,0.08123324,0.07854398,0.061938453,0.070146754,0.064182855,0.035888784,0.055984367,0.08606207,0.034941208,0.03001068,0.046018217,0.046663687,0.06123953,0.0753335
16,0.014700171,0.025682665,0.033860315,0.053779054,0.12502146,0.11741101,0.039066877,0.073726274,0.14313385,0.091114074,0.10252616,0.04959924,0.055306528,0.015216112,0.043014985,0.016841251
17,0.07728539,0.06369422,0.07439898,0.054487433,0.06207616,0.075922474,0.062950306,0.04753426,0.05573447,0.054545194,0.038549878,0.060029685,0.06540787,0.07671228,0.073321074,0.05735037
18,0.094876826,0.13679557,0.094606236,0.064086504,0.03839941,0.03564369,0.06329772,0.04595084,0.07821565,0.0745976,0.07995813,0.06688366,0.022695368,0.059166703,0.022985797,0.021840304
19,0.01940872,0.04341874,0.06407138,0.10477194,0.11290801,0.19671965,0.019769443,0.017125892,0.09111916,0.034067187,0.031518858,0.043455184,0.09360334,0.019865297,0.08621974,0.021957448
20,0.037553653,0.0520911,0.086418286,0.08916033,0.08338362,0.06242171,0.06274151,0.03715917,0.06137096,0.088492185,0.08238426,0.07338198,0.073312104,0.041638,0.039205562,0.029285543
21,0.112896845,0.13773546,0.05743045,0.07726989,0.028149094,0.02800771,0.10272343,0.020356903,0.039189268,0.042446833,0.050149225,0.05853579,0.038486164,0.07178336,0.05829356,0.076545976
22,0.057258338,0.13705356,0.08127016,0.123465165,0.04125188,0.04419831,0.03501846,0.03700139,0.06940497,0.091183685,0.040328193,0.05700425,0.07557262,0.033051435,0.037627146,0.039310515
23,0.022166582,0.05846978,0.060017966,0.029363757,0.05061277,0.052838445,0.046939947,0.13871066,0.10093392,0.124775454,0.1087767,0.042550225,0.035034657,0.06435136,0.032149013,0.032308776
24,0.04742646,0.06492245,0.06316102,0.090428926,0.039273296,0.0602262,0.0406182,0.04248502,0.060246497,0.06927026,0.036998473,0.08221104,0.086911574,0.08380902,0.0772681,0.054743398
25,0.15771455,0.12328374,0.08404202,0.089697525,0.051366393,0.04572187,0.06811483,0.02079493,0.066188805,0.043054223,0.042569526,0.04825968,0.025939442,0.037830036,0.039453406,0.05596904
26,0.11063085,0.08036889,0.052411582,0.10182917,0.09575332,0.10797283,0.041485637,0.007044325,0.031289414,0.031699505,0.017048618,0.050964873,0.078617014,0.022385217,0.13036186,0.040136926
27,0.025364703,0.03195989,0.044101115,0.04603372,0.084177434,0.10689835,0.031021522,0.09543894,0.11251131,0.080437735,0.05741947,0.07095434,0.045444038,0.06350593,0.05071685,0.05401468
28,0.068209395,0.06708101,0.056429215,0.032234885,0.07518692,0.068775676,0.07122705,0.045856886,0.048440102,0.06775533,0.04644239,0.0411431,0.03821058,0.08686506,0.056685783,0.12945665
29,0.031504005,0.035308663,0.050736737,0.045742564,0.11087759,0.14822015,0.02651395,0.06270856,0.09237002,0.07419793,0.02455332,0.04296569,0.07851474,0.048747346,0.08947558,0.03756322
30,0.058895152,0.056672458,0.09062563,0.051716927,0.053595588,0.041440114,0.06259039,0.10484024,0.05509182,0.093019046,0.081535056,0.07555767,0.03645516,0.06500868,0.020093944,0.05286217
31,0.070591964,0.08936514,0.07802348,0.07461526,0.10758823,0.082398035,0.07135345,0.011077172,0.025023038,0.03464723,0.026620725,0.07283903,0.06302766,0.040199082,0.06651114,0.08611935
32,0.016048051,0.08169069,0.07294653,0.09027138,0.111938454,0.06973374,0.038524203,0.033108875,0.09488553,0.0955542,0.057569653,0.054305848,0.067150414,0.040234342,0.022692947,0.05334514
33,0.052943654,0.027680263,0.08116373,0.14987247,0.09049163,0.06457464,0.07349007,0.007752892,0.02491447,0.02265994,0.02477544,0.05943101,0.08507986,0.041190665,0.14279392,0.051185317
34,0.011634921,0.098254286,0.1502179,0.07553981,0.026616966,0.041463602,0.03950594,0.07746401,0.15323853,0.09112898,0.08860206,0.08414822,0.042995792,0.0067016496,0.00737967,0.005107657
35,0.123604916,0.0762848,0.050011832,0.060501665,0.04960985,0.054952532,0.06512763,0.03202383,0.062473036,0.08412405,0.05083449,0.037198536,0.14588198,0.027165808,0.061125975,0.019079123
36,0.048852134,0.07177965,0.045594607,0.031709198,0.16459066,0.14905189,0.07210991,0.023503039,0.044251613,0.055892434,0.03310545,0.03251261,0.07137147,0.021927394,0.090383224,0.04336467
37,0.017231623,0.04937781,0.059888914,0.08632551,0.19307108,0.182915,0.025365138,0.016727136,0.052721158,0.038856648,0.03792587,0.05150109,0.073771656,0.015172203,0.054170836,0.044978302
38,0.018162133,0.12460484,0.13823007,0.10685384,0.092347,0.14252926,0.042188343,0.0075936336,0.031397495,0.033780128,0.028146135,0.086557366,0.10050912,0.006127828,0.026295144,0.014677632
39,0.044686418,0.121584795,0.0897376,0.06932527,0.03424898,0.025702871,0.06546507,0.06010619,0.071659826,0.061499424,0.064443626,0.06421083,0.022467405,0.10396347,0.02469106,0.07620718
40,0.03382921,0.032627698,0.028897654,0.06895057,0.19363376,0.11297436,0.03822109,0.012176672,0.054754205,0.028882356,0.024845202,0.052862767,0.08197291,0.051813446,0.104819484,0.07873865
41,0.07887635,0.05538838,0.05351297,0.054449983,0.100579254,0.108158946,0.049796507,0.012243235,0.03474382,0.033840332,0.033523865,0.02313763,0.07520737,0.050226346,0.17700735,0.059307665
42,0.06729744,0.06252534,0.055924054,0.07325258,0.061670963,0.05003266,0.050680324,0.03782422,0.04998006,0.046816047,0.035320498,0.044366885,0.052562527,0.10548585,0.10434264,0.10191785
43,0.051918343,0.050680727,0.0746524,0.06588484,0.091014124,0.0531621,0.073367506,0.03753056,0.09282738,0.0691479,0.08141007,0.03600124,0.025955599,0.08217876,0.06220287,0.05206559
44,0.020281984,0.08738839,0.06831242,0.06572569,0.023327645,0.034768574,0.02930747,0.104364455,0.061569434,0.14755099,0.04479941,0.07971091,0.034985557,0.09368191,0.019095222,0.08512997
45,0.051068824,0.042874236,0.059479196,0.040477455,0.053754248,0.060535308,0.05117017,0.1056838,0.058386102,0.07533903,0.0537974,0.07087862,0.07402596,0.093571976,0.046799116,0.062158562
46,0.027499132,0.055498134,0.037271507,0.044384636,0.061498024,0.06877819,0.049917396,0.05775242,0.061502635,0.05249998,0.064330816,0.08321033,0.102473564,0.09732204,0.050436445,0.08562476
47,0.0061035617,0.054086287,0.06837107,0.055279896,0.08793501,0.109297074,0.02249766,0.07635033,0.11951866,0.089138776,0.04876953,0.13899858,0.049213983,0.025295306,0.009026873,0.040117387
48,0.017197134,0.024091301,0.031492874,0.03045185,0.17396472,0.111138135,0.02450768,0.050342992,0.09629175,0.053992946,0.058487084,0.068476014,0.057608966,0.06525451,0.033686653,0.103015445
49,0.021474613,0.026539795,0.15872023,0.08684728,0.09919806,0.080997996,0.06944791,0.042666078,0.09221153,0.055814143,0.08163983,0.08648622,0.06687293,0.0077584484,0.012263579,0.011061355
50,0.03233915,0.053525094,0.045213323,0.05998001,0.14554696,0.15480293,0.038296364,0.013296455,0.044257943,0.02380328,0.039422758,0.10784025,0.09620113,0.021190442,0.07001076,0.05427318
51,0.09231244,0.12099162,0.10689366,0.088878274,0.092512034,0.116936125,0.06500802,0.011097333,0.050903652,0.032815225,0.034839846,0.0719114,0.04076895,0.011289932,0.044578888,0.018262621
52,0.061120443,0.045958277,0.07190242,0.079874925,0.038915403,0.04812313,0.035077956,0.110992275,0.10904278,0.106480375,0.04209149,0.06692033,0.035334706,0.0697945,0.024908716,0.053462315
53,0.055912122,0.035945833,0.09923362,0.10939971,0.03665602,0.03268211,0.04723008,0.060114253,0.14224659,0.0621527,0.11695755,0.076872855,0.051008202,0.03654316,0.025322283,0.011722897
54,0.04463713,0.02745936,0.09514566,0.15820484,0.055435687,0.06444701,0.029737141,0.024041954,0.04232388,0.037676014,0.018205862,0.04488768,0.15517242,0.03518349,0.14387582,0.023565996
55,0.06459672,0.11044899,0.08360832,0.034004953,0.07794613,0.058058985,0.094758324,0.06951685,0.051402673,0.112115964,0.053790502,0.06265463,0.04765398,0.026640281,0.024992289,0.027810384
56,0.041409202,0.07068294,0.053945683,0.039470118,0.08763728,0.12158397,0.06794683,0.03299686,0.057531722,0.04369969,0.06509901,0.078050815,0.13775758,0.020596534,0.053832293,0.027759494
57,0.10928214,0.06308004,0.0608311,0.07963764,0.030468998,0.0335756,0.05686984,0.041677415,0.04499126,0.06750644,0.024435008,0.05997272,0.045798555,0.12525797,0.0727508,0.08386456
58,0.11324912,0.13025145,0.097630456,0.13223825,0.033993438,0.03588904,0.07978335,0.018263882,0.06978516,0.0316168,0.03827751,0.0395069,0.037336696,0.041815594,0.06990345,0.030458895
59,0.03850964,0.0879657,0.10048565,0.03133485,0.092637815,0.14698653,0.036673162,0.050838977,0.12732093,0.055899516,0.07777193,0.041936558,0.04846933,0.01692228,0.020764815,0.02548237
60,0.068224266,0.051402763,0.063609116,0.067452006,0.0593937,0.03486955,0.1200054,0.01336624,0.040254876,0.051309016,0.071286045,0.10572883,0.11856599,0.04552583,0.06265987,0.026346467
61,0.045745622,0.053238165,0.058793902,0.036362853,0.0389152,0.029319545,0.06675316,0.09935843,0.11070082,0.07649414,0.12979655,0.05462553,0.07992721,0.067205764,0.026838617,0.025924435
62,0.025635127,0.041583277,0.052520562,0.0765984,0.124265835,0.1066942,0.034628015,0.027593607,0.05341739,0.04660503,0.02548098,0.067238,0.096681945,0.050868202,0.12215591,0.048033506
63,0.01921573,0.037472546,0.12443334,0.15375979,0.0618516,0.05391877,0.027374191,0.059311964,0.18909197,0.124893196,0.043753497,0.02898903,0.018350856,0.016435461,0.022734422,0.018413723
64,0.06639059,0.13707995,0.048004683,0.075060725,0.05214683,0.03155259,0.08219832,0.02967097,0.029265998,0.09074094,0.045583088,0.06368188,0.063491896,0.05698794,0.025124537,0.10301908
65,0.027357483,0.034464967,0.06994061,0.07298673,0.13502756,0.09718599,0.052794278,0.051565267,0.08194865,0.12727012,0.043616634,0.052948765,0.038522873,0.030278942,0.040284846,0.043806255
66,0.032081716,0.024545608,0.034573406,0.052427143,0.08890332,0.051594548,0.030505747,0.06795844,0.08160576,0.07304558,0.045949597,0.0749316,0.0808711,0.11721702,0.071945295,0.071844146
67,0.03352372,0.029624088,0.06350827,0.07165109,0.081656694,0.08844184,0.051875476,0.058467522,0.152509,0.07073362,0.07761639,0.02740889,0.074175835,0.03379091,0.05405495,0.030961696
68,0.10709374,0.059989925,0.06712003,0.06370975,0.048460633,0.047840297,0.07014549,0.020498,0.02552153,0.028824706,0.036060665,0.056468625,0.08022026,0.09429614,0.10643487,0.087315276
69,0.106329344,0.057925895,0.066712335,0.07470269,0.023429353,0.017488489,0.0651885,0.08363464,0.097797506,0.075577155,0.066727854,0.030164868,0.022711944,0.13929552,0.036283985,0.036029942
70,0.023347504,0.065688506,0.099008255,0.09815169,0.059392124,0.084060974,0.030161725,0.03485339,0.19956915,0.03577552,0.06278722,0.058278497,0.025909813,0.045234952,0.055140838,0.022639869
71,0.008756943,0.054604582,0.10352172,0.06750676,0.08103602,0.09374345,0.03388749,0.072397284,0.098895006,0.113242485,0.063238546,0.090561144,0.045354415,0.029327033,0.019956246,0.023970868
72,0.015813438,0.034530133,0.043166913,0.0431775,0.11853215,0.1340917,0.044472065,0.044460367,0.092321455,0.041786574,0.05015407,0.050173815,0.051906083,0.07060457,0.07871842,0.08609076
73,0.066714056,0.07113204,0.08591362,0.081032574,0.07599945,0.17035364,0.033226185,0.02116953,0.06556727,0.035191745,0.03453469,0.049423423,0.049925126,0.025469152,0.08177945,0.05256806
74,0.027439497,0.049177367,0.07679649,0.066804186,0.15870638,0.17838168,0.03350718,0.016919669,0.042102195,0.0472652,0.040669236,0.062228758,0.09020841,0.011395465,0.08424665,0.014151695
75,0.017991548,0.020328833,0.031261478,0.056389745,0.15464066,0.13721372,0.022677813,0.022574302,0.06610135,0.07339142,0.04011742,0.024725508,0.07605154,0.051570766,0.13825278,0.066711105
76,0.012811983,0.038352974,0.05289208,0.06279767,0.14747669,0.18563919,0.021708494,0.04131622,0.08330208,0.054640688,0.035939157,0.066890985,0.13397364,0.010514176,0.033875227,0.017868757
77,0.05937281,0.06382034,0.088343725,0.06635809,0.082758665,0.09961465,0.04351752,0.014386785,0.028304968,0.027073948,0.020959834,0.06366595,0.081486724,0.05506854,0.13159338,0.0736741
78,0.025315786,0.046515636,0.12200249,0.08134685,0.07808916,0.14325762,0.027376508,0.037820835,0.14912708,0.07829736,0.022475082,0.031591207,0.028375652,0.031061597,0.07016511,0.027182015
79,0.0662822,0.106518544,0.086606644,0.07882637,0.03454704,0.055969045,0.08140145,0.04994392,0.16317034,0.056554716,0.047493156,0.025863107,0.031585656,0.034218103,0.060151517,0.020868214
80,0.08811985,0.09224553,0.054439053,0.046301804,0.07038512,0.05172801,0.05491113,0.05539293,0.09529544,0.093314186,0.068327315,0.031915776,0.07478873,0.040147424,0.056487195,0.026200537
81,0.10075035,0.10028853,0.08369591,0.1220101,0.021252949,0.03900006,0.035989694,0.071971394,0.09977417,0.096810274,0.022911709,0.043212816,0.057095923,0.039810985,0.04688419,0.018540848
82,0.032738086,0.038467336,0.0603804,0.05626589,0.06633045,0.052308578,0.04238135,0.053448446,0.07206838,0.05532206,0.06923781,0.08161555,0.053564135,0.1200821,0.055276647,0.09051278
83,0.033175327,0.027839907,0.02138063,0.025335733,0.06028095,0.064273596,0.06198481,0.07156484,0.11169291,0.14066629,0.10041196,0.025819778,0.06667369,0.0693663,0.04640067,0.073132575
84,0.026741104,0.05021564,0.060512383,0.044071753,0.060531594,0.052142043,0.07848347,0.08149849,0.12201739,0.09522128,0.16118464,0.05736094,0.054550964,0.023234313,0.014271623,0.017962325
85,0.029191148,0.07673395,0.0783322,0.0976834,0.058152985,0.041237906,0.0533313,0.0499758,0.055471055,0.0941399,0.030813517,0.07552293,0.043331586,0.08590506,0.050076544,0.08010077
86,0.04561198,0.06591355,0.069413394,0.059259053,0.059542324,0.08061559,0.043076955,0.08376027,0.06964497,0.07723666,0.029223349,0.05010032,0.0858491,0.06719135,0.07004799,0.04351314
87,0.06502335,0.084291436,0.09690326,0.057414893,0.041647684,0.043229457,0.05496981,0.10571645,0.105464004,0.055495124,0.07611089,0.03321773,0.033074863,0.070076875,0.04675652,0.030607596
88,0.021793814,0.06144041,0.049631476,0.031847745,0.09324649,0.15678874,0.08181162,0.05983482,0.12934718,0.09131322,0.09656963,0.05242426,0.03819971,0.005899975,0.012884777,0.016966129
89,0.026958743,0.026637625,0.02975897,0.021934098,0.13144036,0.06480568,0.05962471,0.05491772,0.102512136,0.05966206,0.08845857,0.033020526,0.029584194,0.11368482,0.050451998,0.1065478
90,0.06307699,0.062879324,0.08340834,0.06921514,0.062408324,0.09526712,0.06129529,0.058773722,0.08147905,0.0493404,0.05772947,0.044413447,0.073654614,0.034603767,0.07079732,0.0316577
91,0.0473255,0.09227839,0.054950424,0.035282366,0.08582276,0.08371695,0.07335558,0.041521657,0.05319091,0.021099083,0.07022534,0.07193376,0.04425331,0.08551837,0.055880252,0.083645366
92,0.10792884,0.050472513,0.08874705,0.10164219,0.071408935,0.08649238,0.080482736,0.006973063,0.031842884,0.027855989,0.03002407,0.097447164,0.13153078,0.010477239,0.06584199,0.010832131
93,0.052532196,0.2023486,0.10595752,0.051126476,0.035225995,0.04823806,0.04281892,0.04936229,0.05305678,0.057722323,0.050468054,0.073352285,0.0768314,0.038445268,0.029621722,0.032892093
94,0.03254183,0.043396667,0.079656705,0.11522439,0.083594166,0.076627165,0.036807545,0.017025845,0.10354516,0.03281425,0.0383844,0.028475799,0.03221219,0.07484358,0.14887153,0.055978842
95,0.05155054,0.055995017,0.06927675,0.032741576,0.050458144,0.03310947,0.07268061,0.10548189,0.0840784,0.08685998,0.072879374,0.066682704,0.023025721,0.11303542,0.014373277,0.067771085
96,0.03391595,0.055596218,0.091636814,0.12808451,0.03640136,0.04900206,0.030084383,0.10181553,0.17607568,0.07973954,0.044546563,0.043260287,0.025826635,0.05055745,0.025641086,0.02781593
97,0.017417826,0.05424119,0.050902445,0.030934576,0.15450813,0.13677046,0.03664334,0.06003491,0.077255376,0.10056052,0.09080969,0.053935003,0.06639554,0.01831185,0.020126268,0.031152906
98,0.02843494,0.02824982,0.041683372,0.048949305,0.15704979,0.20570071,0.048497625,0.03274237,0.08286431,0.05847049,0.062213294,0.03586475,0.063829,0.014290863,0.06288518,0.028274106
99,0.03214893,0.06003822,0.07357779,0.081697054,0.12726498,0.08897708,0.06678684,0.028936673,0.053621586,0.06362426,0.05498567,0.04951166,0.08422867,0.031277273,0.054074872,0.0492484
100,0.03151201,0.036751617,0.052070055,0.11395422,0.04262156,0.022145018,0.051949184,0.055566218,0.060955405,0.084338784,0.063386075,0.08543833,0.08182284,0.112969555,0.051198978,0.053320125
101,0.052695647,0.050737973,0.04003635,0.027385633,0.0725055,0.065256596,0.06507973,0.095652856,0.07680569,0.056203093,0.07970682,0.07264096,0.084581465,0.064484544,0.03246624,0.06376093
102,0.06383753,0.07718806,0.08928325,0.061616927,0.086305544,0.08266651,0.06087039,0.042617287,0.060597822,0.046703424,0.037905145,0.032349445,0.052018162,0.053316098,0.100805715,0.051918775
103,0.041809898,0.12080751,0.09891148,0.13389951,0.035949998,0.036963902,0.080379106,0.041023627,0.051812656,0.119845025,0.031734895,0.05578828,0.042422473,0.040446337,0.029133782,0.039071575
104,0.039893404,0.04057369,0.03814381,0.03714094,0.085871935,0.05359063,0.065536365,0.048632316,0.098476365,0.049179096,0.06808584,0.049002174,0.069525264,0.10367567,0.10427926,0.0483932
105,0.06816687,0.044344608,0.052963305,0.043128725,0.15024345,0.15049,0.05497306,0.026900707,0.04082107,0.061262865,0.03536674,0.068628795,0.0850592,0.024676146,0.047602136,0.045372363
106,0.08484245,0.053243097,0.06285089,0.04690017,0.06758617,0.07672196,0.053020388,0.040235475,0.057059288,0.06356614,0.054201894,0.06521188,0.10106426,0.05569771,0.06292383,0.054874472
