,HS,VA3,VA1,FI2,FI1,IM1,IM2,VA2,AV2,PE2,AV1,AV3,IM4,BA,PE1,IM3
0,0.046534866,0.032364383,0.043691177,0.030890517,0.034781348,0.08735445,0.07469743,0.03362693,0.087127805,0.043479253,0.095334016,0.052427053,0.06450278,0.06838169,0.06475611,0.14005022
1,0.062262554,0.047375247,0.093987934,0.029414905,0.055904824,0.054905277,0.07854607,0.06287316,0.03808176,0.03332193,0.06369201,0.039120674,0.045520697,0.09054196,0.05372725,0.15072371
2,0.051484704,0.04098514,0.071108885,0.07409838,0.11660793,0.069810934,0.110311896,0.063342795,0.038595498,0.06222273,0.030298002,0.04241988,0.05299573,0.051333323,0.078569256,0.045814898
3,0.092335045,0.072523855,0.058036473,0.051374625,0.11051259,0.0802945,0.05745768,0.025352776,0.04126716,0.040661756,0.050752867,0.07249638,0.038456436,0.05209704,0.07830346,0.07807735
4,0.081130296,0.026135461,0.024287144,0.081401594,0.10020272,0.10680332,0.10751333,0.024482071,0.07128026,0.048208922,0.07657055,0.04273681,0.06193529,0.028026447,0.049998727,0.06928707
5,0.10973862,0.04706632,0.06395344,0.0278785,0.059522882,0.0693841,0.05572443,0.06256315,0.045587633,0.07950949,0.06412378,0.058564574,0.042658214,0.05713537,0.0707548,0.08583466
6,0.13600181,0.03323036,0.048282925,0.020466274,0.048877437,0.04121239,0.04562514,0.07627178,0.0512318,0.09230036,0.06272152,0.050496314,0.05895013,0.08468991,0.096159674,0.053482216
7,0.05233417,0.029022716,0.03698275,0.10145553,0.116061084,0.068061985,0.10256859,0.043708596,0.0729804,0.054319497,0.043092012,0.09440818,0.04964991,0.048230067,0.044598263,0.04252626
8,0.09619901,0.078928344,0.05650982,0.058253784,0.075285695,0.04621324,0.03414284,0.069085896,0.047047783,0.0754049,0.07953215,0.06416487,0.042749513,0.06982971,0.049238864,0.057413597
9,0.09183016,0.030861443,0.04609291,0.065646686,0.05301724,0.072165556,0.06922952,0.0623095,0.063124955,0.05842487,0.077747695,0.082610816,0.03751397,0.083757274,0.04683995,0.05882747
10,0.10345584,0.07655195,0.09345568,0.023701014,0.048566,0.039404213,0.024741685,0.05629295,0.055958364,0.05047663,0.102621794,0.04784872,0.03167886,0.058330815,0.06464091,0.12227457
11,0.07025374,0.10439449,0.054523308,0.06423995,0.10069422,0.092487134,0.039207205,0.030693294,0.052857146,0.07200589,0.063195966,0.052583586,0.04662426,0.02266995,0.06671669,0.06685318
12,0.05423993,0.025521822,0.039388735,0.05038799,0.05936305,0.08308853,0.090752445,0.060278878,0.069210835,0.08542121,0.054463055,0.07338802,0.057909742,0.054606985,0.06527693,0.0767018
13,0.0931823,0.03207725,0.049766246,0.050276592,0.0817898,0.050275993,0.06233717,0.070609756,0.059989315,0.07658583,0.06995103,0.05620326,0.036234304,0.0752689,0.05668238,0.07876983
14,0.07976978,0.018338395,0.05399436,0.05140632,0.09372196,0.063379735,0.10452988,0.06599369,0.040042814,0.075243466,0.03767112,0.041889448,0.03014247,0.074707694,0.09288647,0.07628244
15,0.06817511,0.037285004,0.05475864,0.06085764,0.06041844,0.06962589,0.088772774,0.07171252,0.07241753,0.049714804,0.11203479,0.038173556,0.058048934,0.041321978,0.033991884,0.08269057
16,0.08831081,0.05761373,0.081968285,0.053882584,0.09377437,0.093387626,0.07472325,0.03640875,0.042655606,0.04119176,0.048613865,0.065022945,0.030969875,0.05213413,0.07342326,0.06591916
17,0.05116867,0.03098111,0.023314066,0.035043195,0.085774414,0.080336384,0.08122042,0.013759832,0.058035403,0.032724578,0.053471923,0.070428975,0.081562854,0.067608595,0.08759338,0.14697622
18,0.05621761,0.035728283,0.14546998,0.026286567,0.042137045,0.07971889,0.1085001,0.092043556,0.05419338,0.038486447,0.06512535,0.027565598,0.04058367,0.03948793,0.062009066,0.08644658
19,0.06159314,0.050712198,0.041537832,0.056840565,0.08143333,0.0481151,0.070922025,0.038964216,0.07153317,0.031546,0.1138678,0.048747886,0.07178882,0.0642225,0.033007625,0.1151678
20,0.10049692,0.05252817,0.07190085,0.053893995,0.1570765,0.046089873,0.078475915,0.04780014,0.060926974,0.03423327,0.07327333,0.03463225,0.04886953,0.029103884,0.037072595,0.07362584
21,0.08694944,0.046950642,0.08205499,0.075968616,0.11068251,0.048887867,0.085573904,0.08198176,0.09069378,0.046595424,0.054782603,0.047557045,0.0520924,0.022649543,0.039507296,0.027072154
22,0.10023573,0.042890947,0.08858257,0.040845454,0.08618489,0.09326011,0.09676363,0.039769094,0.03920025,0.035382923,0.04635052,0.062393676,0.032340955,0.055998757,0.076032415,0.06376804
23,0.14044654,0.019923143,0.03376208,0.048252318,0.07900908,0.03267761,0.04938665,0.073764384,0.045784816,0.087922126,0.06393856,0.06462382,0.026197627,0.12641959,0.056892086,0.050999567
24,0.12224849,0.05351873,0.055352997,0.048818905,0.09345683,0.07377762,0.072960414,0.028051978,0.044211973,0.028033957,0.07294015,0.06887914,0.035805706,0.060839657,0.04412959,0.0969738
25,0.11810998,0.07507267,0.07228961,0.031329725,0.07522555,0.08104381,0.06789956,0.036303308,0.04421991,0.038016964,0.070005536,0.06480541,0.049372446,0.03873214,0.050740387,0.08683301
26,0.050391067,0.061186343,0.039837923,0.041928474,0.09364877,0.098864734,0.05853494,0.013122502,0.040416915,0.03122369,0.04186279,0.07222768,0.06130862,0.06012361,0.13406675,0.10125523
27,0.12761708,0.05595614,0.0402521,0.049051773,0.073471405,0.06312515,0.041229714,0.03959551,0.05600247,0.05864395,0.09890741,0.07378423,0.041665915,0.046545822,0.041156393,0.092994906
28,0.11133782,0.08723047,0.06470964,0.03301375,0.08689859,0.05337098,0.022998923,0.037778508,0.04089874,0.08725802,0.05720188,0.046347734,0.029469267,0.037807096,0.097712316,0.10596626
29,0.05317389,0.034648187,0.042452455,0.05489263,0.11500728,0.043124825,0.08091705,0.089383,0.03409043,0.098698944,0.042554706,0.026477583,0.07593331,0.06719581,0.058995266,0.08245459
30,0.077402525,0.035963323,0.046714336,0.073888324,0.10054151,0.052681986,0.05552709,0.049178857,0.06920981,0.07069074,0.05257818,0.09331694,0.036655948,0.05926049,0.08602459,0.040365353
31,0.07376021,0.05035542,0.038407832,0.08383959,0.12880062,0.08674061,0.05599494,0.044493884,0.046433117,0.11862934,0.046889067,0.034108628,0.047486085,0.018871985,0.0638139,0.061374772
32,0.100487195,0.08133451,0.081769824,0.022656724,0.05741027,0.045586783,0.03020329,0.028174974,0.06866333,0.02890647,0.110906534,0.08156604,0.030434405,0.055859566,0.05958881,0.1164513
33,0.12771113,0.054529924,0.058488786,0.041748967,0.11261461,0.0328102,0.04692465,0.05867073,0.05301389,0.047017645,0.079037726,0.043665096,0.05143277,0.067273416,0.054855425,0.07020502
34,0.124082685,0.038205743,0.032577425,0.060401466,0.10313695,0.043664772,0.029877776,0.0373788,0.051584188,0.09250503,0.05913349,0.06806793,0.03214922,0.058873072,0.11647024,0.051891226
35,0.06901576,0.057192948,0.079827,0.040162276,0.08569351,0.056143463,0.07513333,0.038109455,0.053733572,0.028623998,0.065362595,0.06711613,0.043054312,0.07989925,0.059569437,0.10136292
36,0.07877199,0.039831746,0.09738102,0.04636324,0.05517522,0.07304254,0.07760887,0.068597354,0.0571707,0.044430625,0.07478997,0.061169922,0.027166657,0.065449245,0.048817966,0.08423293
37,0.06216645,0.05836452,0.06320582,0.078359194,0.098850824,0.12633269,0.12453104,0.036298577,0.048198935,0.03906923,0.041924883,0.041687723,0.06417794,0.01978408,0.048735145,0.0483129
38,0.105992675,0.08635348,0.0724256,0.037823576,0.09095677,0.048444618,0.049935084,0.05577026,0.038120378,0.05382501,0.045683634,0.09257253,0.044010967,0.066304795,0.05683437,0.054946255
39,0.12687129,0.032933608,0.044154737,0.04091871,0.06973895,0.041677203,0.06133126,0.039347563,0.07169699,0.025436493,0.14357437,0.06436046,0.03555647,0.06152447,0.027570153,0.11330726
40,0.096286796,0.060058545,0.060668647,0.055761877,0.1094444,0.08787549,0.09162279,0.050867397,0.047782186,0.051443327,0.06613892,0.040048823,0.05198623,0.01856809,0.0311015,0.08034498
41,0.070345104,0.051570565,0.05182751,0.04449196,0.11869236,0.053807553,0.0737648,0.054193687,0.032944415,0.06050496,0.048146795,0.03447029,0.066677,0.055054527,0.066979945,0.11652857
42,0.11660117,0.027478,0.017087946,0.060250342,0.1302769,0.053122833,0.06493375,0.021523423,0.033519197,0.05448633,0.050270736,0.07211629,0.05422618,0.10969383,0.070552126,0.063860916
43,0.12656324,0.043208044,0.039640676,0.06664791,0.08491278,0.040057823,0.03365141,0.057498246,0.069372274,0.07770768,0.088865876,0.08987831,0.031066125,0.04732528,0.04927643,0.054327887
44,0.039860442,0.083236955,0.058912292,0.05942376,0.061157506,0.07109609,0.047580447,0.042815745,0.1046708,0.05024207,0.098973475,0.07420001,0.048525292,0.028604211,0.023728035,0.10697284
45,0.10440623,0.06478737,0.06089506,0.038128357,0.1004833,0.06340877,0.05093488,0.039264873,0.042485345,0.052669447,0.06438616,0.040805284,0.052321717,0.039758008,0.07842662,0.10683862
46,0.033808615,0.022574538,0.061632067,0.08939046,0.06420261,0.08422568,0.096147716,0.060994025,0.05608676,0.07324184,0.03553321,0.07910691,0.028187236,0.08171531,0.09130374,0.041849267
47,0.07114341,0.071561016,0.036416616,0.05977586,0.16200191,0.03999527,0.03767477,0.041374356,0.03135399,0.087518744,0.0537404,0.021678714,0.07814219,0.034693312,0.07579672,0.097132705
