,AV1,AV2,AV3,BA,FI1,FI2,HS,IM1,IM2,IM3,IM4,PE1,PE2,VA1,VA2,VA3
0,0.058665164,0.057908244,0.05801196,0.06377452,0.06741713,0.06945652,0.05953614,0.06541943,0.066550866,0.06418662,0.06269095,0.06349892,0.06562869,0.05773371,0.06046428,0.05905684
1,0.05996827,0.059812244,0.059202053,0.062710114,0.06479165,0.06572519,0.062096488,0.06363393,0.06437382,0.06348181,0.062449723,0.062475704,0.06346214,0.061218843,0.061928775,0.06266921
2,0.053083178,0.052298076,0.053162612,0.062292185,0.069974,0.07358981,0.053296834,0.06489674,0.066679746,0.06446628,0.061582994,0.06704271,0.07034475,0.06097554,0.06423402,0.06208048
3,0.055304993,0.054162566,0.054284588,0.060479138,0.07095261,0.07492302,0.056235913,0.066635534,0.069032624,0.065325245,0.06210363,0.063637756,0.06816719,0.05803857,0.061040036,0.05967654
4,0.051395964,0.04993864,0.05050842,0.059295632,0.07285641,0.07752575,0.05224203,0.063475564,0.066649675,0.06503517,0.059258495,0.065600544,0.07130913,0.06381994,0.0668086,0.06428006
5,0.057764564,0.057090733,0.05703502,0.06195212,0.068289824,0.07086647,0.059308417,0.060805883,0.063219614,0.06276909,0.059720855,0.062481973,0.0652039,0.06373714,0.06478655,0.06496783
6,0.060788337,0.061379157,0.06189271,0.066976614,0.065462604,0.06641478,0.06395332,0.0588272,0.06044491,0.060567852,0.06084168,0.06370221,0.06334158,0.060582213,0.062024586,0.06280027
7,0.0549354,0.053929225,0.056150053,0.06714582,0.06946169,0.072844476,0.054910846,0.06400068,0.065863915,0.0635128,0.06259525,0.06689022,0.06907609,0.057538103,0.06228378,0.058861643
8,0.049689315,0.04821579,0.050260223,0.061919857,0.07193498,0.077368,0.048646268,0.069336005,0.07041164,0.06642088,0.06260767,0.068412684,0.07314033,0.0590074,0.0640972,0.058531787
9,0.060338788,0.05987646,0.059876926,0.062656894,0.06648594,0.068536535,0.06261774,0.065240085,0.06623544,0.063418,0.063406326,0.06185332,0.06385391,0.057180613,0.05919004,0.05923297
10,0.052938744,0.05178019,0.052193493,0.06035765,0.07147447,0.075558215,0.053762045,0.06462146,0.067207724,0.06496638,0.06055425,0.06514767,0.07002081,0.06197075,0.064924516,0.06252163
11,0.06354796,0.06389333,0.06242985,0.06310623,0.06439676,0.06474428,0.06730237,0.058347724,0.060232986,0.060849622,0.05961245,0.060138486,0.060756013,0.063134946,0.062443294,0.06506366
12,0.059711527,0.06001257,0.060743365,0.06716835,0.06513739,0.066011675,0.061789356,0.058989402,0.060580134,0.061259042,0.060836982,0.06385157,0.06362325,0.06253853,0.06371914,0.06402774
13,0.049156018,0.04733945,0.049743924,0.063088536,0.07358678,0.07946047,0.04810688,0.06863798,0.070549674,0.06615819,0.062249273,0.06954963,0.07555565,0.05669258,0.063257664,0.05686732
14,0.06506809,0.06595753,0.06543071,0.06768476,0.061999205,0.061493866,0.0677921,0.061330955,0.061775945,0.06129659,0.063193604,0.062370025,0.06046383,0.05680735,0.05775162,0.059583858
15,0.07033616,0.072455406,0.06924606,0.06498145,0.058177337,0.056040253,0.075266324,0.0595153,0.0594084,0.060111426,0.0625847,0.058189575,0.054922942,0.059432928,0.056911543,0.06242025
16,0.056881372,0.056400478,0.05916999,0.071201675,0.068638526,0.07132467,0.057390563,0.061570648,0.06349294,0.061903894,0.06242109,0.067920096,0.06803996,0.055478074,0.060434833,0.057731222
17,0.05568143,0.053954788,0.054044787,0.062347416,0.071197316,0.074638896,0.05522674,0.065104604,0.06765082,0.06516739,0.059962235,0.06443156,0.07030257,0.058565266,0.06297684,0.058747314
18,0.058114417,0.058172688,0.05933997,0.065228134,0.064098746,0.06582826,0.059071556,0.066923425,0.06635005,0.06432523,0.06547324,0.06480793,0.06399049,0.05849931,0.059924316,0.059852228
19,0.058538273,0.05820536,0.057474922,0.06065503,0.06704144,0.068840556,0.06100268,0.06103043,0.06289924,0.062760495,0.05991479,0.061604142,0.0636995,0.06522845,0.06483156,0.06627313
