,C10,SVEC,RAW
0,0.42562371,0.45339817,0.12097806
1,0.13204391,0.6983143,0.16964184
2,0.3501109,0.52529615,0.124592975
3,0.44353238,0.09042406,0.46604356
4,0.4539287,0.09937029,0.44670105
5,0.09204258,0.78950036,0.11845705
6,0.24866726,0.09960806,0.6517247
7,0.45329523,0.11879444,0.42791033
8,0.6105296,0.2802433,0.109227054
9,0.50858945,0.39463925,0.096771374
10,0.38981828,0.14439327,0.46578845
11,0.06045433,0.54741204,0.39213365
12,0.6330068,0.07811355,0.2888797
13,0.6885353,0.18885128,0.122613445
14,0.67028844,0.09276822,0.23694341
15,0.33152652,0.09467271,0.57380074
16,0.10326481,0.5952327,0.3015024
17,0.706943,0.12921014,0.16384688
18,0.22369033,0.66164404,0.11466563
19,0.066884086,0.75263095,0.18048501
20,0.7460773,0.15136027,0.10256245
21,0.15386695,0.0925757,0.7535573
22,0.20221186,0.32495022,0.47283792
23,0.08233518,0.3766712,0.5409936
24,0.07800274,0.3971805,0.5248167
25,0.7221446,0.09617995,0.1816754
26,0.12485534,0.07123404,0.80391055
27,0.09995348,0.26276347,0.637283
28,0.507132,0.11585246,0.37701553
29,0.09474344,0.5309258,0.3743307
30,0.6646248,0.13689335,0.1984818
31,0.35495755,0.10341047,0.54163206
32,0.4299588,0.48797533,0.08206594
33,0.07951285,0.19630167,0.72418547
34,0.63623804,0.1633917,0.20037018
35,0.32811725,0.09723543,0.5746473
36,0.43362147,0.08320062,0.48317784
37,0.5120536,0.09902353,0.38892284
38,0.12335048,0.14823744,0.7284121
39,0.13889174,0.75330687,0.1078014
40,0.705499,0.18611899,0.108382046
41,0.06976433,0.36914337,0.5610924
42,0.15070742,0.7295528,0.11973976
43,0.7801819,0.10408684,0.11573129
44,0.34669867,0.42111227,0.23218901
45,0.36153933,0.5633563,0.07510437
46,0.25744748,0.6658946,0.07665792
47,0.32825276,0.58999085,0.08175636
48,0.2352661,0.066760235,0.6979736
49,0.46221492,0.4465348,0.09125028
50,0.6001531,0.2553412,0.14450571
51,0.18348917,0.47826967,0.33824116
52,0.6374615,0.25446212,0.10807641
53,0.47581658,0.4121257,0.11205774
54,0.11579313,0.102092616,0.7821142
55,0.20470363,0.16782407,0.6274723
56,0.14498095,0.07367886,0.7813402
57,0.12685622,0.6418204,0.23132344
58,0.093800336,0.34215775,0.5640419
59,0.21917003,0.48531434,0.29551554
60,0.28048947,0.23413768,0.4853728
61,0.18140925,0.7134739,0.10511684
62,0.6723028,0.24562201,0.082075216
63,0.079655774,0.4365271,0.48381713
64,0.22569014,0.6988673,0.07544248
65,0.08060475,0.8314191,0.08797613
66,0.27526227,0.10849617,0.6162416
67,0.39469388,0.5302723,0.07503385
68,0.12744714,0.08820149,0.78435135
69,0.069452874,0.23087102,0.69967604
70,0.47070062,0.21666934,0.3126301
71,0.7948668,0.100118436,0.10501467
